Cameron Conaway, Caged: Memoirs of a Cage-Fighting Poet|The words he said, too, must be human enough to bleed.
Robert Browning|You've already decided what you're going to do, and all that's left is to set the wheels in motion. I mean, it's your life. Basically, you gotta go with what you think is right.
Claire Vay Watkins|I beg your pardon, but don’t cry for me, Argentina. A little rain’s bound to fall on those roses of yours—a dribble, a drizzle, a deluge. Think you’re the only one with wet flowers? A tear rolls down my cheek and some of the heaviness I’ve been carrying trickles out with it. Why me? Why pain? Why suffering? Why heartache? Because we’re a forgetful bunch, always busy with the daily grind. We overlook the good things until we’re confronted with the bad. There but for the grace of God...and all that jazz. Life is how we measure it. And people have different currencies. Some are tangible. Others are carried in your heart. Like the woman beside me, I’ve been dwelling on what I’ve lost, not what I have. Her riches vanished in a moment. Mine, thankfully, remain — wonderful childhood memories, a caring husband, a baby on the way. Wet roses? They’ll dry. Meanwhile, I’ll enjoy the rest of my garden.
James R. Benn, The First Wave|Everything changed, and eleven months later, here I was in the middle of the night with a gungho major, playing secret agent, hoping some Frenchie didn't put a bullet in my skull before I gave the Germans and Italians their chance.
Jenny Han|Fake people talk about other people being fake. Real people worry about their business, and no one else's.
Linda Evans|But he is unworthy the name of a minister of the gospel of peace, who is unwilling, not only to have his name cast out as evil, but also to die for the truths of the Lord Jesus.
Mian Mian, Candy|We're reaching the point where the Earth will have to end the burden we've placed on her, if we don't lift the burden ourselves.
Charlie Jane Anders, All the Birds in the Sky|What troubled people especially was not just the tragedy--or even the needlessness--but the element of fate in it all. If the Titanic had heeded any of the six ice messages on Sunday . . . if ice conditions had been normal . . . if the night had been rough or moonlit . . . if she had seen the berg 15 second sooner--or 15 seconds later . . . if she had hit the ice any other way . . . if her watertight bulkheads had been one deck higher . . . if she had carried enough boats . . . if the Californian had only come. Had any one of these "ifs" turned out right, every life might have been save. But they all went against her--a classic Greek tragedy.
Miguel de Cervantes Saavedra, Don Quixote|Miss Mapp moved towards the screen."What a delicious big screen," she said."Yes, but don't go behind it, Mapp," said Irene, "or you'll see my model undressing."Miss Mapp retreated from it precipitately, as from a wasp's nest, and examined some of the studies on the wall, for it was more than probable from the unfinished picture on the easel that Adam lurked behind the delicious screen. Terrible though it all was, she was conscious of an unbridled curiosity to know who Adam was. It was dreadful to think that there could be any man in Tilling so depraved as to stand to be looked at with so little on...Irene strolled round the walls with her."Studies of Lucy," she said."I see, dear," said Miss Mapp. "How clever! Legs and things! But when you have your bridge-party, won't you perhaps cover some of them up, or turn them to the wall? We should all be looking at your pictures instead of attending to our cards. And if you were thinking of asking the Padre, you know..."They were approaching the corner of the room where the screen stood, when a movement there as if Adam had hit it with his elbow made Miss Mapp turn round. The screen fell flat on the ground and within a yard of her stood Mr. Hopkins, the proprietor of the fish-shop just up the street. Often and often had Miss Mapp had pleasant little conversations with him, with a view to bringing down the price of flounders. He had little bathing-drawers on..."Hullo, Hopkins, are you ready," said Irene. "You know Miss Mapp, don't you?"Miss Mapp had not imagined that Time and Eternity combined could hold so embarrassing a moment. She did not know where to look, but wherever she looked, it should not be at Hopkins. But (wherever she looked) she could not be unaware that Hopkins raised his large bare arm and touched the place where his cap would have been, if he had had one."Good morning, Hopkins," she said. "Well, Irene darling, I must be trotting, and leave you to your--" she hardly knew what to call it--"to your work."She tripped from the room, which seemed to be entirely full of unclothed limbs, and redder than one of Mr. Hopkins's boiled lobsters hurried down the street. She felt that she could never face him again, but would be obliged to go to the establishment in the High Street where Irene dealt, when it was fish she wanted from a fish-shop... Her head was in a whirl at the brazenness of mankind, especially womankind. How had Irene started the overtures that led to this? Had she just said to Hopkins one morning: "Will you come to my studio and take off all your clothes?" If Irene had not been such a wonderful mimic, she would certainly have felt it her duty to go straight to the Padre, and, pulling down her veil, confide to him the whole sad story. But as that was out of the question, she went into Twemlow's and ordered four pounds of dried apricots.
Dan Brown, The Lost Symbol|When his brain died, all of the memoriesheld in his gray matter, along with all of the knowledge he had acquired, would simply evaporatein a flood of chemical reactions.
Robin Sloan, Mr. Penumbra's 24-Hour Bookstore|The Golden Horn of Griffo is finely wrought," Zenodotus said, tracing his finger along the curve of Telemach's treasure. "And the magic is in its making alone. Do you understand? There is no sorcery here..."“Magic is not the only power in this world,” the old mage said gently, handing the horn back to its royal owner. “Griffo made an instrument so perfect that even the dead must rise to hear its call. He made it with his hands, without spells or dragon-songs. I wish that I could do the same.
