Jorge Luis Borges|Nothing is built on stone; All is built on sand, but we must build as if the sand were stone.
Susanna Kearsley, The Winter Sea|If we knew a person was going to die, we’d hold harder to the memories.
Santosh Lamichhane, Porridge Eaters and Gruel Drinkers: A Nepali Poetry Collection|Digging deep inside you as a writer will damn near kill you at times. But in the end, your words will be true and undeniable for the reader, and that is all that ever really matters in writing.
Kate Moss|That's the beauty of coaching. You get to touch lives, you get to make a difference. You get to do things for people who will never pay you back and they say you never have had a perfect day until you've done something for someone who will never pay you back.
H.P. Lovecraft, Collected Essays 2: Literary Criticism|As information processing machines, our ability to process data about the external world begins at the level of sensory perception. Although most of us are rarely aware of it, our sensory receptors are designed to detect information at the energy level. Because everything around us - the air we breathe, even the materials we use to build with, are composed of spinning and vibrating atomic particles, you and I are literally swimming in a turbulent sea of electromagnetic fields. We are part of it. We are enveloped within in, and through our sensory apparatus we experience what is.Each of our sensory systems is made up of a complex cascade of neurons that process the incoming neural code from the level of the receptor to specific areas within the brain. Each group of neurons along the cascade alters or enhances the code, and passes it on to the next set of cells in the system, which further defines and refines the message. By the time the code reaches the outermost portion of our brain, the higher levels of the cerebral cortex, we become conscious of the stimulation. However, if any of the cells along the pathway fail in their ability to function normally, then the final perception is skewed away from normal reality.
Jake Vander-Ark, Lighthouse Nights|Oh, now my Erin, she'd smile down on me no matter where I walked." Grandpop smiled that little smile again. "But I'd be separated from her, and I'd feel that separation in my soul, you see?"Nathan shook his head.Grandpop sighed. "You have the Irish eyes, boy. One of these days, you'll see from eyes, not your own, feel with a heart outside your chest. Wild Irish eyes. Nathan. When you love, love well and love true, and take care, lad, because those Irish eyes are windows into not just your own soul, but the soul of the one you love." Grandpop looked out at his Erin's grave."And when you lose that heart, you can't leave the places where your memories are the best. And if I left her, I'd not be buried beside her.
C. JoyBell C.|Who are you not to be great? You, with the imagination of a brilliant child and the powers of an ancient god. Who are you to be ordinary? You, who can resend life or raise the dead.Who are you to be afraid? You, who can serve as judge and jury while hoarding infinite lives.Who are you to be a slave to the past? You who can travel time like the oceans or rewrite history with a single word.Who are you to be anonymous? You whose names should be spoken in reverend tones or terrified whispers.And who are you to deny greatness? If you would deny it to yourself, you deny it to the entire world. And we will not be denied.
Elizabeth O. Dulemba|I like to set my dreams high. That way, even if I only make it half way there, it's still pretty darned good.
Anthony Doerr, All the Light We Cannot See|Fact be virtuous, or vicious, as Fortune pleaseth
Arthur Conan Doyle, The Sign of Four|Every time you worry that you could get trapped in some kind of work you don't care about, you're dealing with the problem of meaningfulness. I guarantee that in the back of your mind is the thought that somehow you have to make a contribution to something, be acknowledged, do something that matters--or you're just fooling around.
C. JoyBell C.|There are so many bad people in the world. They'll treat you badly, they'll haggle and undermine your worth. They'll calculate what they can get without thinking about what to give. That's the world. Very seldom, you'll find someone who will not undermine and haggle your worth, who will take risks for you, who will think about what they can give to you and how they can make you happy. So you see, the rule goes like this— when you find such a person, you don't let go of them. You stay with them and they stay with you.
Laura Dern|Once, I was coming back from school, and there was this guy who was eve-teasing me and my friend. I had a Milton water bottle that I flung it at his face. My dad told me if you are in a crowded place and a guy eve-teases, you should make noise. I did exactly that and got people on the road to beat up the guy.
Fyodor Dostoyevsky, Notes from Underground, White Nights, The Dream of a Ridiculous Man, and Selections from The House of the Dead|Man is fond of reckoning up his troubles, but does not count his joys.
Molly Friedenfeld, The Book of Simple Human Truths|When truthful knowledge is dispensed, soul growth is accomplished every time, for all parties involved, in every situation.
William Shakespeare, Hamlet|Suit the action to the word, theWord to the action.
Raymond B. Fosdick|The only life worth living is the adventurous life. Of such a life the dominant characteristic is that it is unafraid. It is unafraid of what other people think...It does not adapt either its pace or its objectives to the pace and objectives of its neighbors. It thinks its own thoughts, it reads its own books. It develops its own hobbies, and it is governed by its own conscience. The herd may graze where it pleases or stampede where it pleases, but he who lives the adventurous life will remain unafraid when he finds himself alone.
Karina Halle, Sins & Needles|Mistakes and regret, desease and death...ain't recognized by mind that capable on changing them into otherwise.
