Jonathan L. Walls|Not only does evil depend upon good, but in this case, darkness depends upon light.
Toni Sorenson, Aligned By Christ|God is working on your behalf, for your happiness and inner peace. So move forward in faith, believing that He is with you and for you because He is.
miss Gath|There was a pause as Leopardstar strained to take a breath, and Mistyfoot half rose, ready to call for help. Then Leopardstar relaxed again. "I am sorry not to have known the joy of having kits. There was a time when I thought it might happen, but it was not to be." Her words faded away as though she was picturing something she had dreamed of long ago. "Perhaps it was for the best. But I would have been proud to call you my daughter, Mistyfoot.
Maurice Sendak|so that it isn't upsetting to anybody. It's something we've always known about fairy tales – they talk about incest, the Oedipus complex, about psychotic mothers, like those of Snow White and Hansel and Gretel, who throw their children out. They tell things about life which children know instinctively, and the pleasure and relief lie in finding these things expressed in language that children can live with. You can't eradicate these feelings – they exist and they're a great source of creative inspiration.
Tanith Lee, Best New Horror 16|He'd shoved his toque and mitts into the sleeve of his parka when he'd come in the night before, and now, thrusting his right arm into the armhole, he hit the blockage. At a practiced shove the pompom of the toque crowned the cuff followed by his mitts, like a tiny birth.
Louis Zamperini|Hypocrites in the Church? Yes, and in the lodge and at the home. Don't hunt through the Church for a hypocrite. Go home and look in the mirror. Hypocrites? Yes. See that you make the number one less.
Leon Charney|Some would rather pull a handcart across the prairie than bring up the subject of faith and religion to their friends and co-workers. They worry about how they might be perceived or how it might harm their relationship. It doesn't need to be that way because we have a glad message to share, and we have a message of joy.
Thom Yorke|Playing sport was somewhat frivolous, but I liked it. I rebelled a little bit, and wouldn't go to music lessons and things like that, but I would go and play ball. My parents learned to love it because they saw how much I got out of it.
Testy McTesterson|The easiest thing for a person is to accept everything as it is and adjust with everyone in the surroundings by sacrificing or compromising originality, but it's also the worst thing if he proclaims that he has changed himself.
Ron Brackin|So cold your tears freeze against your cheeks.'It's not my fault,' I told Bear. 'I don't make the weather. You got a beef, take it up with God.' That's what I've been doing a lot lately: taking it up with
H.G. Wells, The Island of Dr. Moreau|The fundamental fact about all of us is that we’re alive for a while but will die before long. This fact is the real root cause of all our anger and pain and despair. And you can either run from this fact or, by way of love, you can embrace it.
