Ashley Ormon|Forgiveness is knowing and remembering what happened, but choosing to move beyond it.
Patrick Bryant, Hum A Radiant Sickness|Did you know that the United States is ranked fiftieth in the world in life expectancy? And the forty-nine loser countries where they live longer than us...they live shackled to the tyranny of nonprofit health care. Here in America, you're not coughing up blood, little Bobby, you're coughing up freedom!
Veronica Roth, Allegiant|I understand why she did all those things, but that doesn't mean we aren't still broken.
S.A. Tawks, Misadventurous|If you're not happy with yourself, how can you even begin to figure out if another person makes you happy, annoyed, angry, sad and so on.
Miya Yamanouchi, Embrace Your Sexual Self: A Practical Guide for Women|The difference between a conventional counsellor and an empowerment counsellor is that a conventional therapist will allow you to dwell in your pit of misery for months, years and possibly even decades; whereas an empowerment counsellor will challenge you to recognise that your past pains and seemingly negative experiences are the very key to accessing your greatest self.
Thomas Nagel|I really should have died then, Tsukuru often told himself. Then this world, the one in the here and now, wouldn't exist. It was a captivating, bewitching thought. The present world wouldn't exist, and reality would no longer be real. As far as this world was concerned, he would simply no longer exist—just as this world would no longer exist for him.
Jennifer Niven, All the Bright Places|Since I stopped writing, I read more than ever. Other people's words, not my own--my words are gone.
Laurie  Anderson|When you meet a man who is broken, pick him up and carry him. When you meet a woman who’s broken, put her all into your arms. Cause we don’t know where we come from … we don’t know where we are. 
Lavie Tidhar, Central Station|Family wasn't like that, not really. It was not something small and compact, a "nuclear family": it was a great big mess of people, all interlinked, cousins and aunts and relatives-by-marriage and otherwise--it was a network, like the Conversation or a human brain. It was what he had tried to escape, going into the Up and Out, but you cannot run away from family, it follows you, wherever you go.
Kathryn Davis, Duplex|The gods speak to us, and irony is their language.
Madeleine L'Engle, And Both Were Young|She knew that the freedom was in herself, just as the prison had been.
Noam Chomsky|I am not a committed pacifist. I would not hold that it is under all imaginable circumstances wrong to use violence, even though use of violence is in some sense unjust. I believe that one has to estimate relative justices. But the use of violence and the creation of some degree of injustice can only be justified on the basis of the claim and the assessment-which always ought to be undertaken very, very seriously and with a good deal of scepticism that this violence is being exercised because a more just result is going to be achieved.
