|Stop chasing people who keep running away from your presence, because even if you succeed in catching them, sooner or later they would run away.
Hector Malot|If you're reading this, then I guess someone, somewhere does go through the rubbish and read every piece of paper that gets balled up and tossed away. So in that case here it is- my name's Sal.
Nikki Rowe|Dare not to criticise self, lift yourself up and set the boundaries for your worth. Speak kindly to self and hand your worries over to the wind,if you are here; you are successful already, start believing in your story, the destination will be meaningless if the journeys never been truly lived
Nicola Formichetti|Design schools are good, I guess, sometimes I visit schools, but they are very very limiting.
Jason Mraz, Love Is a Four Letter Word|Your heart plays a song like a broken music box, but nothing ever sounded quite so beautiful to me. Together, in the dance of wounded-wing swans we’ll rise above the ruins, melting into the golden light.
V.A. Menon|i bring my kiasu friend to the airportleavings are never easy, not for longand though we both saw blur along the waymemories flooded present tensions.in the curry of his life no lemak remainedso now the predictable exit signalledthe end of his roundings, his bombings–he can bluff like hell, ma, he got style–and left me thinking about home, my kampong.
LeeAnn Whitaker, Never Another You|There are many wounded hearts here. Many! Some admit. Others - the stubborn ones, scribble poetry instead.
Yogi Kanna, Return to Love: A Guide to Inner Peace, Emotional Healing and Spiritual Transformation|Thoughts appear and disappear, just like waves on the ocean. Be like the ocean of love, releasing every thought to the shore as soon as they appear.
Sharon Shinn, Mystic and Rider|You have not traveled enough," she said. "Or you'd know that every journeymakes its own map across your heart.
Ernest Agyemang Yeboah|Elizabeth, what this man has done is terrible. There aren't any words that are strong enough to describe how wicked and evil he is! He has taken nine months of your life that you will never get back again. But the best punishment you could ever give him is to be happy. To move forward with your life. To do exactly what you want. Because, yes, this will probably go to trial and some kind of sentencing will be given to him and that wicked woman. But even if that's true, you may never feel like justice has been served or that true restitution has been made...You be happy, Elizabeth. Just be happy. If you go and feel sorry for yourself, or if you dwell on what has happened, if you hold on to your pain, that is allowing him to steal more of your life away. So don't you do that! Don't you let him! There is no way that he deserves that. Not one more second of your life. You keep every second for yourself. You keep them and be happy...
Robert Girardi, The Pirate's Daughter|Even feigning surprise, pretending it was unexpected and saying a ritual thanks, is surely wiser than just expecting everything so carelessly.
Fakeer Ishavardas|If, when you wake up in the morning, you can think of nothing but writing then you are a writer”"Se alla mattina quando ti alzi non pensi altro che allo scrivere allora sei uno scrittore
Asuni LadyZeal|Change is often overrated: at times, all you need to change is how you change what you change in your life.
Arthur C. Clarke, 2010: Odyssey Two|What was more, they had taken the first step toward genuine friendship. They had exchanged vulnerabilities.
L.M. Montgomery|Best not to ask "What is it?" until you finish rolling in it.
Per Petterson, Jeg forbanner tidens elv|A dead dog is more quiet than a house on the steppes, a chair in a empty room.
Mary Oliver, Swan: Poems and Prose Poems|When When it’s over, it’s over, and we don’t know any of us, what happens then.So I try not to miss anything.I think, in my whole life, I have never missed The full moonor the slipper of its coming back.Or, a kiss.Well, yes, especially a kiss.
Daniel Quinn|To you, Christianity, Judaism, Islam, Buddhism, and Hinduism look very different, but to me they look the same. Many of you would say that something like Buddhism doesn't even belong on the list, since it doesn't link salvation to divine worship, but to me this is just a quibble. Christianity, Judaism, Islam, Buddhism, and Hinduism all perceive human beings as flawed, wounded creatures in need of salvation, and all rely fundamentally on revelations that spell out how salvation is to be attained, either by departing from this life or rising above it.
Micheline Jean Louis|Oh love let me embrace your path, to be remembered in kindness so I may remain immortal
Debasish Mridha|Love has only feelings, don't seek meanings.
Dietrich Bonhoeffer, The Cost of Discipleship|True prayer is done in secret, but this does not rule out the fellowship of prayer altogether, however clearly we may be aware of its dangers. In the last resort it is immaterial whether we pray in the open street or in the secrecy of our chambers, whether briefly or lenghtily, in the Litany of the Church, or with the sigh of one who knows not what he should pray for. True prayer does not depend either on the individual or the whole body of the faithful, but solely upon the knowledge that our Heavenly Father knows our needs.
Mehmet Murat ildan|Work hard in silence, let your success be your noise.
Marilyn Manson|If you want to be certain, you should never get married. You should never change jobs. In fact, you might as well just stay home. Because I don't know anybody who is certain. That need to be certain is just procrastination.
John Podhoretz|I just feel like I'm such a normal person in an industry that is so chaotic and crazy. I am what I am, and I can't change it. And I don't want to change it.
Scott  Hawkins, The Library at Mount Char|In politics, a conflict only exists in public; otherwise it is merely a potential for conflict, which we can never be certain exists or will materialize.
Blaize Clement, Cat Sitter on a Hot Tin Roof|I think the world is often like that.” “Like what?” “Comic, but only at the right distance.
Jasper Fforde, The Last Dragonslayer|Charles is going to be fine," said Annie. "Yep," said Jack with a smile. "He never even knew that it was us who helped him." "That's the best way to help someone, I think," said Annie. "Why?" asked Jack. "Then you know you're not helping them just to get a lot of credit," said Annie. "You're helping because it's the right thing to do.
Mehmet Murat ildan|We must be loyal to the truth, not to our words! Change your words if they are not compatible with the truth; go back on your words, throw them to the bin!
علي الماجد|Never test good people because they are like diamonds. when you hit them, they will not break but they will only slip away from your life
Nathaniel Hawthorne|Happiness is like a butterfly which, when pursued, is always beyond our grasp, but, if you will sit down quietly, may alight upon you.
Fyodor Dostoyevsky, Notes from Underground, White Nights, The Dream of a Ridiculous Man, and Selections from The House of the Dead|But twice-two-makes-four is for all that a most insupportable thing. Twice-two-makes-four is, in my humble opinion, nothing but a piece of impudence. Twice-two-makes-four is a farcical, dressed-up fellow who stands across your path with arms akimbo and spits at you.
Craig D. Lounsbrough|The worst of it is that while we continue to sink deeper into the muck and mire that we’ve created, in the very descent itself we ignorantly declare that in reality we are rising. And until desperation has crippled us sufficiently to confess the lie that we are lifting ourselves out of this mess, and until the panic of utter hopelessness has driven us to completely surrender all of the pathetic contrivances that we’ve fashioned that have put us there, we will never realize that God has readied solid ground that stands but a single step away
George Burns|With age comes the understanding and appreciation of your most important asset, your health.
Brother Lawrence, The Practice of the Presence of God|They could have fought against it, begged for another way or gone off the path in hopes of finding an easier passage. Instead, they looked upon the trail ahead, the rough ridge, now bound by thick snow, and they accepted the path they had chosen.
D.J. MacHale|For she had discovered that as well as the evil web there was another. This too bound spirits together, but not in a tangle, it was a patterned web and one could see the silver pattern when the sun shone upon it. It seemed much frailer than the dark tangle, that had a hideous strength, but it might not be so always, not in the final reckoning.
Nikki Sixx|First and foremost when you're doing comedy, you gotta be relevant and applicable to the times that you're living in. When you try and just do comedy about who is dating who and lifestyle jokes, it gets tiring after a while. It's hard to be funny in that realm.
Michael Bassey Johnson|Growing up doesn't mean that you are older than someone, it means that you are no longer an amateur.
Bob Monkhouse|The voice that arises out of the silence is something no one can imagine until it is heard. It roars when it speaks, it lies to you and convinces you, it steals from you and leaves you without a single word of comfort.
Debasish Mridha|By loving more, you let your love live forever. The more you love, the more love you will have to give away.
Henry Petroski|There are two methods in software design. One is to make the program so simple, there are obviously no errors. The other is to make it so complicated, there are no obvious errors.
Bangambiki Habyarimana, The Great Pearl of Wisdom|If you think you can't, you're wrong and right
Robert G. Ingersoll, Some Mistakes of Moses|At present, a good many men engaged in scientific pursuits, and who have signally failed in gaining recognition among their fellows, are endeavoring to make reputations among the churches by delivering weak and vapid lectures upon the 'harmony of Genesis and Geology.' Like all hypocrites, these men overstate the case to such a degree, and so turn and pervert facts and words that they succeed only in gaining the applause of other hypocrites like themselves. Among the great scientists they are regarded as generals regard sutlers who trade with both armies.Surely the time must come when the wealth of the world will not be wasted in the propagation of ignorant creeds and miraculous mistakes. The time must come when churches and cathedrals will be dedicated to the use of man; when minister and priest will deem the discoveries of the living of more importance than the errors of the dead; when the truths of Nature will outrank the 'sacred' falsehoods of the past, and when a single fact will outweigh all the miracles of Holy Writ.Who can over estimate the progress of the world if all the money wasted in superstition could be used to enlighten, elevate and civilize mankind?When every church becomes a school, every cathedral a university, every clergyman a teacher, and all their hearers brave and honest thinkers, then, and not until then, will the dream of poet, patriot, philanthropist and philosopher, become a real and blessed truth.
William Paul Young, The Shack|So many believe that it is love that grows, but it is the knowing that grows and love simply expands to contain it.
Thomas Paine, The Age of Reason|The people need poetry that will be their own secretTo keep them awake forever,And bathe them in the bright-haired wave of its breathing.
Mensah Oteh, Unlocking Life's Treasure Chest: Wisdom keys to keep you inspired, encouraged, motivated and focused|Investing in yourself is one of the foundations for better relationships, health, happiness, success, and prosperity.
Deyth Banger|Some choices, once you make them, they stay made.
Michael Bassey Johnson|Greatness can only come to those who are always thankful, but never content with any level of progress.
David Duchovny, Bucky F*cking Dent|Though we are terrorized by death, it's not different from birth, it just happens
Gerald Morris, The Savage Damsel and the Dwarf|Careful, Mr. Spiro, guns are dangerous. Especially the end with the hole.
Joseph Finder, Power Play|The pitch we used to convince companies to spend $50 million bucks for one of our planes was that it wasn't simply a means of transportation; oh no - it was 'a productivity tool'. It allowed an executive to make good use of his travel time and a relaxed and refreshed executive could seal the deal much more effectively than his travel-worn counterpart. Yeah, right. You can always justify any obscene luxury on the grounds of productivity...
Paul Tremblay, A Head Full of Ghosts|She resisted the urge to run, only prey ran [and] Niko had no intention on becoming prey
raja shakeel mushtaque|... Modern life is always experienced as a struggle: to impose one's individuality on the world, one has to work against the fabric of modern culture itself and uphold ultimate values in the face of purely instrumental and ever more 'rational' forces.
Erica Ridley, The Brigadier's Runaway Bride|Every morning," he said softly, his breath caressing her cheek. "You were my only thought." He tilted closer. "Every night, you were my only thought." His lips brushed her cheekbone. "Every moment of every day, you were my only thought.
Barbara Gordon|But you raised a ruckus about and threatened to perform a Julius Caesarian on anybody on anybody who calls April the cruelest month- I was Damn born out of the loins of my father in the spring of April, you claimed. Surgeon, you stood up for the month of buds and bitches like a true Kuon Kunos
Billy Graham, Billy Graham in Quotes|Some of the most healing words in any language are, “I’m sorry. Will you forgive me?” How much more we need that confession to our Father in heaven.
Michael Ondaatje, The English Patient|I have found that as your wisdom and maturity develop, the number of other people you blame for your own circumstances shrinks.
Cheryl Strayed, Wild: From Lost to Found on the Pacific Crest Trail|Both friend and enemy, Faith leads us to the place where we lead ourselves.
Bryant McGill, Simple Reminders: Inspiration for Living Your Best Life|The long-term integrity of the empire would not be assured by warm words alone. Britain"s own position in the empire had changed. Once, the country been the engine room of empire, the productive heart of the beast. But with Britain becoming more like a boardroom, investing money, taking decisions, but essentially living off the labor of others, and off the earnings of the past? At some point in the future, might even this role wither away, and might Britain become little more than a repository of British tradition, a common idealized land into which Britons abroad – in Australia, Canada, New Zealand or South Africa – could retreat, a collective memory of Greenfields and swooping glens?
Magenta Periwinkle, Cutting Class|Where does one go from the bottom? You hit the bottom of the well and what? People say the only place to go is up, but they seem to ignore how long you can spend wallowing in the muck at the bottom of the well.
Jim George|No matter what, its always an opportunity.
Haruki Murakami|In other words, Shozaburo Takitani was now alone in the world. This was no great shock to him, however, nor did it make him feel particularly sad or miserable. He did, of course, experience some sense of absence, but he felt that, eventually, life had to turn out more or less like this. Everyone ended up alone sooner or later.
Paulo Coelho, The Alchemist|The simple things are also the most extraordinary things, and only the wise can see them.
T.K. Naliaka|If literacy was natural, the word ‘illiteracy’ would not exist.
Clarissa Pinkola Estés|Tears are a river that takes you somewhere…Tears lift your boat off the rocks, off dry ground, carrying it downriver to someplace better.
Andrea Bocelli|Under Pope Francis, we have seen a change at the Vatican that is reflective of the church I know and love. He approaches controversial doctrine or past wrongdoing with humility, understanding, and faith in the goodness of mankind. He has served as a voice for the voiceless and has been working to re-establish the church as a home for the homeless.
Sheryl Sandberg, Lean In: Women, Work, and the Will to Lead|Even in the darkest and most cruel person, there is still a kernel of good. and within the most perfect champion, there is also darkness. The question is, will one give into the dark or the light?
Alexis Steinhauer|Experience had taught me that innocence seldom utters outraged shrikes. Guilt does. Innocence is a mighty shield, and the man or woman covered by it, is much more likely to answer calmly: 'My life is blameless. Look into it, if you like, for you will find nothing.' That is the tone of innocence.
Linda Simpson|When you become complacent with someone lying, whether it is a close friend, the media, or your government, then you have essentially given them permission to continue to do so and most often at your expense.
B. Justin Shier, Zero Sight|I fought the mighty urge to watch her put it on. My libido had just burst out of the closet and was tripping over furniture yelling, "Who? What? Where?" (Please excuse him. He doesn't get out much)
Octavia E. Butler, Imago|I see that if you try to fit someone in a box, she might slip through the seams like water and become her own river.
Gayle Forman, Where She Went|She said it was because one day I was going to have to go through a metamorphosis like a caterpillar transforming into a butterfly and that scared me, so butterflies scared me.
Angelica Hopes, Landscapes of a Heart, Whispers of a Soul|Our tenderness, compassion and kindness go with sensitive generous heart that should not be abused by others.
Gore Vidal, At Home: Essays 1982-1988|I regard monotheism as the greatest disaster ever to befall the human race. I see no good in Judaism, Christianity, or Islam -- good people, yes, but any religion based on a single, well, frenzied and virulent god, is not as useful to the human race as, say, Confucianism, which is not a religion but an ethical and educational system.
Harley King|Sometimes we fight who we are, struggling against ourselves and our natures. But we must learn to accept who we are and appreciate who we become. We must love ourselves for what and who we are, and believe in our talents.
Isabel Quintero, Gabi, a Girl in Pieces|Living a lie is painful, and doesn’t do anyone any good. I had to be true to myself, because, either way, God would know if I was lying.
Charles F. Glassman, Brain Drain   The Breakthrough That Will Change Your Life|Not everyone was privileged to see another sunrise like you did, so before you start complaining remember that the breath of life isn't for sale.
Wallace Stevens|I do not know which to prefer,The beauty of inflectionsOr the beauty of innuendosThe blackbird whistlingOr just after.
Debasish Mridha|When you try hard to find happiness for other, you will unknowingly find yourself on the island of happiness.
Shakti Gawain|There is as much wisdom in listening as there is in speaking - and that goes for all relationships, not just romantic ones.
Abhijit Naskar|Prosthetics can fix physical disabilities. But no prosthetic can fix an amputated spirit. So, don't let the society devoid you from your own spirit. Be brave and upright, and delve into even the depth of doom to achieve your goal.
Ayn Rand, Atlas Shrugged|Whenever a man denounces the mind, it is because his goal is of a nature the mind would not permit him to confess.
Julie Klassen, The Dancing Master|Embrace your beautiful mess of a life with your child. No matter how hard it gets, do not disengage... Do something—anything—to connect with and guide your child today. Parenting is an adventure of the greatest significance. It is your legacy." - Andy Kerckhoff, from Critical Connection
Jesse Ventura|And I pray thee, loving Jesus, that as Thou hast graciously given me to drink in with delight the words of Thy knowledge, so Thou wouldst mercifully grant me to attain one day to Thee, the fountain of all wisdom and to appear forever before Thy face.
Gabrielle Zevin, All These Things I've Done|I wanted to capture what language ability tests could never reveal: her intent, her passion, her imagery, the rhythms of her speech and the nature of her thoughts.
E. Lockhart, Real Live Boyfriends: Yes. Boyfriends, Plural. If My Life Weren't Complicated, I Wouldn't Be Ruby Oliver|Gideon laughed. "I like to be direct.""Okay," I said. "But I warn you, I like to be evasive, inserutable and generally send mixed messages." "I doubt it.""Human interaction is not my strong point," I told him. "Not seriously.""Seriously," I said. Thinking: There is so much about me he doesn't know. Gideon put his hand on my leg. "What's your strong point, then?""Goats," I told him. "I am excellent with goats.
Timothy Zahn, Heir to the Empire|But she wasn't a serving girl in a Phorliss cantina this time, or a come-up flector for a swoop gang on Caprioril, or even a hyperdrive mechanic stuck in the backwater of the Ison Corridor. She was second in command to the most powerful smuggler in the galaxy, with the kind of resources and mobility she hadn't had since the death of the Emperor. [p] The kind of resources that would let her find Luke Skywalker again. And kill him
Anatole France|It is the certainty that they possess the truth that makes men cruel. -Anatole France, novelist, essayist, Nobel laureate (1844-1924)
Alice James|If I can get on to my sofa and occupy myself for four hours, at intervals through the day, scribbling my notes, and able to read the books that belong to me, in that they clarify the density, and shape the formless mass within, life seems inconceivably rich...
Anthony Browne|When you think about such fine actors as Maggie Smith or Michael Gambon, they do all mediums. I think it would be quite sad and a bit dull just to have to stick to one. I like all of them.
Alice Hoffman, The Dovekeepers|Still anyone who trusts a serpent deserves its bite. The wise see a creature for what it is, not what it says it may be.
Debasish Mridha|Oh my love, you are my life boat in the ocean of my life.
Story Musgrave|Art and science are intrinsically the same except for one thing. The universe is in control of your science, whether it's right or wrong, and the public are in control of your art - if they're going to buy it, if you're going to make a living that way.
Robert Fanney|In my experience, nothing worthwhile has ever really been all that easy. But it certainly has been worthwhile regardless how difficult it seemed. 
D.R. Khashaba|Seduced by the spectacular theoretical and practical successes of the objective sciences into thinking that the methods and criteria of those sciences were the only means to truth, philosophers sought to apply those same methods and criteria to questions relating to the meaning of life and the values that give meaning to life. Philosophy, especially the Analytical species prevalent in the English-speaking world, was broken up into specialized disciplines and fragmented into particular problems, all swayed and impregnated by scientism, reductionism, and relativism. All questions of meaning and value were consigned to the rubbish heap of 'metaphysical nonsense'.
Sonny Perdue|The one thing I've always said: Let your family and close friends be the judge of who you are as a person. Don't worry about being judged by others who don't know you, because your family and close friends know what you're all about, good and bad.
T.H. White, The Book of Merlyn: The Unpublished Conclusion to The Once & Future King|He caught a glimpse of that extraordinary faculty in man, that strange, altruistic, rare, and obstinate decency which will make writers or scientists maintain their truths at the risk of death. Eppur si muove, Galileo was to say; it moves all the same. They were to be in a position to burn him if he would go on with it, with his preposterous nonsense about the earth moving round the sun, but he was to continue with the sublime assertion because there was something which he valued more than himself. The Truth. To recognize and to acknowledge What Is. That was the thing which man could do, which his English could do, his beloved, his sleeping, his now defenceless English. They might be stupid, ferocious, unpolitical, almost hopeless. But here and there, oh so seldome, oh so rare, oh so glorious, there were those all the same who would face the rack, the executioner, and even utter extinction, in the cause of something greater than themselves. Truth, that strange thing, the jest of Pilate's. Many stupid young men had thought they were dying for it, and many would continue to die for it, perhaps for a thousand years. They did not have to be right about their truth, as Galileo was to be. It was enough that they, the few and martyred, should establish a greatness, a thing above the sum of all they ignorantly had.
Germany Kent|Everything happens for a reason. Wait on God and trust in Him. He wants the best for us. He wants to take us from glory to glory, and from victory to victory.
