Guy de Maupassant, Original Maupassant Short Stories|A gardin is where you can find a whole spectrum of life, birth and death
Edith Wharton|The true felicity of a lover of books is the luxurious turning of page by page, the surrender, not meanly abject, but deliberate and cautious, with your wits about you, as you deliver yourself into the keeping of the book. This I call reading.
Boris Trajkovski|About 10 years ago, in an effort to gain a better grasp on McCone's world, I took up the hobby of building fully electrified scale models: first of the legal cooperative where she started out, and then of her own brown-shingled cottage, a pursuit that the more tactful of my friends label unusual, and that the more blunt refer to as obsessive.
Tessa Dare, When a Scot Ties the Knot|Anna Wintour hadn't been to any of McQueen's shows, and McQueen didn't like it. McQueen said American Vogue could borrow the dress only if they flew it to New York and back, in its own seat, with an escort. It was a fuck-you and they took it, and the dress was shot by Richard Avedon. "Fashion people haven't got any brains," McQueen said.
Steven Johnson, Where Good Ideas Come From: The Natural History of Innovation|For at the heart of the uniform, reasoning is shaky and elusive: a mind in search of ideas should first stock up on appearances.
Vladimir Nabokov, Lolita|There are gentle souls who would pronounce Lolita meaningless because it does not teach them anything. I am neither a reader nor a writer of didactic fiction, and, despite John Ray's assertion, Lolita has no moral in tow. For me a work of fiction exists only insofar as it affords me what I shall bluntly call aesthetic bliss, that is a sense of being somehow, somewhere, connected with other states of being where art (curiosity, tenderness, kindness, ecstasy) is the norm. There are not many such books. All the rest is either topical trash or what some call the Literature of Ideas, which very often is topical trash coming in huge blocks of plaster that are carefully transmitted from age to age until somebody comes along with a hammer and takes a good crack at Balzac, at Gorki, at Mann.
Michael Bassey Johnson|Don't tell a lie to be loved, speak the truth to be hated.
Wilbur Smith|I lived to play basketball. Growing up as a kid, Bill Russell and the Boston Celtics were my favorite team. The way they played, the teamwork, the sacrifice, the commitment, the joy, the camaraderie, the relationship with the fans.
Kristina Riggle|We all have the best laid plans for our children, and they go and ruin it all by growing up any way they want to. What the hell was it all for, then? (Real Life and Liars)
Sylvain Neuvel, Waking Gods|I do not feel like an alien in this universe. The more I examine the universe and study the details of its architecture, the more evidence I find that the universe is some sense must have known that we were coming
Gregg Rosenblum, Revolution 19|Drink because you are happy, but never because you are miserable. Never drink when you are wretched without it, or you will be like the grey-faced gin-drinker in the slum; but drink when you would be happy without it, and you will be like the laughing peasant of Italy. Never drink because you need it, for this is rational drinking, and the way to death and hell. But drink because you do not need it, for this is irrational drinking, and the ancient health of the world.
Bill Blais, No Good Deed|Telling someone like my mother that Hell is a real, physical place, somewhere you can travel to and from, would be like spray-painting the statue of Jesus hanging over the pulpit during mass. Better off telling her the Pope is gay.
Hugh Prather, Notes to Myself: My Struggle to Become a Person|You say you just want to be my friend. I know that you mean you want to relate to my mind but not my body. I can understand that and will not ask you to relate to me in a way that you don't want to, or talk to me about subjects you find uncomfortable. But likewise I refuse to castrate myself for you by pretending not to have the feelings I have. If you want me as your friend you will have to accept my penis along with me.
Kurt Vonnegut Jr., A Man Without a Country|And on the subject of burning books: I want to congratulate librarians, not famous for their physical strength or their powerful political connections or their great wealth, who, all over this country, have staunchly resisted anti-democratic bullies who have tried to remove certain books from their shelves, and have refused to reveal to thought police the names of persons who have checked out those titles.So the America I loved still exists, if not in the White House or the Supreme Court or the Senate or the House of Representatives or the media. The America I love still exists at the front desks of our public libraries.
Louis Menand|There is history the way Tolstoy imagined it, as a great, slow-moving weather system in which even tsars and generals are just leaves before the storm. And there is history the way Hollywood imagines it, as a single story line in which the right move by the tsar or the wrong move by the general changes everything. Most of us, deep down, are probably Hollywood people. We like to invent “what if” scenarios--what if x had never happened, what if y had happened instead?--because we like to believe that individual decisions make a difference: that, if not for x, or if only there had been y, history might have plunged forever down a completely different path. Since we are agents, we have an interest in the efficacy of agency.
Shannon Hale, River Secrets|Razo hopped back up and adopted a posture that said he was completely unruffled, never had been, and in fact was ready to do something manly like lift boulders or swallow live worms.
Tyler Posey|When my wife and I met, I couldn't talk to her - and my defense mechanism is sarcasm. I belittle someone with verbal pokes and prods. I did it to her out of complete awe. When friends introduced us, I said 'Hi' - and turned my back. Later, I called my mom and best friend and said, 'I think I just met my wife.'
Kevin Cowdall, Paper Gods and Iron Men|There is no such thing as an 'unemployed writer', only an unemployed mind
Thomas S. Monson|May I share with you a formula that in my judgment will help you and help me to journey well through mortality... First, fill your mind with truth; second, fill your life with service; and third, fill your heart with love.
Susan Dennard, Strange and Ever After|I can still make a fist, and breath still burns in my chest. So look at my face. Look at my mortal soul, and remember it. You did not crush me, and you will have the rest of eternity to think on it.
