Michael Pollan, The Omnivore's Dilemma: A Natural History of Four Meals|a man who was, as we say in the restaurant business, one taco short of a combo platter.
Uma Shanker|The grass remains green only as long as you water it. Similarly, a relationship remains fresh only as long as you nurture it with love.
Gustave Flaubert, November|I tried to discover, in the rumor of forests and waves, words that other men could not hear, and I pricked up my ears to listen to the revelation of their harmony.
Rick Riordan, The Son of Neptune|The person who exudes a love of life, infused with charm and a smile, this is the person of value.
Kou Yoneda, No Touching At All|She was smart and terribly determined, this girl-her will was pure steel, through and through-but she was as human as anyone else. She was lonely, too. Lonely in a way that perhaps only single girls fresh from small Midwestern towns know. Homesickness is not always a vague, nostalgic, almost beautiful emotion, although that is somehow the way we always seem to picture it in our mind. It can be a terribly keen blade, not just a sickness in metaphor but in fact as well. It can change the way one looks at the world; the faces one sees in the street look not just indifferent but ugly....perhaps even malignant. Homesickness is a real sickness- the ache of the uprooted plant.
Deyth Banger|No one can express who you are and what you stand for more than you do. Don't leave that to chance or others. If you do so, the likelihood of other people misgauging you is high. Take charge!
Trenton Lee Stewart, The Mysterious Benedict Society|Out from behind the desk where he’d been sitting, hidden by the piles of books, appeared a bespectacled, green-eyed man in a green plaid suit. His thick white hair was shaggy and mussed, his nose was rather large and lumpy like a vegetable, and although it was clear he had recently shaved, he appeared to have done so without benefit of a mirror, for here and there upon his neck and chin were nicks from a razor, and occasional white whiskers that he’d missed altogether. This was Mr. Benedict.
Donald Barthelme, Unspeakable Practices, Unnatural Acts|There was a certain amount of initial argumentation about the "meaning" of the balloon; this subsided, because we have learned not to insist on meanings, and they are rarely even looked for now, except in cases involving the simplest, safest phenomena.
Jacqueline Simon Gunn, Noah's Story|She averted his eyes, but not before he recognized the pain in them, a tormented and languished gaze, a stare preserved for people who were able to love deeply enough that they could be destroyed by it. For a moment, he knew that gaze intimately, remembering it from a time long gone. The ache of a shattered belief once known. He knew that feeling.
Bruce Coville, My Teacher is an Alien|Hey, Geekoid!" yelled Duncan Dougal, "Why do you read so much? Don't you know how to watch TV?
Jacques Yonnet, Paris Noir: The Secret History of a City|When Victor Hugo was buried, you couldn’t find a whore in all of Paris. They were too busy paying their respects. That was a man – and he still has a show on in the West End.
Chandler Ivanko|One is ejected into the world like a dirty little mummy; the roads are slippery with blood and no one knows why it should be so. Each one is traveling his own way and, though the earth be rotting with good things, there is no time to pluck the fruits; the procession scrambles toward the exit sign, and such a panic is there, such a sweat to escape, that the weak and the helpless are trampled into the mud and their cries are unheard.
Cassandra Clare, City of Bones|She saw Luke, standing atop a pile of bones. Jace with white feathered wings sprouting out of his back, Isabelle sitting naked with her whip curled around her like a net of gold rings, Simon with crosses burned into the palms of his hands. Angels, falling and burning. Falling out of the sky.
Charles A. Lindbergh|Vanity Fair--Vanity Fair! Here was a man, who could not spell, and did not care to read--who had the habits and the cunning of a boor: whose aim in life was pettifogging: who never had a taste, or emotion, or enjoyment, but what was sordid and foul; and yet he had rank, and honours, and power, somehow: and was a dignitary of the land, and a pillar of the state. He was high sheriff, and rode in a golden coach. Great ministers and statesmen courted him; and in Vanity Fair he had a higher place than the most brilliant genius or spotless virtue.
Sylvester Stallone|I love Rauschenberg. I love that he created a turning point in visual history, that he redefined the idea of beauty, that he combined painting, sculpture, photography, and everyday life with such gall, and that he was interested in, as he put it, 'the ability to conceive failure as progress.'
Lori Foster|I remember lying on the floor of my room, staring at a black-and-white television for most of the '80s - watching 'Diff'rent Strokes,' 'Facts of Life,' 'Silver Spoons,' Saturday morning cartoons, and 'Murder, She Wrote' while eating an insane amount of Stouffer's French bread pizza. I was sucked into it all.
J.K. Rowling, Harry Potter and the Goblet of Fire|There is a room in the Department of Mysteries, that is kept locked at all times. It contains a force that is at once more wonderful and more terrible than death, than human intelligence, than forces of nature. It is also, perhaps, the most mysterious of the many subjects for study that reside there. It is the power held within that room that you possess in such quantities and which Voldemort has not at all. That power took you to save Sirius tonight. That power also saved you from possession by Voldemort, because he could not bear to reside in a body so full of the force he detests. In the end, it mattered not that you could not close your mind. It was your heart that saved you.
M. Basilea Schlink|Our objections - whether they be theological or psychological - usually have but one root: It is pride that makes us reject the message of repentance.For repentance means humbling ourselves before God and man, changing our ways and making amends. In doing so, we admit that our former ways were wrong, and that is humbling.No other sin is so firmly ingrained in our hears as pride, especially in the hearts of those who acknowledge Jesus as their Savior.
Mindy Levy|Deep, hearty, clean and compassionate laughter is vitamin-tastic fuel for the soul.
Christopher S. Hyatt, Sex Magic, Tantra & Tarot: The Way of the Secret Lover|Kessa began to cut her meat into tiny pieces. As a whole it was unmanageable, frightening; but divided and arranged, the meat could be controlled. She cut four pieces. She'd count to four between each bite.
William Hague|If we tried to write about politics, you'd realize that we're all a bunch of idiots.
Lodro Rinzler, The Buddha Walks into a Bar...: A Guide to Life for a New Generation|I feel separated and cut off from the world around me, but occasionally I've felt that it was really a part of me, and I hope I'll have that feeling again, and that next time it won't go away. That's a dim, misty outline of the story that's told so often, of how man once lived in a golden age or a garden of Eden or the Hesperides ... how that world was lost, and how we some day may be able to get it back again. ... This story of the loss and regaining of identity is, I think, the framework of all literature.
Abdul'Rauf Hashmi|I handle wisdom only after I just looked down, listened to and understood.
An Igbo billionaire on CNN|Don't work for money, work to learn
Emily  Williams, Letters to Eloise|Shrieking Brooke’s name as loudly as I could, out in the corridor, I brought her running quickly to my room.‘What’s happened, what’s wrong?’ she immediately cried concerned, legging it up the stairs two at a time. She appeared breathless outside the kitchen door. Brian appeared sleepily at his door too, awoken by the noise, and watched us.‘She’s moving,’ I cried.‘What? Flutters like before?’‘No more, here feel.’ I grabbed her hand and pushed it down onto myexposed belly. Brian averted his eyes as I stood, belly out and top up over my bra, in the middle of the corridor.‘I can’t push you that hard,’ she exclaimed, pulling back her fingers surprised. ‘It will hurt you, or her, I can’t do that.’‘Yes, you can,’ I insisted. ‘You won’t hurt us.’ I pulled her hand back and pushed her long fingers into my belly and we stood waiting, hardly daring to breathe. You kicked again, hard into my side, under Brooke’s long pink fingernails. Brooke jumped away from me in shock and then burst out laughing. She clapped her hands together delighted.‘Well?’ I asked her.‘She kicked me,’ Brooke shrieked still jumping up and down clapping. ‘She kicked me. That was amazing, let me do it again.’ She came back over towards me slowly. Cautiously she pushed her fingers into the same spot on my side. We waited again in silence and I saw her face slightly drop as the seconds ticked by.‘Ah it works,’ she yelled, as again she jumped back shocked as the tiny little feet thudded from my insides at her hand. ‘I love it. Do it again.’ I laughed and then Brian stepped forward.‘Can I have a go?’ he asked quietly, fiddling with his hands and stepping out of his room towards us.‘Of course you can, come here.’And that is how we spent the next few minutes out in the corridor by the kitchen, shrieking, whooping, and jumping around. If anyone had been in the house, I know they would probably have thought we were all mad. Mad, no. Thrilled and excited, most definitely.Baby girl, you did that to us. Thank you.
Jennifer L. Armentrout, Every Last Breath|With every breath I take, I will always love you.
Ansel Adams|If what I do prove well, it won't advance. They'll say it's stolen, or else it was by chance.
Howard Nemerov|I like all my children, even the squat and ugly ones.
Sassafras Lowrey, Lost Boi|There is magic everywhere around you, but most people are too busy being grownup to notice it.
Paramahamsa Nithyananda, Living Enlightenment|The Stone of Guilt in the River of the Mind, the block in the flow of intelligence.~ Paramahamsa Nithyananda
Kurt Cobain|The ABC's are attitude, behavior and communication skills.
Ziad K. Abdelnour, Economic Warfare: Secrets of Wealth Creation in the Age of Welfare Politics|His fingers splayed out while my heart slammed against his hand."How did i ever stay away from you ? I heard this calling out for me everyday." I could feel is breath across my face,his words so sad,filled with so much regret."Did you here mine?""yes",I breathed out as my whole body began to shake under his."My heart only beat because I could still feel your love.It was the only thing i had.
Periyar E.V. Ramasamy|If god is the root cause for our degradation destroy that god. If it is religion destroy it. If it is Manu Darma, Gita, or any other Mythology (Purana), burn them to ashes. If it is temple, tank, or festival, boycott them. Finally if it is our politics, come forward to declare it openly.
Thomas Bangalter|I want people to use Perl. I want to be a positive ingredient of the world and make my American history. So, whatever it takes to give away my software and get it used, that's great.
Phil Zuckerman, Faith No More: Why People Reject Religion|I would wish this book could take the form of a plea for everlasting peace, a plea from one who knows... Or it would be fine to confirm the odd beliefs about war: it's horrible, but it's a crucible of men and events and, in the end, it makes more of a man out of you.But, still, none of these notions seems right. Men are killed, dead human beings are heavy and awkward to carry, things smell different in Vietnam, soldiers are afraid and often brave, drill sergeants are boors, some men think the war is proper and just and others don't and most don't care. Is that the stuff for a morality lesson, even for a theme?Do dreams offer lessons? Do nightmares have themes, do we awaken and analyze them and live our lives and advise others as a result? Can the foot soldier teach anything important about war, merely for having been there? I think not. He can tell war stories.
Rachel Bertsche, MWF Seeking BFF: My Yearlong Search For A New Best Friend|Because while we all Facebook stalk, protocol is to not admit it. I might know, from status update, that a potential best friend swims laps every mornings, but it'd be creep to say "Don't worry about eating that doughnut, you deserve it after all those calories you burn!" Instead, I check out her profile and she reviews mine, but then we meet and pretend to know nothing.
Josephine Humphreys, The Fireman's Fair|Still smiling she carried the TV through the doorway; then she gave it the strongest heave she could manage... When it hit Alan's oversized brick barbecue and the glass front of the TV smashed, Leslie didn't think she'd ever heard a more satisfying sound.
Alexander Graham Bell|If you know the right path, never keep it to only yourself! If you know the wrong path, never keep it to only yourself!
D.A. McBride|Great things seem complex and cause the nations to rush towards the minor things that seem easy to reach, hence, they perish. And again my memory echoes…my people die for lack of knowledge.
Sunday Adelaja, Create Your Own Net Worth|If you want to help anybody, go help people in need.
Lailah Gifty Akita|Love yourself,love your uniqueness. You are the only person can be true to yourself.
Jay Woodman|I am beautiful, one with cosmos, life force, eternal abundance, joy, vitality, infinite consciousness.
Padma Lakshmi, Love, Loss, and What We Ate: A Memoir|Simply being born female in our society is to grow up being told your worth as a person is tied to how slim and attractive you are. Even for those of us lucky enough to have evolved parents, the message is still driven home by the world at large.
Debasish Mridha|Heaven in not out there, it is in your blissful heart.
Maximillian Degenerez|My personal goals are to be happy, healthy and to be surrounded by loved ones.
James Dashner, The Scorch Trials|I was just kidding, shuck-face," Minho said. "Let's all go over there. She could have an army of psycho girl ninjas hiding in that shack of hers.""Psycho girl ninjas?" Newt repeated, his voice showing he was surprised, if not annoyed, by Minho's additude.
Tom Petty|Desire is the key to motivation, but it's the determination and commitment to unrelenting pursuit of your goal - a commitment to excellence - that will enable you to attain the success you seek.
Suzy Kassem, Rise Up and Salute the Sun: The Writings of Suzy Kassem|Let's face it. We live in a command-based system, where we have been programmed since our earliest school years to become followers, not individuals. We have been conditioned to embrace teams, the herd, the masses, popular opinion -- and to reject what is different, eccentric or stands alone. We are so programmed that all it takes for any business or authority to condition our minds to follow or buy something is to simply repeat a statement more than three or four times until we repeat it ourselves and follow it as truth or the best trendiest thing. This is called "programming" -- the frequent repetition of words to condition us how to think, what to like or dislike, and who to follow.
Jerry Bridges, The Pursuit of Holiness|It is not the importance of the thing, but the majesty of the Lawgiver, that is to be the standard of obedience.~Andrew Bonar~
Carl Friedrich Gauß|It is not knowledge, but the act of learning, not the possession of but the act of getting there, which grants the greatest enjoyment.
Michel Foucault|Dewey believed that education has a practical function and should not be seen as a series of pointless hurdles to jump over before 'real life' begins. Education isn't a preamble to life; it's part of life, and it exists to solve practical human problems and meet human needs.
Margaret Atwood, MaddAddam|The possibility of injury or death was a strong attraction: as the online world became more and more pre-edited and slicked up, and as even its so-called reality sites raised questions about authenticity in the minds of the viewers, the rough, unpolished physical world was taking on a mystic allure.
Colm Toibin|Often I have heard the taunt that suffragists are women who have failed to find any normal outlet for their emotions, and are therefore soured and disappointed beings. This is probably not true of any suffragist, and it is most certainly not true of me. My home life and relations have been as nearly ideal as possible in this imperfect world.
Christopher Knight|In closing I wish to say that while I was sorely beset by a number of white riders in my racing days, I have also enjoyed the friendship of countless thousands of white men whom I class as among my closest friends.
Ernest Agyemang Yeboah|Comfort, though can be a real reason for mediocrity and conformity, improves speed and enhances mind power greatly!
James D. Houston, Where Light Takes Its Color from the Sea: A California Notebook|The sea was like another member of the household, a recalcitrant child at times, a soothing aunt at others. She crooned them awake; she crooned them to sleep. Everywhere, there was the smell of salt.
Kaitlyn Greenidge, We Love You, Charlie Freeman|It's a myth that people who live in cities are naturally more open-minded, more accepting and tolerant of difference. The truth is, whatever people are, be it saints or bigots, they simply are these things, and the city - by smashing all those different kinds of people up against one another - just makes people's tolerance (or lack of it) all that much more pronounced.
Jerome K. Jerome, The Angel and the Author|Such is the joy of concluding a day performing duties earnestly leaving ends upon His feet! I have nothing to gain here except virtues, nothing to lose except love, O Lord, I am here to breathe the beauty of life!
Gabriel Madison|If you tell a person about paradise,It becomes a dream.If you show a person paradise,It becomes a goal!
Laurie Nadel, Dancing with the Wind: A True Story of Zen in the Art of Windsurfing|Swirling around my ears, the wind and I whooping at the sea, picking up speed, breathing it all in. An act of loving life.
Mahershala Ali|Now, being one who lived in the era of Obama, there are so many markers of improvement made. It's hard to be mindful of that, in the same way you're going, 'Oh everything's cool now!' and it isn't. But I try to be mindful of how much of an improvement there has been because that gives hope. You need hope. I need hope!
Hannah Harding|I want to board a train, and leave my books behind. I want to be so caught up in writing about the journey, that I forget that fiction & fact are not the same. The destination does not signify.
D.B.C. Pierre, Vernon God Little|Oh, he was a decent-enough high school student, good grades and well-liked, but his test scores were nothing to write home about. He might as well have Christmas-treed the math test.
John C. Reilly|I have a vanilla chai latte every morning, which I usually follow with an oatmeal raisin cookie and eggs for breakfast.
Mignon McLaughlin|The Pacific is my home ocean; I knew it first, grew up on its shore, collected marine animals along the coast. I know its moods, its color, its nature.
Debasish Mridha|... ongoing care for the soul rather than seek for a cure appreciates the mystery of human suffering and does not offer the illusion of a problem-free life.I sees every fall into ignorance and confusion as an opportunity to discover that the beast residing at the center of the labyrinth is also an angel.To approach this paradoxial point of tension where adjustment and abnormality meet is to move closer to the realization of our mystery-filled, star-born nature.It is a beast this thing that stirs in the core of our being, but it is also the star of our innermost nature.We have to care for this suffering with extreme reverence so that in our fear and anger at the beast, we do not overlock the star.~Thomas Moore *Care of the Soul*
Sara Pennypacker, Pax|ANGERSome Dreams Lead In AngerEven The Coolest People Have Their Limits.While In Anger,Your Mouth Works Faster Than MindEvery Level Of Anger Comes With Another Level Of PainSELF MOTIVATIONUnwarp YourselfOpen The Knot in Which You Were Tied YourselfThe Faces That You Wear Aren't You.You Are What You Wish pinched the peak of madness
Matthew Rhys|Cyber war takes place largely in secret, unknown to the general public on both sides.
Russell Shorto, Descartes' Bones: A Skeletal History of the Conflict Between Faith and Reason|Do you know, I sometimes, catch myself wishing that I too were blind to the facts of life and only knew its fancies and illusions. They're wrong, all wrong, of course, and contrary to reason; but in the face of them my reason tells me, wrong and most wrong, that to dream and live illusions gives greater delight. And after all, delight is the wage for living. Without delight living is a worthless act. To labor at living and be unpaid is worse than to be dead. He who delights the most lives the most, and your dreams and unrealities are less disturbing to you and more gratifying than are my facts to me. I often doubt, I often doubt, the worthwhileness of reason. Dreams must be more substantial and satisfying. Emotional delight is more filling and lasting than intellectual delight by having the blues. Emotional delight is followed by no more than jaded senses which speedily recuperate. I envy you, I envy you
Soledad O'Brien|I think 'Heroes of Cosplay' will show a lot of the positive things, like how much effort it takes to make a costume. These people on the show aren't taking shortcuts. As long as that effort gets through to the viewers, we will be inspirational. Then there will be people who watch the show that want to get in and hands-on make outfits.
Israelmore Ayivor, The Great Hand Book of Quotes|If I am to choose between "sleeping" and "being part of a leadership that pursues irrelevant agenda", I will choose "sleeping". Chasing of irrelevant agenda by a leadership sect is what made Nelson Mandela to call it "Long Walk to Freedom!
John Donne|If you fill your mind with wonderful thoughts, there can be no room left for doubt.
Erich Fromm, Escape from Freedom|They were more free, but they were more alone.
Billy Graham, Billy Graham in Quotes|Guard your tongue, and use it for good instead of evil. How many marriages or friendships have been destroyed because of criticism that spiraled out of control? How many relationships have broken down because of a word spoken thoughtlessly or in anger? A harsh word can’t be taken back; no apology can fully repair its damage.
Rosa Luxemburg|My sister and I cooked a lot together; my sister was a very healthy vegetarian. She was always a real good teacher for me about organics, recycling, composting -whenever you hear me talk about it, it's usually because of my sister's influence.
Ernest Agyemang Yeboah|What to describe patience, how to check that? One may balance its anger, desire, feeling and burden of waiting, which show the routine attitude that one can adopt. However, the real test of one's patience appears when a naked woman invites in front of it; one ignores and avoids, to respond and react since that grasps the significant and substantial patience; it verifies that.
Jacqueline Carey, Kushiel's Dart|There are those who are awkward in the face of sorrow, fearing to say the wrong thing; to them, I say, there is no wrong in comfort, ever. A kind word, a consoling arm ... these things are ever welcome.
Kathy Love, Wanting Something More|And I know that when you get hurt, your first instinct is to run. But I also realized something else. No one has ever followed you when you did run. But I'm going to follow, and I'm going to keep following until you realize that you can trust me. I'm not going to let you run away from something that could be so great. That is so great. Marty, I love you.- Nate
Helene D. Gayle|A lot of people resist transition and therefore never allow themselves to enjoy who they are. Embrace the change, no matter what it is; once you do, you can learn about the new world you're in and take advantage of it.
John Simm|Fight the good fight of faith, and God will give you spiritual mercies.
Andrew Wommack, A Better Way to Pray|Faith is a powerful force, but you must believe in order to reap its benefits.
Steve Maraboli|When thunderstorms roll in, you make a choice to either succumb with tears to the gloomy downpour, or smile and look for rainbows.
Habeeb Akande|Frog in the mud is happier than the man, because it has no ambition to reach the stars!
