Dick Van Dyke, Keep Moving: And Other Truths About Living Well Longer|Aging is scary but fascinating, and great talent morphs in strange and often enlightening ways.
Drishti Bablani, Wordions | Uns|It's the gravity of love that makes you fall,and it's the same force that builds you up.
Melina Marchetta, Finnikin of the Rock|Today this courtyard was filled with great warriors. What is more? But it was not filled with great men who have the heart to rule a kingdom. Any man can kill, Finnikin. It is a stroke, an action with one's hand. But not every man knows how to lead.
Mo Hayder, Hanging Hill|I'm a post-menopausal woman who's lived in a man's world for twenty years. A more cynical, cruel creature it's hard to find.
Himmilicious, The Clicked Shutterbug.|LaMont, the truth is that the world is incredibly, incredibly, unbelievably old. You suffer with the stunted desire caused by one of its oldest lies. Do not believe the photographs. Fame is not the exit from any cage.
|Some are born to greatness; some achieve greatness; some have greatness thrust upon them.' It is in this way that the librarian has become a censor of literature... books that distinctly commend what is wrong, that teach how to sin and how pleasant sin is, sometimes with and sometimes without the added sauce of impropriety, are increasingly popular, tempting to the author to imitate them, the publishers to produce, the bookseller to exploit. Thank heaven they do not tempt the librarian.
Shallu Jindal|I’ve said before, Harry, no need to hide your light,” said Alice, squeezing his hand. She giggled, “Dance, monkey, dance.
William Butler Yeats|High aims form high characters, and great objects bring out great minds.
Amy Carmichael, Gold Cord|So much is asked of parents, and so little is given.
Pete Hamill|I don't ask for the meaning of the song of a bird or the rising of the sun on a misty morning. There they are, and they are beautiful.
P. J. O'Rourke|Romantic art deals with the exception and with the individual. Good people, belonging as they do to the normal, and so, commonplace type, are artistically uninteresting.
David Foster Wallace, Infinite Jest|Like most North Americans of his generation, Hal tends to know way less about why he feels certain ways about the objects and pursuits he's devoted to than he does about the objects and pursuits themselves. It's hard to say for sure whether this is even exceptionally bad, this tendency.
Toba Beta, Betelgeuse Incident: Insiden Bait Al-Jauza|If you feel obsessed to prove something to the world, then you'd need world attention to be able to prove it.
Lee Bice-Matheson, Destiny's Gate|The public has an exalted view of authors, and rightly so. Great writers impact deeply on our imagination. And yet, behind the kudos, there sometimes lurks a person at odds with the nobility of the author photo or the 'sheer humanity' of the prose style.
