L.J. Vanier|Because the best gift in life, is just having someone to drink hot chocolate with
Assegid Habtewold, The 9 Cardinal Building Blocks: For Continued Success in Leadership|If we aren't trustworthy to our own words  and values, why should we expect others to trust us with their resources, let alone with their lives?
C. JoyBell C.|You can have a pet zebra and put that zebra into a small cage every day and tell the zebra that you love it, but no matter how you and the zebra love each other, the fact remains, that the zebra should be let out of that cage and should belong to someone who can treat it better, the way it should be treated, someone who can make it happy.
Chimamanda Ngozi Adichie, Americanah|Sometimes she worried that she was too happy. . . And her joy would become a restless thing, flapping its wings inside her, as though looking for an opening to fly away.
Dani Shapiro|If you are a twin, you watch yourself live two lives–yours and hers. It’s constant comparison. I am never as good as the bad I wanted her to be. I was the only soldier I needed. We couldn’t haven known what splitting would mean. Time speeds past fast, scattering like shrapnel, and is quiet as cobwebs. We wait for the ambush. Sister will find out first; she’ll be my living memory. She will be the body left standing.
Samuel Butler|I did commit to myself that I would not jump back into being the workaholic that I can be before I gave myself an honest opportunity to create the marriage of my dreams and to create the beginning of the family of my dreams, and that took a hot second.
Jose Ortega y Gasset|While we are under the tyranny of Priests, it will ever be their interest, to invalidate the law of nature and reason, in order to establish systems incompatible therewith.
Robert A. Heinlein, Friday|A dying culture invariably exhibits personal rudeness. Bad manners. Lack of consideration for others in minor matters. A loss of politeness, of gentle manners, is more significant than is a riot.
Diana Gabaldon, Written in My Own Heart's Blood|Your mother said that Fraser sent her back to me, knowing that I would protect her--and you. ... And like him, perhaps I send you back, knowing---as he knew of me--that he will protect you with his life. I love you forever, Brianna. I know whose child you truly are. With all my love, Dad.
Jolene Haley, Harrowed|My father saw him one time. We live in mexico, on the farm, and Father went to feed the horses. At night. Little man was standing there giving hay to the horses. And Father watch and he came and he told Mother, 'Jedushka Di Muvedushka feeding the horses'. He don't get scared, nothing. In the morning we go look, the horses' hair all braided. So Beautiful! All their hair braided.
Anonymous, Holy Bible: King James Version|Our fall was, has always been, and always will be, that we aren’t satisfied in God and what He gives. We hunger for something more, something other.
Nan Shepherd, The Living Mountain|They were both at such an age that they stood on a cusp. They could think in one part of their minds that their whole lives stretched out before them without boundary or limit. At the same time another part guessed that youth was about over for them and what lay ahead was another country entirely, wherein the possibilities narrowed down moment by moment. 
Samuel Shem|Eunuchs do not take the gout, nor become bald.
Lailah Gifty Akita, Think Great: Be Great!|Where there is life, there is a hope.
Idries Shah, Caravan of Dreams|Take the straight path, even if it is long: marry no widow, even if she is a houri.
Shashi Tharoor|We have no hope of solving our problems without harnessing the diversity, the energy, and the creativity of all our people.
Rowan Williams|As the plane got closer to Miami, I had this terrible feeling he was dying. Maybe he was telling me that he was going. I felt anger, panic, despair and helplessness.
Vishwas Chavan, Vishwasutras: Universal Principles for Living: Inspired by Real-Life Experiences|I strongly believe that success is directly proprotional to one's ability to be simple and comfortable. In fact, simplicity and comfort have a multiplication effect, thus increasing the chances of expedited and sustained success.
Paul E. White, Rising Above a Toxic Workplace: Taking Care of Yourself in an Unhealthy Environment|God sends Children, Parents help them grow up.Teachers teach students, An academy makes them Professionals.
Edmund Vance Cooke|For 'wellness', naturally is no cause of complaint--people relish it, they enjoy it, they are at the furthest pole from complaint. People complain of feeling ill--not well. Unless, as George Eliot does, they have some intimation of 'wrongness' or danger, either through knowledge or association, or the very excess of excess. Thus, though a patient will scarcely complain of being 'very well', they may become suspicious if they feel 'too well'.
Ban Ki-Moon|With her courage and determination, Malala has shown what terrorists fear most: a girl with a book.
