Alex Hirsch, Gravity Falls: Journal 3|Life is totally unbelievable. Enjoy it at its fullest, with no regrets.
Tara Estacaan|He watched him stoke the flames, God's own firedrake. The sparks rushed upward and died in the starless dark. Not all dying words are true and this blessing is no less real for being shorn of its ground.
Kilroy J. Oldster, Dead Toad Scrolls|We cannot replicate other people’s lives. We must each institute and broker a personalized meaning to our exclusive existence. We must each serve as our own Zen master, awaken to our inviolate personal truth, and strive to fulfill our sui generis (unique) nature.
Tracy March, Just Say Maybe|Rob had been her first lover, and she had been his. It was always amazing to her that when all her friends spoke of losing their virginity, they all said how awkward it was, but with Rob it had been beautiful. They had been so in love at seventeen and so confident of their future together that making love had been as natural to them as the simple act of breathing.
Netiera Danise, Common Cents: How to Live a Happy Life Without Money? It's Simple, Just Live!|Life's rewards as well as it's short-comings are magnetic reflections of the vivacious energies we release through our thoughts, our actions, and our words.
Anthony Biglan, The Nurture Effect: How the Science of Human Behavior Can Improve Our Lives and Our World|Humans have evolved levels of cooperation that are unprecedented among primate species. You can see it even in babies. Say you are playing with a baby and begin to put the toys in a box. If you point to one of the toys, the baby is likely to put it in the box (Liebal et al. 2009)... Human babies are more likely than other primates to follow another’s pointing or gaze. Thus, even before adults have socialized them, babies show tendencies to be in sync with the social behavior of others, to infer others’ intentions to cooperate, and to prefer cooperation in others.
Aravind Adiga|I gather you yellow-skinned men, despite your triumphs in sewage, drinking water, and Olympic gold medals, still don't have democracy. Some politician on the radio was saying that that's why we Indian are going to beat you: we may not have sewage, drinking water, and Olympic gold medals, but we do have democracy.If I were making a country, I'd get the sewage pipes first, then the democracy, then I'd go about giving pamphlets and statues of Gandhi to other people, but what do I know? I am just a murderer!
Matthew Flinders, Defending Politics: Why Democracy Matters in the Twenty-First Century|Is it possible thatwe ‘hate’ politics because we have forgotten its specifi c and limitednature, its overwhelming value, and also its innate fragility? Could it bethat our expectations are so high that politics appears almost destinedto disappoint? Democratic politics cannot make ‘every sad heart glad’,as Crick argued, nor did it ever promise to do so. But not alwaysgetting what you want, an awareness that public governance is oftenslow and bureaucratic, a frustration that some decisions are hard tounderstand or have to be made in secret, disbelief and anger at the selfinterestedbehaviour of a small number of politicians, and an acceptancethat some people will always take out more from the system thanthey put in—these are the prices you pay for living in a democracy.
Nikki Rowe|You could tell she was a free spirit, a gypsy, just by looking at her. A smile like that doesn't come from a sad soul.
Bono|ISIS and these kinds of extremists are a death cult. We’re a life cult. Rock ’n’ roll is a life force, and it’s joy as an act of defiance.
Daniel J. Rice, The Unpeopled Season: Journal from a North Country Wilderness|Rum is tonic that clarifies the vision,and sets things in true perspective.
Ravi|Well when my death is in front, I just want to turn back to my life, And say the last thing, looking in to its lens that, “Life oh my life, Nobody would have ever painted this life as beautiful as i did”. Good Bye-Ravi
Alex Flinn, Beastly|It would be so great to have someone my own age to talk to, even if it was just about books.
Tracy March, Should've Said No|He opted for a flaky, apricot-filled croissant and Columbian coffee. Dani chided him for being unimaginative, then proceeded to eat most of his, while ignoring her own.	"I'd be glad to buy you one."	Dani gave him a wide-eyed, innocent stare, then popped the last bit of his breakfast into her mouth.	"I couldn't eat another bite.
