David Archuleta, Chords of Strength: A Memoir of Soul, Song and the Power of Perseverance|I made up my mind not to care so much about the destination, and simply enjoy the journey.
Margaret Mahy, The Changeover|The prospect Smiler was a manic farmer. Few men I think can have been as unfortunate as he; for on the one hand he was a melancholic with a loathing for mankind, on the other, some paralysis had twisted his mouth into a permanent and radiant smile. So everyone he met, being warmed by his smile, would shout him a happy greeting. And beaming upon them with his sunny face he would curse them all to hell.
Justin Cronin, The City of Mirrors|Story!" The dwarf snorted. "You'll be talking about "happily ever after" next. Do we look happy? There's no happily ever after for us. Miserabily ever after, more like.
Sunaura Taylor, Beasts of Burden: Animal and Disability Liberation|It's not that there are no challenges to becoming a vegetarian or vegan, but in the media, including authors of popular books on food and food politics, contribute to the 'enfreakment' of what is so often patronizingly referred to as the vegan or vegetarian 'lifestyle.' But again, the marginalization of those who care about animals is nothing new. Diane Beers writes in her book For the Prevention of Cruelty: The History and Legacy of Animal Rights Activism in the United States that 'several late nineteenth-century physicians concocted a diagnosable for of mental illness to explain such bizarre behavior. Sadly, they pronounced these misguided souls suffered from "zoophilpsychosis."' As Beers describes, zoophilpsychosis (an excessive concern for animals) was more likely to be diagnosed in women, who were understood to be 'particularly susceptible to the malady.' As the early animal advocacy movement in Britain and the United States was largely made up of women, such charges worked to uphold the subjugation both of women and of nonhuman animals.
Sōseki Natsume, I am a Cat III|It is painfully easy to define human beings. They are beings who, for no good reason at all, create their own unnecessary suffering.
Ljupka Cvetanova, The New Land|Love is worth dying for, said the spermatozoid.
Charles   Williams, The Hot Spot|Her mouth was soft and moist, and she came to me like a dachshund jumping into your lap.
John Millington Synge|America gave the world the notion of the melting pot - an alchemical cooking device wherein diverse ethnic and religious groups voluntarily mix together, producing a new, American identity. And while critics may argue that the melting pot is a national myth, it has tenaciously informed the America's collective imagination.
Thomas Perry|We had great faith that with patience, understanding, and education, that my family and I could be helpful in changing their minds and attitudes around.
Benedict Jacka, Fated|For years I'd been trying to forget..., locking it up and burying it deep in my memory. The journey... had shattered that, bringing it all back - but now that I'd faced it, I found to my surprise that the fear had been worse than the reality.
Priya Ardis, My Merlin Awakening|Vane’s lips tightened to suppress a smile. “Why so hostile, love?”“You whacked me on the head with a ball!”“You deserved it.
