Kim Stanley Robinson, The Years of Rice and Salt|It is a long time ago. So many lives ago--I get them all confused, don’t you?
Therese Walsh, The Last Will of Moira Leahy|I hope we can inaugurate a new humility in our use of religious language, which for me is the very proof that it is authentic.
Barack Obama|In the spring of 1936, I was introduced by friends to Jean Tatlock. In the autumn, I began to court her. We were at least twice close enough to marriage to think of ourselves as engaged.
Richard Louv, Last Child in the Woods: Saving Our Children from Nature-Deficit Disorder|We have such a brief opportunity to pass on to our children our love for this Earth, and to tell our stories. These are the moments when the world is made whole. In my children's memories, the adventures we've had together in nature will always exist.
sid|To enjoy beauty in the company of myself is to experience beauty bound by the limits of the sole person that I am. But, to experience beauty in the company of God is to experience beauty bound by the limits of Who God is, which is to experience beauty without limits.
Richelle Mead, The Golden Lily|You used nunchucks on a moose?"Wolfe got a haunted look in his eyes. "I used all sorts of things on that bastard.
Daniel Pike, The Wolf of Descarta|The Dream Box wasn't a place, but it was a destination. It wasn't life, but it was a way of life. Reese wasn't awake in the Meat Space the way he was in Cyber, where a billion liters of endorphins blasted through the biological wiring of his veins with every corner his mind turned, where every conscious or subconscious choice he made was infused with importance. Linked in, he could partake of the guiltless ecstasy that was up for grabs, even for people like him. Linked in as Balmus, he could even be his own hero.
Stanley Victor Paskavich|Gandhi sacrificed India for his own fame and recognition. Without Gandhi, there would have been a different India; a very masculine one.
Catherynne M. Valente, The Girl Who Fell Beneath Fairyland and Led the Revels There|Perhaps memory is a thing that everyone involved has to work at, like stitching up a big quilt out of everything that ever happened to you.
Carolyn Spring, Living with the Reality of Dissociative Identity Disorder: Campaigning Voices|A chorus of voices exhorts kids to study science. No one stops to ask whether it is inhumane to force adolescents to spend the bulk of their time studying subjects most of them hate. When skilled workers are put out of a job by technical advances and have to undergo “retraining,” no one asks whether it is humiliating for them to be pushed around in this way. It is simply taken for granted that everyone must bow to technical necessity, and for good reason: If human needs were put before technical necessity there would be economic problems, unemployment, shortages or worse. The concept of “mental health” in our society is defined largely by the extent to which an individual behaves in accord with the needs of the system and does so without showing signs of stress.
Adetokunbo O. Adeoye, Rejected for a Purpose: How God Uses Rejection to Help You Find and Fulfill Your Destiny|Being rejected is not the end of your life, it's a means to an end for your life. And that end is your destiny.
Hannah Lillith Assadi, Sonora|You shall not go down good twice to the same river, nor can you go home again. That he knew; indeed it was the basis of his view of the world. Yet from that acceptance of transience he evolved his vast theory, wherein what is most changeable is shown to be fullest of eternity, and your relationship to the river, and the river's relationship to you and to itself, turns out to be at once more complex and more reassuring than a mere lack of identity. You CAN go home again, the General Temporal Theory asserts, so long as you understand that home is a place where you have never been.
RVM|Don't expect people to always understand you. Instead, learn to understand them. Then Accept, Forgive & Love unconditionally. This is a sure way to be Happy.
Bryant McGill, Simple Reminders: Inspiration for Living Your Best Life|I don't want to fall in love with you,' she said, pushing away. 'why not?''because you'll just end up using it against me.
Theodore Roosevelt|A man sometimes starts up a patriot, only by disseminating discontent, and propagating reports of secret influence, of dangerous counsels, of violated rights, and encroaching usurpation. This practice is no certain note of patriotism. To instigate the populace with rage beyond the provocation, is to suspend public happiness, if not to destroy it. He is no lover of his country, that unnecessarily disturbs its peace.
|Even while in the midst of failures, focus on your future victories.
Quavo|We've lost touch with our souls. We've been nourishing our minds, our relational skills, our theological knowledge, our psychological well-being, our physiological health... but we've abandoned our souls.
Will Rogers|You know, everybody's ignorant, just on different subjects.
