Marcia Lynn McClure, The Pirate Ruse|We should learn to smile as we fall, So much so as when we have it all.
Billy Graham, Billy Graham in Quotes|Apart from religious influence, the family is the most important unit of society.
Criss Jami, Healology|Still, one can be honest yet quite mistaken.
Sherry Turkle, Alone Together: Why We Expect More from Technology and Less from Each Other|In solitude every fear, every longing, becomes exaggerated.
Bishop T.D.Jakes|When Life gives you a 100 reasons to Cry , show life that you have 1000 reasons to Smile
Ludwig von Mises, The Theory of Money and Credit|Before it was usual to acquire goods in the market, not for personal consumption, but simply in order to exchange them again for the goods that were really wanted, each individual commodity was only accredited with that value given by the subjective valuations based on its direct utility. It was not until it became customary to acquire certain goods merely in order to use them as media of exchange that people began to esteem them more highly than before, on account of this possibility of using them in indirect exchange. The individual valued them in the first place because they were useful in the ordinary sense, and then additionally because they could be used as media of exchange. Both sorts of valuation are subject to the law of marginal utility.
Jorge Luis Borges|A circle drawn on a blackboard, a right triangle, a rhombus--all these are forms we can fully intuit; Ireneo could do the same with the stormy mane of a young colt, a small herd of cattle on a mountainside, a flickering fire and its uncountable ashes, and the many faces of a dead man at a wake. I have no idea how many stars he saw in the sky.
Karishma Magvani|I plan for all obstacles, I prepare with care, I worry endlesslyfor the road aheadIn all this, I forgetto enjoy small momentsof my present journey
Jane Austen, Pride and Prejudice|Oh, Lizzy! do anything rather than marry without affection.
David Foster Wallace, Brief Interviews with Hideous Men|The depressed person was in terrible andunceasing emotional pain, and the impossibility of sharing or articulating this pain was itself a component of the pain and a contributing factor in its essential horror. Despairing, then, of describing the emotional pain itself, the depressed person hoped at least to be able to express something of its context, its shape and texture, as it were-by recounting circumstances related to its etiology.
Pat Conroy, My Reading Life|Hurt is a great teacher, maybe the greatest of all.
Brian Jacques, Mattimeo|I will not stand here to be insulted by you, hedgepig," Mangiz fumed."Then stand somewhere else and I'll insult you there, featherbag!!
Jane Austen, Mansfield Park|I pay very little regard," said Mrs. Grant, "to what any young person says on the subject of marriage. If they profess a disinclination for it, I only set it down that they have not yet seen the right person.
Michael Benzehabe|No.” The smile had left Sarah’s voice. “He still works for the Basij. Beware of weak men, little sister. He never returned to help, not even to express condolences for Father. Find a strong man. Get a man who will stand up for you, even if it means he has to fight the whole world. There is nothing more dangerous than a weak man.
James S.A. Corey, Cibola Burn|In the artifacts that are conscious, memories of vanished lives still flicker. Tissues that were changed without dying hold the moment that a boy heard his sister was leaving home. They hold multiplication tables. They hold images of sexuality and violence and beauty. They hold the memories of flesh that no longer exists. They hold metaphors: mitochondria, starfish, Hitler’s-brain-in-a-jar, hell realm. They dream. Structures that were neurons twitch and loop and burn and dream. Images and words and pain and fear, endless.
Colin Camerer|We need to manage holistically, embracing all of our science and traditional knowledge - all sources of knowledge. We can do that from the household to government to international relations.
Albert Einstein|She is a loner, too bright for the slutty girls and too savage for the bright girls, haunting the edges and corners of the school like a sullen disillusioned ghost
Frank Sinatra|I think people really marry far too much; it is such a lottery after all, and for a poor woman a very doubtful happiness.
Lailah Gifty Akita, Think Great: Be Great!|The greatest duty is to know, love and obey God.
Shannon L. Alder|You won't find peace with another, until you become one person--not two.
Dietrich Bonhoeffer, Ethics|Cesar is not a philosophical man. His life has been one long flight from reflection. At least he is clever enough not to expose the poverty of his general ideas; he never permits the conversation to move toward philosophical principles. Men of his type so dread all deliberation that they glory in the practice of the instantaneous decision. They think they are saving themselves from irresolution; in reality they are sparing themselves the contemplation of all the consequences of their acts. Moreover, in this way they can rejoice in the illusion of never having made a mistake; for act follows so swiftly on act that it is impossible to reconstruct the past and say that an alternative decision would have been better. They can pretend that every act was forced on them under emergency and that every decision was mothered by necessity
Jodi Picoult, Perfect Match|Never apologize, mister, it’s a sign of weakness.
Francis M. Nevins Jr.|When a beautiful blonde asks, you don't say no.
Jen Naumann, The Day Zombies Ruined My Perfectly Boring Life|Merkabah is translated as either meaning the throne of god or chariot. Both definitions imply a means of spiritual ascension, not a physical one. They only have it partly right.
Matshona Dhliwayo|Knowledge will give you strength,but wisdom will give you power.Talent will give you respect,but genius will give you honor.Pleasure will give you happiness,but joy will give you contentment.Strength will give you fortitude,but love will give you dominion.Courage will give you victory,but faith will give you greatness.Virtue will give you the world,but God will give you universe.
Jodi Picoult, Vanishing Acts|Sometimes when you lose your way in the fog, you end up in a beautiful place! Don’t be afraid of getting lost!
