Emily Brontë, Wuthering Heights|Unrequited love is a ridiculous state, and it makes those in it behave ridiculously.
Richard Dawkins, River Out of Eden: A Darwinian View of Life|What are you?''I'm the Turtle, son. I made the universe, but please don't blame me for it; I had a bellyache.
Virginia Woolf, To the Lighthouse|Man is said to be a reasoning animal. I do not know why he has not been defined as an affective or feeling animal. Perhaps that which differentiates him from other animals is feeling rather than reason. More often I have seen a cat reason than laugh or weep. Perhaps it weeps or laughs inwardly — but then perhaps, also inwardly, the crab resolves equations of the second degree.
Gina Greenlee, Postcards and Pearls:Life Lessons from Solo Moments in New York|I think I was his lifeline too. We were both adrift in New Your City. We were both surrounded by so many people, but ultimately we were terribly alone. Until we found each other.
LZ Granderson|I had always been a really peculiar child. My mom would tell you I grew up roughing it with the boys and playing with action figures and toy cars and stuff, but I also had an Easy Bake Oven... I find it amazing that in a really weird way, people are mad that they can't figure out my gender.
Epicurus|Death does not concern us, because as long as we exist, death is not here. And when it does come, we no longer exist.
Kelley Armstrong, The Awakening|You guys are weird," Tori said.Simon sat on the crate beside me. "That's right. We are totally weird and completely uncool. Your popularity is plummeting just by being near us.
Karen Lord, The Best of All Possible Worlds|How many times have I turned away? How may voices have I chosen to ignore, my own not least of all? How far into darkness, into shadow, must one crawl not to see? And how can the blind walk out?" - C.V. Dreesman, The Marksmith
Donna Grant, Soul Scorched|How long has it been since you and your King were together?" he asked.	Rhi looked away, the tears returning again. "A very long time, but not so long that I don't remember the taste of his kiss or the way he would look at me and smile."	"You'll never move on unless you let go. What you need is another lover."	She cut him a look. "Are you applying for the position?"	"Would you take me?
Lailah Gifty Akita|If you love someone, you will forgive him or her all the wrongs. You can make it right and love again.
David R. Stoddart|I believe in having fun first, and along the way, if you teach people, if you influence people, well and good.
Lauren Oliver, Pandemonium|Once you let in the word, once you allow it to take root, it will spread like a mold through all of your corners and dark spaces— and with it, the questions, the shivery, splintered fears, enough to keep you permanently awake.
Cecilia Dart-Thornton, The Battle of Evernight|Mindful of not thanking their benefactors, in case, like wights, they took offense, she added, "Your kindness is gratefully acknowledged. May your trees be forever fruitful.
