Tim O'Brien, The Things They Carried|Men killed, and died, because they were embarrassed not to.
Mitch Kapor|There is a shortage of doctors, and the American Medical Association is aiming to keep it that way.
James Edwin Gunn, The Immortals|More important, it's because God is our only true source of life.
Sarah Dessen, This Lullaby|I wanted to cry but I didn't, I probably should have cried, I should have drowned us there in the room ending our suffering.
Kamand Kojouri|If your mind can move mountainsand swallow gods,Why does it worry with helpless yesterdays and unborn tomorrows?If it can vomit starsand walk on split hairs,Why must it follow the samepath to despair?Everyone will tell you:'An orgasm here is just as good.
CJ Cherryh|He stood over her for a time, simply looking at her as he willed himself to climb into bed, and he knew doing so would make it utterly impossible to hate her. She looked so innocent and vulnerable as she dreamt, and it was difficult to hate someone once you had seen them sleeping.
Suzy Kassem, Rise Up and Salute the Sun: The Writings of Suzy Kassem|O Heavenly Children, God's messengers are as limitless as the fish in the sea. They come in all colors, regions, languages and creeds. But their message is one and the same, don't you see? He only wishes to unite all His children under one family tree.
Kody Keplinger, The DUFF: Designated Ugly Fat Friend|The right seeks release from liberal notions of what they should feel--happy for the gay newlywed, sad at the plight of the Syrian refugee, resentful to pay taxes. The left sees prejudice.
Amitabh Bachchan|Books are up against TV and movies and video games and a multimedia society that is so busy that people don't have contemplative time any more. I worry deeply about this. In fact, I worry about everything all the time. I used to be a punk. All I wanted to do was tear everything down, and that was so much easier.
Bill Flores|Someday, somehow, the leadership of Planned Parenthood will have to answer for their callous disregard of the sanctity of human life. In the meantime, I am relieved that the Bryan abortion facility has gone out of business.
Bryant McGill, Simple Reminders: Inspiration for Living Your Best Life|Through love, you see the whole world, not just people, differently.
Elizabeth Gilbert, Eat, Pray, Love|My mother has made choices in her life, as we all must, and she is at peace with them. I can see her peace. She did not cop out on herself. The benefits of her choices are massive-a long, stable marriage to a man she still calls her best friend; a family that has extended now into grandchildren who adore her; a certainty in her own strength. Maybe some things were sacrificed, and my dad made his sacrifices, too-but who amongst us lives without sacrifice?
Ava Farmehri, Through the Sad Wood Our Corpses Will Hang|It’s not that I don’t believe in God, it’s simply that I doubt His kindness. I am suspicious of His motives. There is no logical (or illogical for that matter) evidence to prove that God truly is who He claims to be, or what His followers claim Him to be: omniscient, all-hearing, merciful… In fact, all evidence points in the opposite direction.
Max McKeown, The Innovation Book: How to Manage Ideas and Execution for Outstanding Results|Plug into the anti-obvious power of the rebel. Or get those opposing minds to plug into your purpose, to solve your problem, to reimagine your process.
Toni Morrison, Beloved|Freeing yourself was one thing, claiming ownership of that freed self was another.
Claudia Gray, Stargazer|Not until the creation and maintenance of decent conditions of life for all people are recognized and accepted as a common obligation of all people and all countries - not until then shall we, with a certain degree of justification, be able to speak of humankind as civilized.
J. Sheridan Le Fanu, Uncle Silas|Jusging by the sour glance she threw on me as she said this, I concluded that I represented those 'late changes' to which all the sorrows of the house were referred. I felt unhappy under the ill-will even of this odious old woman, being one of those unhappily constructed mortals who cannot be indifferent when they reasonably ought, and always yearn after kindness, even that of the worthless.
Anton Chekhov, Ivanov|Our world needs less gurus, and more teachers. Gurus are about helping themselves become successful. Teachers are about helping others become successful.
Alex Flinn|I love them, they are so nice and selfish. Dogs are TOO good and unselfish. They make me feel uncomfortable. But cats are gloriously human.
Gilles Deleuze|You should have noticed by now, sometimes a monster looks just like any other man.
Bill Knott|If you are still alive when you read this,close your eyes. I amunder their lids, growing black.
Frederick Buechner|In solitude, you listen to sacred voice.
Mark Pocan|To be successful in real estate, you must always and consistently put your clients' best interests first. When you do, your personal needs will be realized beyond your greatest expectations.
Katy Evans, Real|I feel claimed and bonded to him like animals do. I feel like I've already been caught and trapped and he's merely priming me, leaving me to simmer in my juices, anxiously waiting for the moment when he takes his first bite of me.
Amitav Ghosh, The Hungry Tide|I had a book in my hands to while away the time and it occurred to me that in a way a landscape is not unlike a book - a compilation of pages that overlap without two ever being the same. People open the book according to their taste and training, their memories and desires. On occasion these pages are ruled with lines that are invisible to some people, while being for others, as real, as charged and as volatile as high-voltage cables.
Connie Willis, All Clear|We all of us die, Miss Smallwood,' he interrupted. 'But we don't all of us make our lives count for something. How much better to die saving another soul than to stand safe on shore and do nothing while others perish?
Francis Bacon|We are approaching a new age of synthesis. Knowledge cannot be merely a degree or a skill... it demands a broader vision, capabilities in critical thinking and logical deduction without which we cannot have constructive progress.
Garry Kasparov, Winter Is Coming: Why Vladimir Putin and the Enemies of the Free World Must Be Stopped|Someone once joked, Hell is other people. But the truth is that connection to other people can be sacred. Why else did God give so many people life? (Adam was't enough.) Or more simply, why else would He design hands that so perfectly clasp?
Quintus Tullius Cicero|I know war as few other men now living know it, and nothing to me is more revolting. I have long advocated its complete abolition, as its very destructiveness on both friend and foe has rendered it useless as a method of settling international disputes.
Raymond Kelly|Would it not be much better to have a president who deliberately lied to the people because he thought a war was essential than to have one who was so dumb as to be taken in by intelligence agencies, especially those who told him what he wanted to hear?
Ralph Waldo Emerson|If you are a sensitive person, you don’t give flowers to others, because you know that the flowers – these miraculous beauties and the wondrous jewels of our cosmos – excessively deserve to live!
Marina Lewycka, A Short History of Tractors in Ukrainian|As Romeo and Juliet found to their cost, marriage is never just about two people falling in love, it is about families.
Mahatma Gandhi|The day the power of love overrules the love of power, the world will know peace.
Alexander Osterwalder|The biggest hurdle is rejection. Any business you start, be ready for it. The difference between successful people and unsuccessful people is the successful people do all the things the unsuccessful people don't want to do. When 10 doors are slammed in your face, go to door number 11 enthusiastically, with a smile on your face.
Lou Boudreau|In my public service, I treasure my friendship with law enforcement officers. I admire what they do and support them in every aspect of their job. I have always looked upon law enforcement officers as my friends.
Erin Hunter, The Last Hope|There is a language for every heart, you just need to master one.
Jerry Spinelli, Maniac Magee|Amanda took the torn page from Maniac. To her, it was the broken wing of a bird, a pet out in the rain.
Amit Ray, Mindfulness Meditation for Corporate Leadership and Management|As more and more artificial intelligence is entering into the world, more and more emotional intelligence must enter into leadership.
Frank A. Worsley, Endurance|Our sole illumination was a dim and foul-smellingblubber lamp, which really only served to make thedarkness visible.
Michelle Obama|Empower yourselves with a good education, then get out there and use that education to build a country worthy of your boundless promise.
Dee Williams|We were taught not to offer or invite aid, because, like it or not, helping is a messy, confused proposition; sometimes you get it right and sometimes you get it wrong, and sometimes you have no choice but to trust that the man holding your tire iron, cussing at your old lug nuts, is a deeply kind human after all.
Cassandra Clare|What sort of a book would you like to read next?" she asked.
Jinat Rehana Begum|The measure of a man’s character may be the manner in which he treats the one who can do him no good, but the measure of his heart is the manner in which he loves the one who has hurt him. He who is unloving in his pain was never really loving in his happiness.
C. JoyBell C.|I have a motto that if something isn’t blatantly impossible, then there must be a way of doing it.
Carl Sagan, Dragons of Eden: Speculations on the Evolution of Human Intelligence|I know of no significant advance in science that did not require major inputs from both cerebral hemispheres. This is not true for art, where apparently there are no experiments by which capable, dedicated and unbiased observers can determine to their mutual satisfaction which works are great.
Eartha Kitt|It's show business. No show, no business.
P.G. Wodehouse|My Aunt Dahlia, who runs a woman's paper called Milady's Boudoir, had recently backed me into a corner and made me promise to write her a few words for her "Husbands and Brothers" page on "What the Well-Dressed Man is Wearing". I believe in encouraging aunts, when deserving; and, as there are many worse eggs than her knocking about the metrop, I had consented blithely. But I give you my honest word that if I had had the foggiest notion of what I was letting myself in for, not even a nephew's devotion would have kept me from giving her the raspberry. A deuce of a job it had been, taxing the physique to the utmost. I don't wonder now that all these author blokes have bald heads and faces like birds who have suffered.
Wes Moore, Forcefully Advancing|From the pastor who has an affair with his secretary, to the jerk at the office who happens to be a deacon, to the overbearing boss who can’t miss his Monday night Bible study, Christians today cause more problems for the gospel than all the devil’s demons put together.
John C. Maxwell|Many a man curses the rain that falls upon his head, and knows not that it brings abundance to drive away the hunger.
Elizabeth Berrien, Creative Grieving: A Hip Chick's Path from Loss to Hope|The truth is, we never know what life will bring us and we don't have as much control as we might think we have. But we CAN choose how we walk through life and how we spend our time.
Wendy Webb, The Tale of Halcyon Crane|Before I lost my father, I never understood the rituals surrounding funerals: the wake, the service itself, the reception afterward,the dinners prepared by well-meaning friends and delivered in plastic containers, even the popular habit of making poster boards filled with photos of the dear departed. But now I know why we do those things. It's busywork, all of it. I had so much to take care of, so many arrangements to make, so many people to inform, I didn't have a moment to be engulfed by the ocean of grief that was lapping at my heels. Instead, I waded through the shallows, performing task after task, grateful to have duties to propel me forward.
William Blake, The Complete Poems|To do something very common, in my own way.
Bjorn Borg|For a true writer, each book should be a new beginning where he tries again for something that is beyond attainment. He should always try for something that has never been done or that others have tried and failed. Then sometimes, with great luck, he will succeed.
John Paul Warren|There are two kinds of leaders, cowboys and Shepherds. Cowboys drive and Shepherds lead.
Scott Douglas|You can’t learn to write in college. It’s a very bad place for writers because the teachers always think they know more than you do—and they don’t. They have prejudices. They may like Henry James, but what if you don’t want to write like Henry James? They may like John Irving, for instance, who’s the bore of all time. A lot of the people whose work they’ve taught in the schools for the last thirty years, I can’t understand why people read them and why they are taught. The library, on the other hand, has no biases. The information is all there for you to interpret. You don’t have someone telling you what to think. You discover it for yourself.
