Sherilyn Fenn|Today I trust my instinct, I trust myself. Finally.
Lailah Gifty Akita, Pearls of  Wisdom: Great  mind|Stay inspired, happy and joyful.
Frank O'Hara, Lunch Poems|When I use the word rebel for the artist, I do not refer to revolutionary or to such things as taking over the dean’s office; that is a different matter. Artists are generally soft-spoken persons who are concerned with their inner visions and images. But that is precisely what makes them feared by any coercive society. For they are the bearers of the human being’s age-old capacity to be insurgent.
Munindra Misra, Chants of Hindu Gods and Godesses in English Rhyme|My Mother - AmmaHer touch was my solace,Her smile did encourage,Her love was my strength,Her stare, I fully decant,Her care was my power,Her joy was my shower,Her anger corrected my path,Her laughter filled my heart,Her silence made me ponder,Her glare was my reminder,Her scorn corrected my track,Her embrace I never did lack.
Sarah Warden, Blood of Earth|Earth" is not too long an address. It is the parts which make us forget the way.
Savannah Stuart, Power Unleashed|The man and wolf inside him experienced a surge of primal satisfaction. It had been so long since he'd let his guard down around anyone. After just one kiss, he was ready to bed her. That hadn't happened to him in...ever.
Lloyd Alexander, Taran Wanderer|Deep down within the heart there is a stillness which is healing, a trust in the universal laws which is unwavering, and a strength which is rock-like. But because it is so deep we need both patience and perseverance when digging for it.
Marco Beltrami|I just - I like the saccharin and the gooeyness of 'Bachelor,' and how just gross and like falsely romantic it is. Whereas, like, the 'Real Housewives' is just raw, and it's just - it's the fights that get me. It's just very uncomfortable for me.
Mary Oliver, House of Light|Still, what I want in my lifeis to be willingto be dazzled—to cast aside the weight of factsand maybe evento float a littleabove this difficult world.I want to believe I am lookinginto the white fire of a great mystery.I want to believe that the imperfections are nothing—that the light is everything—that it is more than the sumof each flawed blossom rising and falling. And I do.
Lois Lowry, Looking Back: A Book of Memories|Looking back together, telling our stories to one another, we learn how to be on our own.
Lemony Snicket, Shouldn't You Be in School?|If you're not scared, she told me, it's not bravery.
Dean Koontz, The Husband|A man begins dying at the moment of his birth. Most People live in denial of Death's patient courtship until, late in life and deep in sickness, they become aware of him sitting bedside.
Jostien Gaarder|When we look up at the sky, we are trying to find the way back to ourselves
Jason Ellis|Fantasy stories will always be popular, as there are always readers who are willing to escape, freely, to the worlds that the authors create, and spend time with the characters we give life to.
Colin Hay|I tried talking to Jesus, but he just put me on hold...
Dada Bhagwan|There is no happiness in what worldly people believe happiness in, there is happiness in what Gnani [the enlightened one] believes the happiness in. What people regard as happiness is not happiness.
Susan C. Young, The Art of Communication: 8 Ways to Confirm Clarity & Understanding for Positive Impact|When you are socially aware, you will realize whether you are forcing yourself into a conversation or have actually been invited to participate.
Tony Hawk|Just as computer technology and the Internet created whole new industries and extraordinary benefits for people that extend into almost every realm of human endeavor from education to transportation to medicine, genetics will undoubtedly benefit people everywhere in ways we can't even imagine but know will surely occur.
G.S. Jennsen, Restless|I knew revenge like the ghost of an old friend." ~ #1001
Bernie S. Siegel, Peace, Love and Healing: Bodymind Communication  the Path to Self-Healing: An Exploration|Of course, we often think we have to get sick literally in order to get the rest or pleasure we need in our lives. Bobbie and I therefore taught our children when they were younger that if they needed a day off from school, they should just say that and take a health day, not a sick day. That made them look at life differently. I think all of us need to rethink our attitudes toward health and sickness.
James Lane Allen|I say that I get paid to travel, and I play the shows for free.
Tom Upton, Vanished|You know, my main goal in life is trying not to end up in a straightjacket.
Chad Hurley|I think, with Hank Paulson, the concept of a bailout was anathema to him from day one. He was a Republican; he's a free marketeer. He believes in capitalism, and part of capitalism is believing in failure. And so the idea of bailing out an institution, I think, went against every part of him.
Salvatore J. Cordileone|Do dirt, get dirt. So I treat people with the same respect that I want.
Charles Lamb, The Life, Letters and Writings of Charles Lamb|Tis the privilege of friendship to talk nonsense, and to have her nonsense respected.
Jennifer McMahon, Island of Lost Girls|Remember, you are never alone in this world. Never.
Willem Witteveen, The Great Pyramid of Giza: A Modern View on Ancient Knowledge|You are exporting disorder [in the form of heat into the Universe] now as you read this book. You are hastening the demise of everything that exists, bringing forward by your very existence the arrival of time known as the heat death, when all stars have died, all black holes have evaporated away and the entirety of creation is a uniform bath of photons incapable of storing a single bit of information about the glorious adolescence of our wonderful Universe.
Jack Kerouac|For now, he and Meg were going to have the adventure of seeing a new place and having a new experience. Together.He wasn't human. Would never be human. And Meg didn't expect him to be. But feeling her hand in his, Simon thought maybe he could learn to be human enough.
Stevie Smith, Selected Poems|Into the dark night Resignedly I go, I am not so afraid of the dark night As the friends I do not know,I do not fear the night aboveAs I fear the friends below.
Caitlin Rush, Curses Beneath Her Feet|Having lived with kings, I have become a king in my own home.
Joyce Rachelle|If we can't have world peace, I'll settle for a quiet room.
Krystal Sutherland, A Semi-Definitive List of Worst Nightmares|most of us are too busy searching for love , therefore we forgot that most important are loving our self
Janvier Chouteu-Chando, The Usurper: And Other Stories|...Bad leaders are known to destroy one, more or even all of the foundations of their people’s way of life...
Mehmet Murat ildan|Perhaps if zoologists would contemplate the wide variations presented by many plants of indubitably one and the same species, and the still wider diversities of long cultivated races from an original stock, they would find more than one instructive parallel to the case of the longest domesticated of all species, man.
Sun Tzu|I am become death, the destroyer of worlds.
Steven Hall|Don't let fear rule your life. Live one day at a time, and never be afraid.
Jennifer Ellision, Threats of Sky and Sea|If they tell me one more time that I'm using the wrong fork for a part of a meal, I swear I'll show them exactly how multifunctional the utensil can be.
Chip Heath, Made to Stick: Why Some Ideas Survive and Others Die|Let me just acknowlege that the function of grammar is to make language as efficent and clear and transparent as possible. But if we’re all constantly correcting each other’s grammar and being really snotty about it, then people stop talking because they start to be petrified that they’re going to make some sort of terrible grammatical error and that’s precisely the opposite of what grammar is supposed to do, which is to facilitate clear communication.
Justin Trudeau|I understand what's it like to work all week and on Friday night just want to go and leave your brain at the door, buy some popcorn and be thrilled by something.
Richelle Mead, Frostbite|Where's the heart?" - Dimitri Belikov
Maggie Macnab, Design by Nature: Using Universal Forms and Principles in Design|Branding is simply pattern recognition, established across multiple tiers of application and fueled by the energy of money.
Kevin Keenoo|From the day I began traveling, I understood that truths were lies and lies were truths.
Helen Gurley Brown|Zsa Zsa Gabor  when asked which of the Gabor women was the oldest  said "She'll never admit it  but I believe it is Mama." When men grow virtuous in their old age  they only make a sacrifice to God of the devil's leavings.
J. Robert Oppenheimer|We knew the world would not be the same. A few people laughed, a few people cried. Most people were silent. I remembered the line from the Hindu scripture, the Bhagavad-Gita; Vishnu is trying to persuade the Prince that he should do his duty, and to impress him, takes on his multi-armed form and says, 'Now I am become Death, the destroyer of worlds.' I suppose we all thought that, one way or another.
Mai Al-Nakib, The Hidden Light of Objects|It was a fruit we had never seen before, larger than an apple, about the size of a grapefruit. It was round and yellow like the leaves of a neglected book.
Bangambiki Habyarimana, Pearls Of Eternity|I believe only in one God, creator of everything that exists, visible and invisible, good and evil. I believe that he will ultimately save every soul and give it eternal life.
Peggy Orenstein|...What's more, I live in Berkeley, California. If princesses had infiltrated OUR little retro hippie hamlet, imagine what was going on places where women actually shaved their legs!
Georgette Heyer, The Grand Sophy|You must not imagine that Papa or I have the least notion of compelling you to marry anyone whom you hold in aversion, for I am sure that such a thing would be quite shocking! And Charles would not do so either, would you, dear Charles?”(Elizabeth Ombersley)“No, certainly not. But neither would I consent to her marriage with any such frippery fellow as Augustus Fawnhope!”“Augustus,” announced Cecilia, putting up her chin, “will be remembered long after you have sunk into oblivion!”“By his creditors? I don’t doubt it.
Jack London, Martin Eden|When things don't go the way you want them to, sometimes instead of feeling disappointment or heartache, you just become numb.
Shannon L. Alder|Tough love and brutal truth from strangers are far more valuable than Band-Aids and half-truths from invested friends, who don’t want to see you suffer any more than you have.
Richelle E. Goodrich, Slaying Dragons|At the core of love is validation. It is what gives love power. For when love is given away, validation seeps in and expands in the heart of the recipient, filling up every empty, dark corner. It is a wonderful, light, consuming feeling we long for, and once found, we hope—even expect—it will forever remain. But there are times when that most precious love is revoked, and a hard scab forms over the empty hole. Though this scab is both healing and protective, it is the reason why validation from future love may not seep in so easily, no matter how wanting the heart.
Adela Florence Nicolson|I try not to name too many labels - not because it's not cool, but because it starts getting political.
levi paul taylor|As I glanced around my room, sliding my dinosaur back and forth on its chain, I though that maybe that was the point--that instead of happy endings, you get beginnings. Hundreds of little beginnings happening every moment, each of them layering into histories deep and tangled and new, histories you count on to remain, no matter what changes the world throws at you.
Criss Jami, Venus in Arms|With a hint of good judgment, to fear nothing, not failure or suffering or even death, indicates that you value life the most. You live to the extreme; you push limits; you spend your time building legacies. Those do not die.
Cherise Sinclair, Make Me, Sir|It's a girl thing, trying to change ourselves as if we can change our lives too.
Elaine Viets, Pumped for Murder|You might think, 'I've got time to follow my dreams.' You don't have time. Life is short. The current life expectancy is 24,869 days. While some of us will live more days and some fewer, either way you have only a precious number of days to live this life, and so you do not have time to put off your dreams. It is now or never. If you don't do it now, you will keep putting it off, and you'll never do it. The time is now!
Devdutt Pattanaik|The mentality of who is your uncle—an ethnocentric way of thinking, is one of the leading causes of South Sudan’s internal conflicts.
Nenia Campbell, Bleeds My Desire|Maybe in a way all living things are like flickering flames in a precarious night, always on the verge of being extinguished. Whether we kindle slowly but steadily, or go out in a brilliant burst of light and color, is our choice. Perhaps the most important choice we'll ever have.
Mehmet Murat ildan|The moon rose above the canopy and a dreamy mist swirled around our knees as we danced, fingers entwined and hearts in sync with the universe; just a prince and his princess, a boy and a girl, learning to love in a beautiful world.
Sándor Márai, Embers|You would like to read, but somehow the rain gets into the book, too; not literally, and yet it really does, the letters are meaningless, and all you hear is the rain.
Rumiko Takahashi|Kaede: I know this, ungrateful dog. In order to find the sacred jewel shards, Kagome's spirtual power is essential. Yet ye made her upset with your words an sent her running homeInuYasha: That was her idea! she chose to go home! She said: "I'm going home! You jerk!"Kaede: InuYasha, that imitation was pathetic.InuYasha: I'm a demon, not a comedian! 
Warren Ellis|Where was this written? I wondered. Where in the Talmud or the Koran or the Bible did it say, "Lo, and Satan fetcheth the coffee for the Antichrist and her minions"?
Saint Augustine|Let life happen to you. Believe me: life is in the right, always.
J. Sheridan Le Fanu, Carmilla: By Joseph Sheridan le Fanu - Illustrated|What one thinks finds expression in words, and what one says, happens.
Junot Díaz|I certainly couldn't have survived my childhood without books. All that deprivation and pain--abuse, broken home, a runaway sister, a brother with cancer--the books allowed me to withstand. They sustained me. I read still, prolifically, with great passion, but never like I read in those days: in those days it was life or death.
Emma Donoghue, Kissing the Witch: Old Tales in New Skins|In the days when wishing was having, I got what I wished and then I wish I hadn't.
Poppet, Sveta|Every footfall of my boots echoes and ricochets louder and louder, the excruciating stroll I take induces her heartbeat into pecking so hard and erratic, my dick starts hurting with an anticipatory throb.
Charlotte Brontë|So, what's up with you and Damian?" Helena
Subodh Gupta, Stress Management a Holistic Approach|Life is full of issues no matter what social status you enjoy in society, only the nature of issue would be different. You solve one issue, other would come and they would be keep on coming till you are alive. This is a reality and nobody can escape from this truth.-Subodh Gupta author, "Stress Management a Holistic Approach -5 steps Plan".
Pete Hamill|There are 10,000 books in my library, and it will keep growing until I die. This has exasperated my daughters, amused my friends and baffled my accountant. If I had not picked up this habit in the library long ago, I would have more money in the bank today; I would not be richer.
Pablo Picasso|Art is not a handicraft, it is the transmission of feeling the artist has experienced.
Baltasar Gracián|Folly consists not in committing Folly, but in being incapable of concealing it. All men make mistakes, but the wise conceal the blunders they have made, while fools make them public. Reputation depends more on what is hidden than on what is seen. If you can’t be good, be careful.
Roger Zelazny, The Hand of Oberon|Speech baffled my machine. Helen made all well-formed sentences. But they were hollow and stuffed--linguistic training bras. She sorted nouns from verbs, but, disembodied, she did not know the difference between thing and process, except as they functioned in clauses. Her predications were all shotgun weddings. Her ideas were as decorative as half-timber beams that bore no building load.She balked at metaphor. I felt the annoyance of her weighted vectors as they readjusted themselves, trying to accommodate my latest caprice. You're hungry enough to eat a horse. A word from a friend ties your stomach in knots. Embarrassment shrinks you, amazement strikes you dead. Wasn't the miracle enough? Why do humans need to say everything in speech's stockhouse except what they mean?
Azar Nafisi, Reading Lolita in Tehran|You kids were all planned, you were just planned really, really quickly.
Luther Burbank|No consciousness that we would recognize as consciousness. Not awareness, as far as we can make out, of a self with a history. What I mind is what tends to come next. They have no consciousness therefore. Therefore what? Therefore we are free to use them for our own ends Therefore we are free to kill them? Why? What is so special about the form of consciousness that we recognize that makes killing a bearer of it a crime while killing an animal goes unpunished?
Lewis Grizzard|There are no menial jobs, only menial attitudes.
Richard Llewellyn, How Green Was My Valley|Gar taldin ni jaonyc; gar sa buir, ori'wadaasla. (Nobody cares who your father was, only the father you'll be.) - Mandalorian saying
Jane Ripley, Collaboration Begins with You: Be a Silo Buster|Collaboration is an inside-out mindset. It has to start on the inside, with the Heart.
Paula Stokes, The Art of Lainey|If you are not willing to learn, no one can help you. If you are determined to learn, no one can stop you.
Bryant McGill, Voice of Reason|Discovery requires courage and acceptance that we are not in control, and that the future is uncertain.
C. JoyBell C., Saint Paul Trois Chateaux: 1948|And at that moment, Thibaut knew he was a murderer. He had murdered his brother that night; he had taken away his brother's soul.
Sravani Saha Nakhro|Today will soon enough become tomorrow and spent wisely, will then become a yesterday to remember.
Nick Harkaway, The Blind Giant|Another important consequence in the arrival of digital technology and its facilitation of feedback is that we can look at large systems and recognize them once more not only as part of ourselves, but also as components that can change... Now, though, we live in a world where text is fluid, where is responds to our instructions. Writing something down records it, but does not make it true or permanent. So why should we put up with a system we don't like simply because it's been written somewhere?
Pamela Cummins, Insights for Singles: Steps to Find Everlasting Love|Fantasy Is Not Reality, it is unrealistic to expect your future mate to match your fantasies.
Will Smith|We spend money that we do not have, on things we do not need, to impress people who do not care.
John Howard Griffin, Scattered Shadows: A Memoir of Blindness and Vision|Enlightenment is recognizing that we are all connected, then consciously living that realization—our thoughts, words, and actions an unshakable reflection of that understanding.
Nichita Stănescu|At night in this part of the West the stars, as I had seen them in Wyoming, were as big as Roman Candles and as lonely as the Prince who's lost his ancestral home and journeys across the spaces trying to find it again, and knows he never will.
Donal Ryan, The Spinning Heart|Human nature is always interesting... And it's curious to see how certain types always tend to act in exactly the same way." - Miss Marple, The Herb of Death, Pg. 167
Harriet Lerner|There’s a widespread belief that if you have solid self-esteem you don’t need outside affirmation and praise. This is patently untrue, by the way.
Bruno Tonioli|I'm a fun father, but not a good father. The hard decisions always went to my wife.
Hugh Miller|My opinion is that music is music. As long as you approach doing a remix with truth, I don't see the dance remixes being any different than an hip-hop remix- it's really a different version of the song.
Frank McCourt|A lot of people, given the chance, would blow up everything, and you and me.
Rak Razam, Aya: A Shamanic Odyssey|Ayahuasca can heal, but it an also be used to kill,' Carlos continues to translate for Juan... The key is remaining humble, being a servant of ayahuasca, not a master. 'Give yourself to the benefit of others, to God,' Juan says, his eyes daring over us, reading our energies. 'You must have a purpose to help other people, a desire to hep others. If you have a pure heart, a humble mind, and faith in your soul--then the Science will open up to you and show you its wonders.
Vitthal Mane|Plus I have no doubt that their garden is also where my grandparents dreamed—for a better life of equality for their grandchildren and future generations. As people rooted in their faith, they probably did a lot of praying here as well, that God would deliver us all to prosperity and peace beyond this plot of land.
Roy T. Bennett|Until you step into the unknown, you don’t know what you’re made of.
Neil Strauss, The Game: Penetrating the Secret Society of Pickup Artists|In life, people tend to wait for good things to come to them. And by waiting, they miss out. Usually, what you wish for doesn't fall in your lap; it falls somewhere nearby, and you have to recognize it, stand up, and put in the time and work it takes to get to it. This isn't because the universe is cruel. It's because the universe is smart. It has its own cat-string theory and knows we don't appreciate things that fall into our laps.
David Richo, The Five Things We Cannot Change: And the Happiness We Find by Embracing Them|Can I touch you?”His lashes closed, resting on the tops of his tanned, sculpted cheeks as his smile grew broad. “You don’t have to ask.” I reached out immediately but paused within inches of contact. He must’ve sensed my hesitation because he reopened his eyes. “What’s wrong?”I swallowed, utterly overwhelmed. “I don’t know where to start.”Mason’s gaze warmed . He wrapped strong warm fingers around my wrist and drew my palm forward, leading me where he wanted my hand to follow. When he set it on the center of his chest, right over his heart and pressed my flesh to his as if fingerprinting my soul to his. I blinked back gratified tears.“Start here. No one’s ever touched me here before.
Anita Diamant, Good Harbor|Thus spake brave Horatius, the captain of the gate. To all men upon this Earth, death cometh soon or late. And what better way to die, than facing fearful odds, for the ashes of ones' fathers, and the temples of ones' G/Ds? For the tender mother, who dandled him to rest. And for the wife, who nurses his baby at her breast. And for the holy maidens, who feed the eternal flame. To save them from false sextus, that wrought the deed of shame. Lay down the bridge, Sir Consul, with all the speed ye may. I, with two more at either side, shall hold the foe in play. In Yon straight path a thousand may well be stop by three. Now who will stand on either hand and hold the bridge with me?
Tamara Hoffa, Roping Love|She had known for a while that Chance would be her first. She hadn’t planned it would be tonight. But, it felt right, Fourth of July, fireworks, and her first time.
Hazrat Inayat Khan, The Sayings of Hazrat Inayat Khan|People always say how you should be yourself. Like yourself is a definite thing, like a toaster or something.
Billy Graham, Billy Graham in Quotes|What is heaven? It’s the home that God created and He possesses. His throne room is His headquarters from which He issues His commands, directions, and prophecies. And Jesus sits at His Father’s right hand.
Philip Yancey|When I pray for another person, I am praying for God to open my eyes so that I can see that person as God does, and then enter into the stream of love that God already directs toward that person.
David Levithan, Two Boys Kissing|But flaming youth in all it's madnessKeeps nothing of its heart concealed:It's loves and hates, its joys and sadness,Are babbled out and soon revealed.
Charles Bass|I was caught up in the hysteria during the Vietnam era, which was brought about through Marxist propaganda underlying the so-called peace movement.
Allen Wheelis|Philosophy consists in moderating each life so that many lives will fit together with as much liberty and justice as will keep them together: and not so much as will make them fly apart, when the harm will be the greater.
Michel Foucault|We must cease once and for all to describe the effects of power in negative terms, it ‘excludes’, it ‘represses’... in fact power produces, it produces reality, it produces domains of objects and rituals of truth.
George Washington Carver|If you stop at general math, you're only going to make general math money.
Jasper Fforde, The Eyre Affair|In this time of 'information overload', people do not need more information. They want a story they can relate to.
Walter Moers, Rumo & His Miraculous Adventures|Approaching the forest from the west was no army, but a delegation of Grailsundanian master surgeons on their way to an appendix conference . . . But that isn't the craziest part of the story - oh, no, my boy, for approaching from the east was a party of itinerant watchmakers bound for the pocket-watch fair at Wimbleton . . . But not even that is the craziest part of the story! For apporaching from the south were over a hundred armourers and locksmiths on their way to Florinth, where some power-hungry prince had commissioned them to build a monstrous war machine . . . Well, that would be enough crazy coincedences for an averagely crazy story but the battle of Nurn Forest involved the most improbable coincedences in the history of Zamonia. For entering the forest, this time from the north came a delegation of alchemists.
Warren W. Wiersbe|The school of suffering never graduates any students, so ask God to teach to you the lessons He wants you to learn.
James Frey, My Friend Leonard|Be bold. But not bold, be fucking bold.
Mokokoma Mokhonoana|Death would be an extremely bad thing like most of us paint it, if being dead were painful.
Mandy Hale, The Single Woman: Life, Love, and a Dash of Sass|You can love them, forgive them, want good things for them…but still move on without them.
Diana Wynne Jones, Howl's Moving Castle|He gave Sophie the smile which had no doubt charmed the Witch of the Waste and possibly Lettie too, firing it along the fork, across the cream, straight into Sophie’s eyes, dazzlingly. “If you can bully Calcifer, the King should give you no trouble at all.” Sophie stared through the dazzle and said nothing. This, she thought, was where she slithered out. She was leaving. It was too bad about Calcifer’s contract. She had had enough of Howl. First green slime, then glaring at her for something Calcifer had done quite freely, and now this! Tomorrow she would slip off to Upper Folding and tell Lettie all about it.
Marc Ashton|Suddenly, in my mind I hear my father say, 'Mind over matter, son. You can do this. You can accomplish anything as long as you really want to.
M.B. Dallocchio, The Desert Warrior|You still haven't said where you come from. Where is your home?"I said, "I am a sheath, so home is wherenever my shade, my blade is.
Richard Bach, Illusions: The Adventures of a Reluctant Messiah|I'll quote the truth wherever I find it, thank you.
Nina George, The Little Paris Bookshop|Henry Adams observes that John Hay has the ability to take the world as a whole rather than pulling it to pieces in criticism. He also observes that, in the routine of a stressful job, this perspective is challenged
Brian Jacques, Redwall|He knew one thing only, and it was beyond fear or reason: He was not going to die crouching here like a child playing hide-and-seek; he was not going to die kneeling at Voldemort’s feet . . . he was going to die upright like his father, and he was going to die trying to defend himself, even if no defense was possible. . . .
Mehmet Murat ildan|If there is a very strong love behind you that you can lean against to it, nothing can ever shake you very strongly!
Unarine Ramaru|At times we convince ourselves, we have something to lose but in fact, who you are and your being remains intact.
Galit Breen, Kindness Wins|If kindness wins, accountability rules.
