Tom Hanks|If you're funny, if there's something that makes you laugh, then every day's going to be okay.
David Hume|Love was selfish, wasn't it? It made honest men want things they had no right to. It cocooned one from the rest of the world, erased time itself, knocked away reason. It made you live in defiance of the inevitable. It made you want another's mind, body; it made you feel as if you deserved to own their heart, and carve out a place in it.
Carrie Fisher, The Princess Diarist|To make him important in one’s life requires an overactive imagination. Unfortunately, mine never knows when to quit.
Debasish Mridha|You are my light! In my mind, in my heart, and in my eyes. If you're not, then how can I see you?
Peter   Atkins|Someone with a fresh mind, one not conditioned by upbringing and environment, would doubtless look at science and the powerful reductionism that it inspires as overwhelmingly the better mode of understanding the world, and would doubtless scorn religion as sentimental wishful thinking. Would not that same uncluttered mind also see the attempts to reconcile science and religion by disparaging the reduction of the complex to the simple as attempts guided by muddle-headed sentiment and intellectually dishonest emotion?...Religion closes off the central questions of existence by attempting to dissuade us from further enquiry by asserting that we cannot ever hope to comprehend. We are, religion asserts, simply too puny. Through fear of being shown to be vacuous, religion denies the awesome power of human comprehension. It seeks to thwart, by encouraging awe in things unseen, the disclosure of the emptiness of faith. Religion, in contrast to science, deploys the repugnant view that the world is too big for our understanding. Science, in contrast to religion, opens up the great questions of being to rational discussion, to discussion with the prospect of resolution and elucidation. Science, above all, respects the power of the human intellect. Science is the apotheosis of the intellect and the consummation of the Renaissance. Science respects more deeply the potential of humanity than religion ever can.
Andy Stanley, Visioneering: God's Blueprint for Developing and Maintaining Personal Vision|Our lives are marked by the people who choose to matter more: the teacher who encouraged our curiosity, the neighbor who lent a helping hand in time of need, the great leaders and perceptive thinkers whose vision and innovation improve the quality of our lives. And that's what it means to matter more. It's not about pursuit of riches or fame. It's about making a difference in people's lives. Remembered or not, lived out in a small town or on the world stage, the journey of relevance matters.
Nicole Holofcener|I don't want to be pigeonholed into doing just romantic comedies. But they're fun, and especially for women, it's nice to go to see them and enjoy that breath of fresh air.
Zoltan Kodaly|Artists don't talk about art. Artists talk about work. If I have anything to say to young writers, it's stop thinking of writing as art. Think of it as work.
Paula Lenz|And here we see again that we do not decide our own lives. Dieneke, even if we won't see each other again on earth, we will never be sorry for what we did, that we took this stand.
Francisco X. Stork, The Memory of Light|It's a sadness that has been knocking at my door for a long time, and I finally let it in.
Jessica-Lynn Barbour, Willow|Starving artist: starving for affection, starving for attention
Sherry Turkle, Alone Together: Why We Expect More from Technology and Less from Each Other|Your brain may give birth to any technology, but other brains will decide whether the technology thrives. The number of possible technologies is infinite, and only a few pass this test of affinity with human nature.
Paul McCartney|Where I come from, you don't really talk about how much you're earning. Those things are private. My dad never told my mum how much he was earning. I'm certainly not going to tell the world. I'm doing well.
Jandy Nelson, The Sky Is Everywhere|There once was a girl who found herself dead.She peered over the ledge of heavenand saw that back on earthher sister missed her too much,was way too sad,so she crossed some pathsthat would not have crossed,took some moments in her handshook them upand spilled them like diceover the living world.It worked.The boy with the guitar collidedwith her sister."There you go, Len," she whispered. "The rest is up to you.
Jillian Dodd, Stalk Me|As I looked into his eyes, trying to see into the depths of that darkness, it hit me. It was subtle, but it hit me. The rush of attraction.
