Jules Renard|Old age is like a plane flying through a storm. Once you're aboard, there's nothing you can do.
Savas Dimopoulos|If you formulate your question properly, mathematics gives you the answer
T.H. White, Ghostly, Grim and Gruesome|My father always used to tell one of his dreams, because it somehow seemed of a piece with what was to follow. He believed that it was a consequence of the thing's presence in the next room. My father dreamed of blood.It was the vividness of the dreams that was impressive, their minute detail and horrible reality. The blood came through the keyhole of a locked door which communicated with the next room. I suppose the two rooms had originally been designed en suite. It ran down the door panel with a viscous ripple, like the artificial one created in the conduit of Trumpingdon Street. But it was heavy, and smelled. The slow welling of it sopped the carpet and reached the bed. It was warm and sticky. My father woke up with the impression that it was all over his hands. He was rubbing his first two fingers together, trying to rid them of the greasy adhesion where the fingers joined." ("The Troll")
Alan Moore, 25,000 Years of Erotic Freedom|Sexually progressive cultures gave us literature, philosophy, civilization and the rest, while sexually restrictive cultures gave us the Dark Ages and the Holocaust.
Charles M. Schulz|Happiness is waking up, looking at the clock and finding that you still have two hours left to sleep.
Thomas More, Utopia|To tell you the truth, though, I still haven't made up my mind whether I shall publish at all. Tastes differ so widely, and some people are so humourless, so uncharitable, and so absurdly wrong-headed, that one would probably do far better to relax and enjoy life than worry oneself to death trying to instruct or entertain a public which will only despise one's efforts, or at least feel no gratitude for them.
A.W. Tozer, The Pursuit of Man: The Divine Conquest of the Human Heart|When I asked her if she was afraid to fall in love, she damn near doubled over. "Afraid? My heart has been through hell and back. Yet it never quits, refuses to rest, gives without asking in return, and is deeper than the deepest sea. It's love, my dear, that should fear me." That night my heart was signed, by my one of a kind.
Rick Riordan|If you ever leave me again,’ she said, her eyes stinging, ‘I swear to all the gods-‘Percy had the nerve to laugh. Suddenly the lump of heated emotions melted inside Annabeth.‘Consider me warned,’ Percy said. ‘I missed you, too.
Mario Andretti|Without continual growth and progress, such words as improvement, achievement, and success have no meaning.
Donna Goddard|Being liked or not, having company or not, being understood or not, being acknowledged or not are not issues of concern on the spiritual path.
Matthew Perry|Humor comes in all forms, and everyone has their cup of tea about what makes them laugh. But the day we censor humor is a sad one for sure.
Simon R. Green, Ghost of a Chance|It is a relief to discover that although there might be axe murderers and kidnappers in the world, most people seem a lot like us: sometimes afraid and sometimes brave, sometimes cruel and sometimes kind.
Gary Moore, Playing With the Enemy: A Baseball Prodigy, a World at War, and a Field of Broken Dreams|The main character, Gene Moore, is shown how much of his identity is wrapped up in his career and potential in that career. When he comes home from war no longer able to see himself as a baseball prospect, he isn't sure who he is. This is thoroughly reinforced every time one of his acquaintances identifies him by baseball or inquires about his status. How much of our identity and worth is wrapped up in our job title or the one we are aspiring to?
Kamil Ali, Profound Vers-A-Tales|Where faith costs nothing, faith loses respect, even to those who possess it.
Erin Hanson|There is freedom waiting for you,On the breezes of the sky,And you ask "What if I fall?"Oh but my darling,What if you fly?
Rick Riordan, The Hidden Oracle|Oh, why does college have to happen to perfectly good people?
Vladimir Nabokov, Lolita|Suddenly, as Avis clung to her father’s neck and ear while, with a casual arm, the man enveloped his lumpy and large offspring, I saw Lolita’s smile lose all its light and become a frozen little shadow of itself, and the fruit knife slipped off the table and struck her with its silver handle a freak blow on the ankle which made her gasp, and crouch head forward, and then, jumping on one leg, her face awful with the preparatory grimace which children hold till the tears gush, she was gone — to be followed at once and consoled in the kitchen by Avis who had such a wonderful fat pink dad and a small chubby brother, and a brand-new baby sister, and a home, and two grinning dogs, and Lolita had nothing.
India Stoker|Bad news. If you can see it coming, you brace yourself; you weigh the outcome. But there's always that niggling voice, that voice of hope whispering, 'Maybe it's good news.' Whether you can admit it or not, that little whisper is a potent thing.
Erwin Schrödinger, 'Nature and the Greeks' and 'Science and Humanism'|Materialism wars against our souls in a twofold manner. First, it makes us discontent and envious of others. Second, it leads us to pamper and indulge our bodies so that we become soft and lazy. As we become soft and lazy in our bodies, we tend to become soft and lazy spiritually. When Paul talked about making his body his slave, so that after having preached to others he himself would not be disqualified, he was not thinking about physical disqualification, but spiritual. He knew well that physical softness inevitably leads to spiritual softness. When the body is pampered and indulged, the instincts and passions of the body tend to get the upper hand and dominate our thoughts and actions. We tend to do not what we should do, but what we want to do, as we follow the cravings of our sinful nature.
Kelley Armstrong, Bitten|...that when you wanted to see something very badly,sometimes you had to stay still,stay in the same place, remember how much you wanted to see it,and be patient.If you want to see hawks you have to be patient too.
Demi Moore|Don't listen to anybody. Nobody knows the magic bullet. If they did, they'd sell it and make a fortune. Follow your gut. Follow your instincts. Every once in a while, take a chance.
John Piper, Recovering Biblical Manhood & Womanhood|This point is often missed by evangelical feminists. They conclude that a difference in function necessarily involves a difference in essence; i.e., if men are in authority over women, then women must be inferior. The relationship between Christ and the Father shows us that this reasoning is flawed. One can possess a different function and still be equal in essence and worth. Women are equal to men in essence and in being; there is no ontological distinction, and yet they have a different function or role in church and home. Such differences do not logically imply inequality or inferiority, just as Christ’s subjection to the Father does not imply His inferiority.
Jennifer Niven, All the Bright Places|I love the thrill of impending, weightless doom...
Crystal Woods, Write like no one is reading 2|If You Lose Your Keys, At Least It's Better Than Losing Your Car.
Chuck Palahniuk|Be at war with your vices, at peace with your neighbors, and let every new year find you a better man.
Carrie Ann Ryan, Love Restored|He's lost everything once, and now, he wasn't sure if he had anything left to lose.
Salman Rushdie, Midnight's Children|It has been observed that all Americans need a frontier: pain was hers, and she was determined to push it out.
Jaime Ray Newman|Lauryn Hill's always been a hero of mine. And Bruno Mars, Janelle Monae and Adele, those are the current artists I would reference in terms of who's been able to do really amazing pop records with really cool, organic throwback elements of soul in there as well.
Suzanne Finnamore, Split: A Memoir of Divorce|Naturally, I do blame Françoise. I blame her for having N in the first place. She was young, she was beautiful, she was married to a doctor, and she was intelligent. She could have abstained from producing her first son. It was wrong on a variety of levels.
Deepak Chopra, Why Is God Laughing?: The Path to Joy and Spiritual Optimism|Everything that seemingly happens externally is occurring in order to trigger something within us, to expand us and take us back to who we truly are.
John Didcott|Severability is an important concept in the context of the relations between this Court and Parliament; like 'reading down', it is an instrument of judicial restraint which reduces the danger of producing an overbroad judicial reaction to overbroad legislation.
Rick Riordan, The Lost Hero|Is that me?,' Leo said. 'Like me--having this dream--looking at me having a dream?
Kenneth Eade, Political Thriller: Unwanted, an American Assassin Story: an assassination, vigilante justice and terrorism thriller|ISIS was not particular about how their soldiers made it to Jannah, so long as they inflicted maximum damage..
Meg Cabot, Shadowland|And try to remember what we discussed, Susannah. A mediator is someone who helps others resolve conflicts. Not someone who, er, kicks them in the face.
Jacqueline A. Bussie, Outlaw Christian: Finding Authentic Faith by Breaking the 'Rules'|The name outlaw Christian describes the kind of Christian I am and the kind I’m setting myself free to become: namely, a follower of Jesus who no longer accepts cocky clichés, hackneyed hope, or snappy theodicies—defenses of God’s goodness and power—that explain away evil and suffering with a theo-magical sleight of hand. An outlaw Christian doesn’t condemn questions or discourage doubt. Instead, an outlaw Christian seeks to live an authentic life of faith and integrity, and chooses the defy the unwritten laws governing suffering, grief, and hope that our culture and religious traditions have asked us to ingest. The faith of an outlaw Christian is bold, outspoken, and active in a world of pain.
Lailah Gifty Akita, Think Great: Be Great!|Reject anything advice, which does not lead to your personal progress.
Kate Bloomfield, Alpha Girl|That’s a Planeswalker demon.” Dante slumped into the seat behind her. “You aren’t crazy.” Meg slid him a bemused glance. “I thought we’d settled that a few weeks back.”“Nope,” he said,shaking his head. “I was still certain you were loony.”“Then why have you been helping me?”“I don’t know if you’ve noticed, sweetheart, but you have fabulous tits,” Dante said with a sigh. “I figured once you gave up on the whole idea of being queen of the faery world, you might consider sleeping with me. Now I see that demons are real. I’m going to church tomorrow.
John Corey Whaley, Noggin|Maybe we all just exist, all versions of us exist at times, and we have to figure out a way to get to each of them, to find each one and tell that version that it's okay, that it's all justthe way it works, a concept too powerful to ignore but too complicated to explain.
Ryan Reynolds|It's funny, in literature no one ever goes to the lavatory.
Ikechukwu Joseph, Pulling Down Satanic Strongholds|When life belittle and trick you, you will forget protocol...
Maddy Edwards|Just then Trafton walked up to the four of us. "I can see this is a little gang on campus" said Trafton "How do I join?""Dial 1800 - not on your life and see how that works out for you," said LisabelleTafton smiled at her "I know that behind that harsh exterior you have a kind and gentle soul." "No" said Lisabelle "I really don't. I'm pretty much always this unpleasant with the desired result of being left alone. Why am I not being left alone?
Bryant McGill, Simple Reminders: Inspiration for Living Your Best Life|Your suffering is here to help you unfold and to awaken into compassion, love and strength.
William Shakespeare, King Lear|But I am bound upon a wheel of fire, that mine own tears do scald like moulten lead.
M. F. Husain|The average person puts only 25% of his energy and ability into his work. The world takes off its hat to those who put in more than 50% of their capacity, and stands on its head for those few and far between souls who devote 100%.
Dani Harper, Storm Bound|Funny how being a grown-up didn’t make you any less glad to have a mom on the scene. Whether it was your own or someone else’s mother, it was like having the cavalry arrive.
Nicole Ari Parker|Liz Benedict, a teacher of mine at Iowa, is the person who introduced me to James Salter's work.
Tim Bishop|When Xi Jinping came to power, there were a series of hints that market-based capitalism would be allowed to move forward under his leadership. At the first real threat, they've fallen over themselves to impose government control.
|You never think it’s going to happen to you, do you?
Henry Rollins|Everything you do makes my body scream with loneliness. When I see you, the room swallows me. I find myself at the bottom of the pool.
Elton Trueblood, Abraham Lincoln: Lessons in Spiritual Leadership|When students learn to wrestle with questions about purpose, audience, and genre, they develop a conceptual view of writing that has lifelong usefulness in any communicative context.
