Thomas Huxley|I'm not broke. Like everybody else, I owe money.
Margit Eva Bernard, STEP BACK: A Stepmother's Handbook|Since capitalism is a system based of the love of money,doesn't that make it the root of all evil?
Colm Tóibín|We can all have plenty of lives, but there are limits. You never can tell what they are.
Salman Rushdie|Nothing is forever, he thought beyond closed eyelids somewhere over Asia Minor. Maybe unhappiness is the continuum through which a human life moves, and joy just a series of blips, of islands in the stream. Or if not unhappiness, then at least melancholy.
Alisa Hope Wagner, Eve of Awakening|The heart easily commends and condemns itself, depending on our wave like performance. That is why we must base our worth in Jesus alone.
Moutasem Algharati|It was a thing that could not be articulated or explained. It merely was, like the sunrise or a sheer and sudden drop to the giant water that had stolen my breath, where the land ended in the ruins. My love for Fade strengthened me, made me determined never to give up. I would follow him until the world stopped or until I found him. I believed love hadn’t weakened me or left me soft; instead it made me powerful, determined beyond all belief.
Jillian Hervey|My mom has always just been one of those people who handle adversity and challenges, and really everything, with so much grace and elegance. I saw it all the time.
Dashama Konah Gordon, Journey to Joyful: Transform Your Life with Pranashama Yoga|If we are not living IN our bodies, honoring them as our TEMPLE, we are closing off the divine channels (nadis) of energy that run through us. Additionally, when we are not in good physical shape, we limit our enjoyment of our life experience. Thus, yoga is spiritual and physical.
Melina Marchetta, Quintana of Charyn|What if she's all I give you in this life of ours, my love?" she asked quietly. "Then I'll shout at the goddess in fury," he said fiercely. "I'll beg to know why I've been given so much when other men have so little.
Anonymous, Holy Bible: King James Version|But he was pierced for our transgressions,  he was crushed for our iniquities;  the punishment that brought us peace was upon him,  and by his wounds we are healed.
Rauschenbusch Walter 1861-1918|When we comprehend how few wars have ever been fought for the sake of justice or the people; how personal spite, the ambition of military professionals, and the protection of capitalistic ventures are the real moving powers...then the mythology of war will no longer bring us to our knees.
Marilyn Manson, The Long Hard Road Out of Hell|But through years of myth-making and fear-sowing, Christianity meta-morphosed antichrists into a single Antichrist, an apocalyptic villain and Christian bogeyman used to scare people as much as Santa Claus is used to regulate children's behavior. After years of studying the concept, I began to realize the Antichrist is a character--a metaphor--who exists in nearly all religions under different names, and maybe there is some truth in it, a need for such a person. But from another perspective, this person could be seen as not a villain but a final hero to save people from their own ignorance. The apocalypse doesn't have to be fire and a brimstone. It could happen on a personal level.
Jodi Picoult, Nineteen Minutes|If you have fear of some pain or suffering, you should examine whether there is anything you can do about it. If you can, there is no need to worry about it; if you cannot do anything, then there is also no need to worry.
Stephen Richards|Everything we could possibly want or need is there for the taking, but we are blinded by fears of lack and limitation, and we have bought the lie that resources are limited, so we must therefore compete for the few that are left.
Jaime Allison Parker|Steffy risked a glance at her fellow neighbors and townspeople. She often looked for kindred spirits in the crowd. None were ever found. Just once, she wished to see someone trying to hide a smile, a snicker, or plain sighing at the absurdity. The rowdy outcasts among the community were not welcome in the church. They knew better than to show their faces.
Steven Magee|If you are living in the electrified wireless west, then you are living a very abnormal lifestyle that your genetics has no adaptation to.
Hilary Mantel, Giving Up the Ghost|When once the Heart is awakened, every single moment 'in-time' is a treasure to beheld
R. Alan Woods, Just Keep’in It Real: The Complete Collection of Essays, Notes, Letters, Articles, and Reviews|A determined man, a man who believes himself grossly abused, does not listen to reason
Chuck Norris|At the bottom of education, at the bottom of politics, even at the bottom of religion, there must be for our race economic independence.
Evan Peters|When you're out of sight for as long as I was, there's a funny feeling of betrayal that comes over people when they see you again.
Peter  Fryer, The Demon Inside: Lost Souls|At night in the town's countryside, you could just about feel and hear everything, but without using lamps, it was impossible to see anything other than shadows
Ilchi Lee, Brain Wave Vibration: Getting Back into the Rhythm of a Happy, Healthy Life|I don't believe in greatness that is bestowed as a rare gift to a few lucky ones. Rather, I think all people have greatness inside them. It is just a matter of persistence--sticking to what you have envisioned until it is reality. I have a deep conviction that everyone, including you, has been given exactly the right set of gifts to fulfill some magnificent purpose in life. Greatness must simply be chosen. And if you choose it, it will happen.
Richelle E. Goodrich, Making Wishes|Rare and precious moments, how I long to live with you eternally! If only your sweetness never ceased to touch my lips, and the flutters you evoke nevermore faded away. I dream of your arm extended immeasurably to keep hold of my reaching hand. But Father Time, being a cruel master, will not grant such a wish. And so I tuck you away as cherished memories, stored in a treasure box buried in my heart. And in times of solitude, I shall bring you out to view like rainbows.
Pope Paul VI|It is not how old you are, but how you are old.
John M. Simmons, The Marvelous Journey Home|Hope is something that can never be taken from you unless you allow someone to take it. If you never lose hope, you will never truly be poor.
Arthur Conan Doyle, The Lost World|The bent head, the averted eye, the faltering voice, the wincing figure- these, and not the unshrinking gaze and frank reply, are the true signals of passion.
Alan Bennett, The Uncommon Reader|Too late. It was all too late. But she went on, determined as ever and always trying to catch up.
Tingkat Delivery|He reminds me of a comfortable sweater that you pull on, knowing it will keep you warm every time.
