Joseph Prince|I like people and I like them to like me, but I wear my heart where God put it, on the inside.
Justine Larbalestier|If you are causing trouble, look for allies, always.
Martina Boone|Her hands crept around his neck, tangling in his hair to keep him closer, even though she knew that beautiful boys with expiration dates couldn't be held, only borrowed for a time.
Jo Ann Fore, When a Woman Finds Her Voice: Overcoming Life's Hurts & Using Your Story to Make a Difference|I would travel far and wide...seeing, listening, creating. I would weave tales for an enthralled audience. A song would be heard throughout the kingdom, and I would be a part of that. You would normally think that a bard would pick up his tales from stories heard in his travels or, perhaps, from personal observation of these events. Perhaps some bards would create the stories themselves or, at least, adapt the original versions heard... But what if the bard were really more than a bard? What if he were once a gallant knight or an old sea captain...perhaps even a forgotten prince? What if the stories he told, what if the characters brought to life in his stories, were really of his comrades and himself? Stories from long ago that he finally wished to be heard? What if those who listened to his tales, all the while assuming that they were far disconnected from their communicator, were really listening to the narrative of a wanderer intimately connected to it all? And where would such an individual go when his final days as an “official” bard were spent? Perhaps he would decide to retire in a lighthouse. For, surely, no place would be more fitting for the hero emeritus. He would gaze upon the glorious sea in recollection...guiding others with the beacon of light atop his home as he had once been shepherded. The adventurer became the storyteller...and then the Sentinel of the Sea.
Charles de Secondat|Free speech is not to be regulated like diseased cattle and impure butter. The audience that hissed yesterday may applaud today, even for the same performance.
Ralph Waldo Emerson|The power of love, as the basis of a State, has never been tried.
Raphael Zernoff|The world is focused on success, which is defined as riches and fame. Define your success as a person of values. Make love, compassion, and kindness your only success and everything else will be available to you.
William Shakespeare, Hamlet|Seems," madam? Nay, it is; I know not "seems."'Tis not alone my inky cloak, good mother,Nor customary suits of solemn black, Nor windy suspiration of forced breath,No, nor the fruitful river in the eye, Nor the dejected 'havior of the visage,Together with all forms, moods, shapes of grief, That can denote me truly: these indeed seem, For they are actions that a man might play: But I have that within which passeth show; These but the trappings and the suits of woe.
Titania Hudson|The gift of love is in the simplest and utter joy of just being with the other. In coming alive to the present moment, together. In recognizing and being overwhelmingly grateful that among countless other possibilities that the vastness of life throws, the moment was possible. The impatience of love, is to desire a million such moments stretching forever. Small. Beautiful. Profound. Fragile. Floating away like flowers on the flowing brook. How foolish we are sometimes to miss the gift of the present, in our desire to imprison the future?
Adam Silvera, They Both Die at the End|Yes, we live, or we're given the chance to, at least, but sometimes living is hard and complicated because of fear.
Ike Skelton|Moreover, environmental health at the local level has become narrowly focused, very much defined around regulations and the attendant regulatory debates.
Gugu Mona|Do you think about making love with me?"I lie awake most nights, fantasizing about sleeping next to her ... loving her. "Right now, muneca, makin' love to you is the only thing on my mind.
Sara B. Larson, Defy|You know you're in love when you cant even put into words, how you feel for a person.
Rainbow Rowell, Eleanor & Park|Don't bite his face, Eleanor told herself. It's disturbing and needy and never happens in situation comedies or movies that end with big kisses.
Roy T. Bennett, The Light in the Heart|No matter how much experience you have, there’s always something new you can learn and room for improvement.
Aphrodite Phoenix, And The Point of All this Agony is...?|Interns, unite: you have nothing to lose but your unpaid positions!
Jean-Paul Sartre|I am not what happened to me, I am what I choose to become.
Plautus|Never advise anyone to go to war or to get married. Write down the advice of him who loves you, though you like it not at present. He that has no children brings them up well.
Ray Bradbury, Fahrenheit 451|It is well said, then, that it is by doing just acts that the just man is produced, and by doing temperate acts the temperate man; without doing these no one would have even a prospect of becoming good.
Becca Fitzpatrick|Since the dawn of time, women have been attracted to mates with strong survival skills—like intelligence and physical prowess—because men with these qualities are more likely to bring home dinner at the end of the day.” He stuck his thumbs in the air and grinned. “Dinner equals survival, team.
Shannon  Mullen, See What Flowers|It is not the darkness of shadows: one that follows you, haunts you, terrifies you. Instead, it consumes you, becomes you, weighs you down. It IS you. It is comforting. Familiar. I have walked with it. Eaten with it. Loved with it. Smiled with it. Yet I feel it destroying me.Like cancer.But I can’t remove it. It stays inside of me, taunting me to kill it, myself, but it does not realize that this seduction keeps me alive.
Nora Roberts, Key of Light|He preferred the term "study" to "office," as an office meant work. No way around it. In a study, you could, well, study, or nap or read, or stare into space thinking long thoughts. You could certainly work, but it wasn't a requirement.
Stanisław Lem, Solaris|We don't want to conquer the cosmos, we simply want to extend the boundaries of Earth to the frontiers of the cosmos.
Dorothy Koomson, Marshmallows for Breakfast|Once young girls used to play with baby dolls, seeing themselves in the role of the nurturing mother; now they can be seen playing with Barbie dolls, seeing themselves in the place of the doll. And of course, the doll is both pretty and stacked. The pressure is on and stays on.
Aaron Sorkin|He is the kind of person I should expect to rescue one from a mad dog at any risk but then insist on a stoical indifference to the fright afterward." Jefferson Davis's future wife describing him at first meeting.
Remy de Gourmont|Within thirty years, we will have the technological means to create superhuman intelligence.
William L. Shirer, The Rise and Fall of the Third Reich: A History of Nazi Germany|In our new age of terrifying, lethal gadgets, which supplanted so swiftly the old one, the first great aggressive war, if it should come, will be launched by suicidal little madmen pressing an electronic button. Such a war will not last long and none will ever follow it. There will be no conquerors and no conquests, but only the charred bones of the dead on and uninhabited planet.
Sam Harris, Letter to a Christian Nation|Atheism is not a philosophy; it is not even a view of the world; it is simply an admission of the obvious. In fact, 'atheism' is a term that should not even exist. No one needs to identify himself as a 'non-astrologer' or a 'non-alchemist.' We do not have words for people who doubt that Elvis is still alive or that aliens have traversed the galaxy only to molest ranchers and cattle. Atheism is nothing more than the noises reasonable people make in the presence of unjustified religious beliefs.
Paulo Coelho, The Alchemist|there is one great truth on this planet: whoever you are, or whatever it is that you do, when you really want something, it's because that desire originated in the soul of the universe. It's your mission on earth.
Salvador Dalí, The Secret Life of Salvador Dalí|My mother's death supervened, and this was the greatest blow I had experienced in my life. I worshipped her... I could not resign myself to the loss of a being on whom I counted to make invisible the unavoidable blemishes of my soul.
Lailah Gifty Akita, Think Great: Be Great!|The word of God gives us strength, power and hope.
Patience Johnson, Why Does an Orderly God Allow Disorder|We always think that God's presence is always provided to fix our problems but what if God's presence is more about fixing your perspectives? So that you will have a new way to see your problems. If you didn't make your bed before leaving home this morning, no angel is going to make your bed for you, it is still going to be as you left it till you come back.
Rosamund Lupton, Sister|We are perishing for want of wonder, not for want of wonders.
Teresa R. Funke, Bursts of Brilliance for a Creative Life blog|Artists have a unique ability to paint the world, and to help people see injustice. They do it not with guns, but with pens and guitars and paintbrushes.
Elizabeth Jane Howard|I apply for a new job twice a week, every week. I am applying for the position of millionaire but so far my numbers haven't come up.
H. Havelock Ellis|I’ve never been jealous before I met you, it burns, luv. Like silver through my veins. Some nights, watching you with other men on your jobs, I think it will drive me mad. (Bones)
Tyler Perry|Happiness is a great power of holiness. Thus, kind words, by their power of producing happiness, have also a power of producing holiness, and so of winning men to God.
Darren Main, The River of Wisdom: Reflections on Yoga, Meditation, and Mindful Living|What I can tell you is that yoga is about removing the muck by shining the light of awareness on it. That is why yoga is so hard. None of us wants to look at the muck, but looking at it is the only way to dissolve it. Thus, there are many times that a yogi may feel filled with darkness. It’s not that the darknessarrived because of yoga; it’s that yoga made you aware of all the things that were holding you back. The good news is that with this awareness, you have the opportunity to dissolve the muck once and for all. However great the doubt, however deep the despair, you can take comfort in knowing that youare feeling these things because your yoga is doing exactly what it was designed to do. You can also take refuge in the knowledge that whatever you are feeling—whether high or low—will pass, because it always does.
