Michael Faudet, Dirty Pretty Things|Unbutton, unzip, unclip, untie, undo, undress.”“Understood,” she replied.
Felix Wantang, God's Blueprint of the Holy Bible|Application does not guarantee citizenship; it is granted by the government. In Heaven, citizenship is granted only by Jesus Christ the ultimate judge. Matthew 7:15-23
Paula Stokes, The Art of Lainey|A cat never discusses his business with humans, not even Princesses. A cat never explains and never apologizes. A cat never alibis. You must accept a cat as it is and for what it is and not expect more than the pleasure of its company.
Fernando Botero|Ever since studying in Russia as a college student, I had been in a long-distance, one-sided love affair with Chechnya's remarkable history, culture and rugged natural beauty.
Jack Shepard|When I later discovered that she (illustrator Faith Jaques) was a compulsive reader who loved to be alone and kept cats because they are the only pets that allow you to be both, my adoration of Jaques and her work could only increase.
Kirpal Singh, The Best of Kirpal Singh|writing home"here in the wilderness of australiawriting home becomes easyin spite of the spreading wild firesthere is less heat, more certainty.writing home, writing thisi think of those without real homes–our city, people say, provides houseswhich do not, often, bring one home.
Judy Polumbaum, China Ink: The Changing Face of Chinese Journalism|I used to think the most important thing for a reporter was to be where the news is and be the first to know. Now I feel a reporter should be able to effect change. Your reporting should move people and motivate people to change the world. Maybe this is too idealistic. Young people who want to be journalists must, first, study and, second, recognize that they should never be the heroes of the story. ..A journalist must be curious, and must be humble. --Zhou Yijun
Jalaluddin Rumi|This place is a dream. Only a sleeper considers it real. Then death comes like dawn, and you wake up laughing at what you thought was your grief.
Peter Kreeft, Prayer for Beginners|Feelings are wonderful decorations, but they are not a foundation to build on.
Cornell Woolrich, The Fantastic Stories of Cornell Woolrich|The serious writer was aware of a paradox at the heart of his art: his inner world, the place of the strongest stories, was infinite, but it was also embedded in – if this was possible! – an even more infinite universe of all things to write about. It was like seeing the Grand Canyon from outer space – a huge gorge that looked like a thin trickle, impossible to miss, hard to hit.
Carl R White|All I have is me, myself and I and we are all getting really tired of each other.
Eric Samuel Timm, Static Jedi: The Art of Hearing God Through the Noise|When others sit, a #StaticJedi is found standing—even standing along, with a message not in hand but secure in heart!
Kate Bosworth|Without contraries is no progression. Attraction and repulsion, reason and energy, love and hate, are necessary to human existence.
Adam McKay|I started dating JD Samson from Le Tigre, and suddenly I was listening to more up-tempo music and old dance music, like ESG and Gang of Four, and I thought, 'Wow. This is fun.'
George Cadbury|I am extraordinarily lucky, I was born in a family of strong moral values, and in my life I was able to do what I liked best: debuts, great theatres, but above all, inner and deep satisfaction.
Ray Bradbury, Fahrenheit 451|Books were only one type of receptacle where we stored a lot of things we were afraid we might forget. There is nothing magical in them at all. The magic is only in what books say, how they stitched the patches of the Universe together into one garment for us.
Harmon Okinyo|What is MONEY? a piece of PAPER, a chunk of METAL or just some bits and bytes.It’s been called the ROOT OF ALL EVIL, but it can also help UPROOT ALL EVIL.It can’t buy you HAPPINESS or LOVE, but some fall in LOVE WITH IT anyway.It can CHANGE who you are, help find out WHO YOU really are.It can ENSLAVE you, and FREE you.It can open DOORS, buy you DOORS, But it won’t tell you what to do once you are INSIDE, CONTROL you and give you CONTROL.It can give you the power to say YES and the freedom to say NO.It’s EVERYTHING ……………. and NOTHING. Because MONEY is just money
Abigail Tarttelin|He doesn't need to tend her, because she hunts her own prey. He doesn't need to shield her, because she kills her own enemies. He doesn't need to look for her, because she's always at his side.
Zathyn Priest, Liquid Glass|Oh, Cameron," Eldon replied in a whisper, moving closer and brushing his lips over Cameron's mouth. "You are literally the very reason my heart beats. Nothing I have lost can compare with the love in you I have found.
Suzy Kassem, Rise Up and Salute the Sun: The Writings of Suzy Kassem|If life throws you a few bad notes, don't let them interrupt your song.
Cassandra Page|Our Company was participating in a management seminar in which we were taught a strategy that goes by the unlovely name of 'reverse your buts.' I did not make this up! It works like this:Maybe you're thinking, 'I love you, but you're driving me crazy.' Instead, try thinking, 'You're driving me crazy, but I love you." Isn't it amazing how different that feels?
Steven Johnson|History does nothing; it does not possess immense riches, it does not fight battles. It is men, real, living, who do all this.
Katie Reus, Taste of Darkness|He wanted to regain his memory, but not if it cost him Victoria. He would give up everything for her.
