Gautama Buddha|If you do not change direction, you may end up where you are heading
Tim Howard|Food is about communal togetherness. Our family does sit at the table. I think it's a great tragedy if a family doesn't have a table, as there is such an atmosphere of good will and warmth when we have eight people sitting around it.
Benjamin Clementine|I once choked on a chip at a friend's birthday when I was seven and had to be sent home, as I'd broken my collarbone coughing.
C. JoyBell C.|The day I understood everything, was the day I stopped trying to figure everything out. The day I knew peace was the day I let everything go.
John Pete|But man by his nature is an unnatural animal. If any creature stands a chance of defeating death, it is man.
Steve Maraboli, Unapologetically You: Reflections on Life and the Human Experience|Plant seeds of happiness, hope, success, and love; it will all come back to you in abundance. This is the law of nature.
Arthur Schopenhauer, Essays and Aphorisms|When we read, another person thinks for us: we merely repeat his mental process. In learning to write, the pupil goes over with his pen what the teacher has outlined in pencil: so in reading; the greater part of the work of thought is already done for us. This is why it relieves us to take up a book after being occupied with our own thoughts. And in reading, the mind is, in fact, only the playground of another’s thoughts. So it comes about that if anyone spends almost the whole day in reading, and by way of relaxation devotes the intervals to some thoughtless pastime, he gradually loses the capacity for thinking; just as the man who always rides, at last forgets how to walk. This is the case with many learned persons: they have read themselves stupid.
Mahatma Gandhi|Each night, when I go to sleep, I die. And the next morning, when I wake up, I am reborn.
Leigh Bardugo, Shadow and Bone|Where are you going?" she called after me, her voice mocking. "What's waiting for you out there?" "Nothing!" I shouted at her. "No one!
Anonymous|The question of commonsense is always "what is it good for?" - a question which would abolish the rose and be answered triumphantly by the cabbage.
Steve Maraboli, Life, the Truth, and Being Free|The process of discovering your fearless self is of refinement, not adding. The best way to reconnect with your freedom is to look at the rules you have that govern your freedom.
Rozonda Thomas|My memory of my household is of one immersed in books and music. I have a very intimate relationship with Bengali literature, particularly Tagore, and my interest besides reading then was music.
Donald Kalsched, Trauma and the Soul: A Psycho-Spiritual Approach to Human Development and Its Interruption|Early relational trauma results from the fact that we are often given more to experience in this life than we can bear to experience consciously. This problem has been around since the beginning of time, but it is especially acute in early childhood where, because of the immaturity of the psyche and/or brain, we are ill-equipped to metabolize our experience. An infant or young child who is abused, violated or seriously neglected by a caretaking adult is overwhelmed by intolerable affects that are impossible for it to metabolize, much less understand or even think about.
Thomas Brodie Sangster|Purpose is a higher level of living, where you live more for others than you live for yourself.
David Mitchell, Black Swan Green|I didn't know what I wanted. Maybe I never had. The emotional distance was never worth the togetherness, and yet I didn't learn. Nothing had changed. Had he reached for me, I would have forgotten to behave sensibly. Desire has no reason, and the need for intimacy had never stopped. I had not conjured up the images in years, his lips on mine, his hands, the urgency of our hunger. Now I was tormented by the memories.
Farid F. Ibrahim|Think, ask, pray and the right decision will find your way.
Azra T.|I don’t see any dearth of women leaders, it’s a question of what we consider a woman leader.
Erin Morgenstern, The Night Circus|The finished clock is resplendent. At first glance it is simply a clock, a rather large black clock with a white face and a silver pendulum. Well crafted, obviously, with intricately carved woodwork edges and a perfectly painted face, but just a clock.But that is before it is wound. Before it begins to tick, the pendulum swinging steadily and evenly. Then, then it becomes something else.The changes are slow. First, the color changes in the face, shifts from white to grey, and then there are clouds that float across it, disappearing when they reach the opposite side. Meanwhile, bits of the body of the clock expand and contract, like pieces of a puzzle. As though the clock is falling apart, slowly and gracefully.All of this takes hours.The face of the clock becomes a darker grey, and then black, with twinkling stars where numbers had been previously. The body of the clock, which has been methodically turning itself inside out and expanding, is now entirely subtle shades of white and grey. And it is not just pieces, it is figures and objects, perfectly carved flowers and planets and tiny books with actual paper pages that turn. There is a silver dragon that curls around part of the now visible clockwork, a tiny princess in a carved tower who paces in distress, awaiting an absent prince. Teapots that pour into teacups and minuscule curls of steam that rise from them as the seconds tick. Wrapped presents open. Small cats chase small dogs. An entire game of chess is played.At the center, where a cuckoo bird would live in a more traditional timepiece, is the juggler. Dress in harlequin style with a grey mask, he juggles shiny silver balls that correspond to each hour. As the clock chimes, another ball joins the rest until at midnight he juggles twelve balls in a complex pattern.After midnight, the clock begins once more to fold in upon itself. The face lightens and the cloud returns. The number of juggled balls decreases until the juggler himself vanishes.By noon it is a clock again, and no longer a dream.
Kurt Cobain, Journals|Words suck. I mean, every thing has been said. I can't remember the last real interesting conversation I've had in a long time. Words aren't as important as the energy derived from music, especially live.
Tanya Masse|Ragging at its most harmless is embarrassing and silly, but at its worst, it attempts to prevent individual students from independent thinking, attempts, in fact, to eradicate freewill
Khaled Hosseini, And the Mountains Echoed|In my experience, men who understand women seem to rarely want to have anything to do with them.
Rick Riordan|Victory must be real. It must be earned. That means it must be rare and difficult, against steep odds, and defeat must be the other.
Alexandra Elle|we all get waves of regret sometimesbut instead of dwelling on what you can’t change,start focusing on what you can.
Chloe Thurlow, Snow Falls Softly|You see? That's the point. It's all a big guess. They hope, they pray, they cook and garden and get a better job to pay the mortgage and read dirty books to keep bedtime interesting, but they don't know. There are no guarantees. Sometimes you just stop loving someone. You just stop.
John Green, An Abundance of Katherines|For I see not what there is desirable in publick esteeme, were I able to acquire & maintaine it. It would perhaps increase my acquaintance, the thing which I chiefly study to decline.
Sean Egan, Bowie on Bowie: Interviews and Encounters with David Bowie|Bowie talks in great, voluble torrents, darting from one topic to the next, parenthesizing and then parenthesizing the parentheses, as if he has too many ideas for one conversation.
Flannery O'Connor, Mystery and Manners: Occasional Prose|The isolated imagination is easily corrupted by theory, but the writer inside his community seldom has such a problem.
Sachin sawariya|When you are born, you cried while others laughed around you, likewise make others cry when you are dead.
Francis Gay|When I came out into the outside room again, I saw her shoe still lying there, where it had come off in the course of our brief wrestle. It looked so pathetic there by itself without an owner, it looked so lonely, it looked so empty. Something made me pick it up arid take it in to her. Like when someone's going away, you help them on with their coat, or their jackboots, or whatever it is they need for going away.I didn't try to put it back on her, I just set it down there beside her close at hand. You're going to need this, I said to her in my mind. You're starting on a long walk. You're going to keep walking from now on, looking for your home.I stopped and wondered for a minute if that was what happened to all of us when we crossed over. Just keep walking, keep on walking, with no ahead and no in-back-of; tramps, vagrants in eternity. With our last hope and horizon - death - already taken away.In the Middle Ages they had lurid colors, a bright red hell, an azure heaven shot with gold stars. They knew where they were, at least. They could tell the difference. We, in the Twentieth, we just have the long walk, the long walk through the wispy backward-stringing mists of eternity, from nowhere to nowhere, never getting there, until you're so tired you almost wish you were alive again. ("Life Is Weird Sometimes" - first chapter of unpublished novel THE LOSER)
Rachel Van Dyken, Toxic|Watching someone you love… die? There are no words for how broken that makes a person. It’s like waking up from a bad dream only to find out that it’s you reality, it’s like watching sunlight fade from the sky, like watching death suck the one you love dry, and being powerless to stop it. You may as well try to stop the waves from rolling in, or the sun from rising.In the end, the waves will roll, the sun will set, and death will come. The only thing you have a choice in? How you deal with it…when it does.
Steven Pinker, The Better Angels of Our Nature: Why Violence Has Declined|Ah, my dear friend Hassim, seems our paths cross once again, how fortunate for this humble Sheik.” As Abdullah spoke in his usual self deprecating manner I realized that a favor was on the tip of his tongue and that I was about to be offered a quid-pro-quo.We were sitting crossed legged on large fat pillows with gold fringe. The tent was large with partitions dividing living, sleeping and cooking space. It was made from heavy cotton canvas erected on thick poles in the center giving the structure a peaked circus tent appearance. The women serving us were young, wearing harem pants low on their hips with cropped gauze tops made from sheer silk. Their exposed midriffs were flat and toned, their belly buttons were decorated in precious stones that glittered in the torch light as they moved. They were bare footed with stacks of gold ankle bracelets making the only sound we heard as they kept our glasses filled with fresh sweet tea and our communal serving trays piled high with dates and sugar incrusted sweets of undetermined origin.Abdullah took no notice of these women, his nonchalance intrigued me as I was obviously having trouble keeping my mind focused on the discussion at hand, this was all part of the Arab way, when it came to negotiation they had no peers.“So my dear friend, tell me, the region is on fire is there a solution?”I spoke in a deliberate and flat tone, little emotion just concern, one friend to another.“We were shocked by the American response in Egypt and Libya, never had we seen them move so fast with such efficiency. The fall of Gadaffi was unexpected and Mubarak’s fate stunned us; he had been a staunch supporter of the US in this region we fully expected the Obama administration to prop him up one more time, as they had done so many times in the past.”I looked carefully at Abdullah,
Margaret Atwood, Oryx and Crake|When any civilization is dust and ashes," he said, "art is all that's left over. Images, words, music. Imaginative structures. Meaning—human meaning, that is—is defined by them. You have to admit that.
J.C. Nelson, Armageddon Rules|I shook my head. “I thought you had a ‘No princesses’ rule.”“Rules are made to be broken,” said Grimm.Ari sat back in the chair, her eyes closed.“Of course, young lady, there’s the matter of how we sign our contracts.”“Not gonna happen.” Ari threw a pen at the mirror for emphasis.
Desmond Oshifeso|Rise flexibly, courageously and perseveringly upon the challenges and trials in our life. Beneath the depth of fresh wounds, heavy cross and years of scars, is our wise silent mind, a beating faithful heart with understanding and patience matched with a humble soul who walks with hope towards charity, kindness, peace and harmony.
Kobayashi Issa|O snailClimb Mount FujiBut slowly, slowly!
Phil Ochs|Moral values, and a culture and a religion, maintaining these values are far better than laws and regulations.
Victor Hugo, Les Misérables|Those who are ignorant should be taught all you can teach them; society is to blame for not providing free public education; and society will answer for the obscurity it produces. If the soul is left in darkness, sin will be committed. The guilty party is not he who has sinned but he who created the darkness in the first place.
Philip G. Zimbardo, The Lucifer Effect|...an animal, at the end of a few months, is what it will be all its life; and its species, at the end of a thousand years, is what it was in the first of those thousand years. Why is man alone subject to becoming an imbecile?
Oscar Wilde, An Ideal Husband|Oscar Wilde: "I wish I had said that." Whistler: "You will, Oscar; you will.
Cintra Wilson|When you have lived your life under such dominant image-leadership, its pressures put a certain invisible English on the cue ball of your development: It influences all of your ideas about who you should be, all the ways in which you become yourself.
Stacy Charter|If you Never Give Up, You can Beat The Best !! And in the end you become The Best.
Roald Dahl|I have a passion for teaching kids to become readers, to become comfortable with a book, not daunted. Books shouldn't be daunting, they should be funny, exciting and wonderful; and learning to be a reader gives a terrific advantage.
Felix Wantang, God's Blueprint of the Holy Bible|If you have any questions for Jesus Christ it is only because you were not paying attention when he said "It is finished; I died for you on the cross." John 19:30.
Maria Semple|Fast, Cheap, Good: Pick Two.
Henry Fielding, The History of Tom Jones, a Foundling|Well, I can throw a mean comeback, so there's that. I will crush them on wit.
Brandi L. Bates|Never accept yourself as a finished product. Be a finished product when you die. As long as you have breath in your lungs, expand yourself.
James Madison|As with the Christian religion, the worst advertisement for Socialism is its adherents.
Stephen King, Wolves of the Calla|Your man Jesus seems to me a bit of a son of a bitch when it comes to women,´Roland said. ´Was He ever married?´The corners of Callahan's mouth quirked. ´No´ he said, ´but His girlfriend was a whore.´´Well,´ Roland said, ´that's a start.´
Deirdre Riordan Hall, In the Desert|Everybody says "" I Love You "" Is the bestsentence in whole world.. . .But....I believe that ....""I Love you too"" is the Best. . .Because Many Gets To hear the first one Butonly few gets to hear the second one.Awesome Words By A LOVER ... !!! "My One Hand Is Enough ToFight Against The WorldIf You Hold The Other OneWhen A Couple Fights TooMuchButNever Ended Up With BreakingUp,Then They Are Really InLove..!!
Debasish Mridha|Happiness is not found in success, but it is found in the essence and byproduct of success.
