John Irving, A Prayer for Owen Meany|Great words, arranged with cunning and artistry, could change the perceived world for some readers
Elizabeth Wurtzel, Prozac Nation|I don't want any more of this try, try again stuff. I just want out. I’ve had it. I am so tired. I am twenty and I am already exhausted.
Paul La Farge, The Night Ocean|As a Freudian, I'm not supposed to use words like evil; my business is with instinct, memory, and desire. Nevertheless, I've been wondering, lately, whether evil might exist. If it does, I've been thinking, it might be like what Freud called the navel of the dream, the place where all the lines of meaning the analyst has so carefully traced through the patient's life vanish into the unknown. But where the navel of the dream is essentially harmless phenomenon, a point where the dream's meaning is sufficiently understood, and further interpretation would be pointless, evil is a mystery with power. It reaches up into the world and makes everything mysterious.
Henry Van Dyke|You know it's love when all you want is that person to be happy, even if you're not part of their happiness.
Audrey Hepburn|So how on earth can I bring a child into the world, knowing that such sorrow lies ahead, that it is such a large part of what it means to be human?I'm not sure. That's my answer: I'm not sure.
Peter Duncan|What's fame, after all? It can be what someone writes on your tombstone.
Niecy Nash|Growing up, I had the weird fantasy list: I wanted to be Alice Cooper, Steven Spielberg, and Stan Lee. You have to have almost psychotic drive, because you're going to have years of failure.
Stafford Beer|IF YOU WANT TO CREATE A CHANGE, you must challenge not only the models of Unreality, but the paradigms that underwrite them.
Amanda Mosher, Better to be able to love than to be loveable|Part of me wanted to give him a piece of my mind. He didn't get it as a whole, so I will keep my peace.
Hope Jahren, Lab Girl|Seemingly innocuous language like 'Oh, I'm flexible' or 'What do you want to do tonight?' has a dark computational underbelly that should make you think twice. It has the veneer of kindness about it, but it does two deeply alarming things. First, it passes the cognitive buck: 'Here's a problem, you handle it.' Second, by not stating your preferences, it invites the others to simulate or imagine them. And as we have seen, the simulation of the minds of others is one of the biggest computational challenges a mind (or machine) can ever face.
William Finn, The Marvin Songs : Three One-Act Musicals|TRINA:I'm tired of all the happy men who rule the world.Their smile, their smile's their pedigree. They smile, but not for me.I'd like the chance to hideIn their world.I'm happy, but I'm not at ease with that whole world.
David Brier, The Lucky Brand|Your brand exists to differentiate. “Same crap, different day” won’t do it. A day that goes by without breaking some sacred branding rule is a day a brand has lost to rise above the status quo. By breaking those rules with insight, intelligent and innovation, your brand can get heard in a world that’s simply too busy to listen.
Lailah Gifty Akita, Think Great: Be Great!|Make a conscious effort to think, speak and act in affirmative manner.
Winston S. Churchill|An old battleax of a woman said to Winston Churchill, "If you were my husband I would put poison in your tea." Churchill's response, "Ma'am if you were my wife I would drink it.
Orhan Pamuk, My Name is Red|Tell me then, does love make one a fool or do only fools fall in love?
Steven Merle Scott, Celebrate the Sinner|To his inner ear, the cardinal speaks. He says, I saw you, Crumb, when you were at Elvetham: scratching your balls in the dawn and wondering at the violence of the king’s whims. If he wants a new wife, fix him one. I didn’t, and I am dead.
Michael Crichton|Books aren't written - they're rewritten. Including your own. It is one of the hardest things to accept, especially after the seventh rewrite hasn't quite done it.
Deborah Brodie|Paths that lead to the crossroads of life; otherwise known as "transition."Transition is the tension present between struggle and grace.
Lisa Schroeder, Far from You|I am starting to think that maybe memories are like this dessert. I eat it, and it becomes a part of me, whether I remember it later or not.
Isabel Allende|In the end, the love you take is equal to the love you make.
Scott Stabile|Sometimes my mind goes dark, and every single part of my life goes dark with it. Any happiness I thought I knew gets replaced by a sadness so big it must be for the whole world. I convince myself that I have nothing to offer, and that nobody has anything to offer me, either. I commit to hopelessness. In these dark moments I remind myself, ( because I’d be too lost without the reminder) that what I'm feeling isn't the full truth of the world, not by miles, and that though I can't see it, nothing is as dire as the nightmare my mind conjures, and that i, and the world, will be okay. In time, with hope. Slowly I come out of the darkness again. I reject my mind's devotion to misery and fear, and reroute myself on a path of acceptance and love. I focus on the beauty in our world, and in myself, and I remember that we are family, all of us, and we each matter. We each shine. Certainly.
L.M. Montgomery, Anne's House of Dreams|But pearls are for tears, the old legend says," Gilbert had objected."I'm not afraid of that. And tears can be happy as well as sad. My very happiest moments have been when I had tears in my eyes—when Marilla told me I might stay at Green Gables—when Matthew gave me the first pretty dress I ever had—when I heard that you were going to recover from the fever. So give me pearls for our troth ring, Gilbert, and I'll willingly accept the sorrow of life with its joy." -Anne
Charbel Tadros|When you allow the spirit to speak through you and empower it with love, you will discover things you didn't know you knew.
Linda Westphal|Even if you are not aware of it, there are moments when you are receiving hints, a nudge, or support from the other side.
Marjane Satrapi|From a pretty early age, my mother realized that I was a little bit more gifted and talented than my own age group. So, she moved me over to play with the boys' travel soccer team when I was about 11 years old.
Alain de Botton|It is precisely when we hear little from our partner which frightens, shocks, or sickens us that we should begin to be concerned, for this may be the surest sign that we are being gently lied to or shielded from the other’s imagination, whether out of kindness or from a touching fear of losing our love. It may mean that we have, despite ourselves, shut our ears to information that fails to conform to our hopes — hopes which will thereby be endangered all the more. My view of human nature is that all of us are just holding it together in various ways — and that’s okay, and we just need to go easy with one another, knowing that we’re all these incredibly fragile beings.
Hippocrates|Everybody who's a physician, who makes vaccines, who wants to find the cure for cancer. Everybody who wants to do any medical good for humankind got the passion for that before he or she was 10.
Ronald D. Moore|It is not for nothing that you are named Ransom,” said the Voice...The whole distinction between things accidental and things designed, like the distinction between fact and myth, was purely terrestrial. The pattern is so large that within the little frame of earthly experience there appear pieces of it between which we can see no connection, and other pieces between which we can. Hence we rightly, for our sue, distinguish the accidental from the essential. But step outside that frame and the distinction drops down into the void, fluttering useless wings. He had been forced out of the frame, caught up into the larger pattern… “My name also is Ransom,” said the Voice.
Wade Davis, The Wayfinders: Why Ancient Wisdom Matters in the Modern World|Cultural survival is not about preservation, sequestering indigenous peoples in enclaves like some sort of zoological specimens. Change itself does note destroy a culture. All societies are constantly evolving. Indeed a culture survives when it has enough confidence in its past and enough say in its future to maintain its spirit and essence through all the changes it will inevitably undergo. 
Matthew Heines|Me and Vinny are dead careful, and we only had sex once without a condom, our first time, and it's a scientific fact that virgins can't get pregnant. Stella told me.
Justin Cronin, The City of Mirrors|The complex order we now observe [in the universe] could *not* have been the result of any initial design built into the universe at the so-called creation. The universe preserves no record of what went on before the big bang. The Creator, if he existed, left no imprint. Thus he might as well have been nonexistent.
B.L. Brooklyn|Let's be real. Like I would date someone who didn't go out of their way to be my nemesis." - Shane Carver (The Carver's Magic)
Agona Apell, The Success Genome Unravelled: Turning Men from Rot to Rock|There are three houses that the ultimate adult must leave: their parents' house, their employer's house, and their teacher's house. So they must someday found their own home, their own business, and their own school of thought so that they can live under their own roof at home, at work, and in thought.
Matshona Dhliwayo|If the sky was the limit, none of our heroes would have reached the moon.
Shirley Corder, Strength Renewed: Meditations for Your Journey through Breast Cancer|If we praise God when things are tough, we show our trust in Him.
Herodotus|In peace, children inter their parents; war violates the order of nature and causes parents to inter their children.
David M. Allen|Invalidating someone else is not merely disagreeing with something that the other person said. It is a process in which individuals communicate to another that the opinions and emotions of the target are invalid, irrational, selfish, uncaring, stupid, most likely insane, and wrong, wrong, wrong. Invalidators let it be known directly or indirectly that their targets views and feelings do not count for anything to anybody at any time or in any way.
Kathy Hepinstall, Blue Asylum|Father Sams, a mirthful shaman, looked at a nighted photograph of actress Lar Park Lincoln beneath his glass of bourbon con hielo.
Evangeline Paterson|Knowing nature is part of knowing God. Faith directs us to the invisible God, but leads us back from God to the entire visible world.
Tamara Stamenkovic|Life without flying unconditionally,life with hindered and heartless ending.
Maya Angelou|If we intend to provide a better life, and a better world, for future generations, we can't ignore the quality of the environment we leave them.
Ian Rankin, Knots and Crosses|...trapped in limbo, believing in a lack of belief, but not necessarily lacking the belief to believe.
Emmanuelle Beart|Coral reefs represent some of the world's most spectacular beauty spots, but they are also the foundation of marine life: without them many of the sea's most exquisite species will not survive.
Alena Graedon, The Word Exchange|I found that reading gave me a certain relief – one form of escapism that seemed safe, and maybe more than safe. I felt saner – less fragmented- after reading for an hour.location 3234
Kentetsu Takamori, You Were Born for a Reason: The Real Purpose of Life|Amida's unimpeded light is the sun of wisdom that destroys the mind of darkness.(Preface in Teaching, Practice, Faith, Enlightenment)
Molly Ivins|I am absolutely certain that life can exist in outer space, move around, find a new aqueous environment.
Ted Rubin|Look at your own behaviors and ask yourself, “Would I want to be my friend???
John Berwick Harwood, Reign of Terror Volume 2: Great Victorian Horror Stories|One day you see a man walking down the road, the next day you come to his yard and find him dead... Why is it that he cannot do what the living do? It is because the thing that gave power to these parts is no longer there. That is the duppy, and that is the most powerful part of any man. Everybody has evil in them, and when a man is alive... he will not abandon himself to many evil things. But when the duppy leaves the body, it no longer has anything to restrain it and it will do more terrible things than any man ever dreamed of.- From 'Tell My Horse: Voodoo and Life in Haiti and Jamaica', Zora Neale Hurston, 1938
Martina Cole, Close|‎"If the person you were fighting had any kind of wound,worry it and keep at it And the pain would be much more intense.It was the psychological angle and all.Once a cut was there,it was human nature to try to protect it from more harm.
Eudora Welty, On Writing|What discoveries I made in the course of writing stories all begin with the particular, never the general. They are mostly hindsight: arrows that I now find I myself have left behind me, which have shown me some right, or wrong, way I have come. What one story may have pointed out to me is of no avail in the writing of another. But 'avail' is not what I want; freedom ahead is what each story promises - beginning anew. And all the while, as further hindsight has told me, certain patterns in my work repeat themselves without my realizing. There would be no way of knowing this, for during the writing of any single story, there is no other existing. Each writer must find out for himself, I imagine, on what basis he lives with his own stories.
Tamara L. Chilver|How do I find joy in my homeschool journey?The answer is quite simple. I accept lots of God's grace. Grace to make mistakes. Grace to take a nap when I am exhausted. Grace to not feel guilty. Without His abundant provision of grace, I would be depleted, discouraged, and dissatisfied. Instead, I place all my trust in His direction and I embrace my calling as a homeschool mom. His grace has set me free from worry, fear, doubt, and guilt and I am overflowing with joy. Praise God!
Charles Clover, The End of the Line: How Overfishing Is Changing the World and What We Eat|always serve too much hot fudge sause on the hot fudge sundaes.It makes people overjoyed,and puts them in your debt
Nelson Mandela|Courage is not the absence of fear, but the triumph over it.
Gelasian Sacramentary A.D. 492|Shane was sitting on the curb next to the old, cracked gas pumps, eating a candy bar. Claire plopped down next to him. “Half?” she asked.“And now I know you’re my girlfriend, since you’re not afraid to demand community property,” he said, and pulled off the uneaten half to hand it over.
Gerry Adams|At that time, the army leadership said the implementation of this agreement would allow everyone, including the IRA, to take its political objectives forward by peaceful and democratic means.
J.J. Snow, Gunship|Piece of cake really – Enforcers, crazy psychopath dude with giant laser rail guns, throw in a few bounty hunters, a couple torture experts – sounds great, I really can’t wait can you?” Duv Jackson, Gunship
Debasish Mridha|If you hurt, expect to feel the pain.
Hugh Prather|Today I acknowledge that I am not in position to judge what mistakes anyone is making or what lessons anyone needs to learn. I don’t know how far someone has come or when that person will have a breakthrough, I simply don’t know what other people should be doing. But when I think I do know, I clearly am not doing what I should be doing, which is taking responsibility for my own life.
Heather     James, Fire|The power of reason is thought small in these days, but I remain an unrepentant rationalist. Reason may be a small force, but it is constant, and works always in one direction, while the forces of unreason destroy one another in futile strife. Therefore every orgy of unreason in the end strengthens the friends of reason, and shows afresh that they are the only true friends of humanity.
Mary Rose O'Reilley, The Barn at the End of the World: The Apprenticeship of a Quaker, Buddhist Shepherd|I would not say I am looking for God. Or, I am not looking for God precisely. I am not seeking the God I learned about as a Catholic child, as an 18-year-old novice in a religious community, as an agnostic graduate student, as - but who cares about my disguises? Or God's.
Hank Aaron|I had pro offers from the Detroit Lions and Green Bay Packers, who were pretty hard up for linemen in those days. If I had gone into professional football the name Jerry Ford might have been a household word today.
Jodi Picoult|and he suddenly knew that if she killed herself, he would die. Maybe not immediately, maybe not with the same blinding rush of pain, but it would happen. You couldn't live for very long without a heart.
Susan Barbara Apollon, An Inside Job: A Psychologist Shares Healing Wisdom for Your Cancer Journey|Because you are an energetic being and your thoughts and feelings are energy, your journey may be compared to an intricately woven fabric. As the weaver of the fabric of your life, you alone decide whether your life will be beautifully intertwined with threads of gold and silver and blended with the colors of the rainbow, or made with strands of straw and cotton in shades of grays, browns, and other dark, heavy colors.
Jerry Spinelli|Tell me I didn't imagine it, Leo. Tell me that even though our bodies were in seperate states, our star selves shared an enchanted place. Tell me that right around noon today (eastern time) you had the strangest sensation: a tiny chill on your shoulder...a flutter in the heart...a shadow of strawberry-banana crossing your tongue...tell me you whispered my name.
Kate  Madison, Spilled Perfume: A Memoir|Lesson learned: If a guy tells you you’re his second choice, don’t make him your first.
Yvonne Pierre, The Day My Soul Cried:  A Memoir|I Have a Dream... someday my son, Zyon and ALL individuals with disabilities will be seen as HUMAN beings. I Have a Dream... someday the human & civil rights of individuals with disabilities are honored and they are treated as equals. I Have a Dream... someday ALL parents who have children with disabilities see their child as a blessing and not a burden. I Have a Dream... someday there will be more jobs and opportunities for individuals with disabilities. I Have a Dream... someday there will be UNITY "within" the disabled community.I HAVE A DREAM!!!
Viraj J. Mahajan, Derivation of Life|There is one invisible bridge for every one of us and death is the first step of it. On this side, there is life where there are questions and fear but on that other side of that bridge, there is a whole new world full of answers and peace.
Ane Krstevska|Be yourself, it doesn‘t matter who is looking,Fall in love like you’ve never been hurt,Sing like you are alone even when you are not,And be free like it's paradise on earth.
Tim Gunn, Gunn's Golden Rules: Life's Little Lessons for Making It Work|Sometimes she wore Levi's with white-suede fringe sewn down the legs and a feathered Indian headdress, sometimes old fifties' taffeta dresses covered with poetry written in glitter, or dresses made of kids' sheets printed with pink piglets or Disney characters.
Roland Martin|The goal, I think, of American education, for decades, and across many, many scholars, was basically to teach people broad lessons in how to live life, how to engage life, how to essentially be effective citizens and effective people.
Raymond D. Longoria Jr.|She wasn't the perfect mom. However, she was the perfect Mother for me.
Stacey Kade, The Ghost and the Goth|A balanced dieT to make you die with a tea, consists of holding two bags of cookies on each hand and a voracious hunger to consume.
Lauren Oliver, Requiem|As I spoke of another's love and looked into the wide, blue windows of her soul, a rich, insistent yearning flooded my senses.--"Tango
Marguerite Kaye, Strangers at the Altar|I supposed you've already kissed him? Don't deny it, that guilty look is a complete giveaway. Did you like it?"	"Felicity!"	"Well?"	"Yes." Ainsley laughed. "Yes, I did."	"Was it a good kiss? The kind of kiss to give you confidence that your Mr. Drummond would know what he was doing? The kind of kiss that made you want him to do more than kiss you?
Israelmore Ayivor, The Great Hand Book of Quotes|There are two types of patience. One is exercised in hard work and the other in idleness. Patience with hard work is the one that moves mountains. Patience in idleness moves nothing, not even cobwebs.
Cassandra Clare, City of Heavenly Fire|Jace broke off the kiss and stepped back with an exhale; before Clary could say anything, a chorus of sarcastic applause broke out from the nearby hill. Simon, Isabelle, and Alec waved at them. Jace bowed while Clary stepped back slightly sheepishly, hooking her thumbs into the belt of her jeansJace sighed. "Shall we join our annoying, voyeuristic friends?""Unfortunately, that's the only kind of friends we have.
Aldo Leopold, A Sand County Almanac and Sketches Here and There|Our ability to perceive quality in nature begins, as in art, with the pretty. It expands through successive stages of the beautiful to values as yet uncaptured by language.
Rachel Hawkins, Spell Bound|You know, I can see more than just the future or the past.""Really?" I asked, paging through through the papers in the file. "Can you also see the present? Because I can do that, too. Like, right now, I sense that I'm in a messy room with a total toolbox.
Leah Cypess|Because this, as it turned out, was her destiny. Not to be the powerful sorceress her people had been waiting for , not to to be the ruthless killer the assassins needed. Her destiny was to save one person at a time, change things one tiny step after another.It still hurt, a tinge of loss. Her life wouldn't be grand, or dramatic, or momentous. There would be no great choices to make, no moments when everything would change. It would make a dull story if she was ever called upon to tell it.It hurt, yes. But it was also something of a relief.
Wayne Gerard Trotman|People who repeatedly attack your confidence and self-esteem are quite aware of your potential, even if you are not.
