Michael Bassey Johnson|Music replays the past memories, awaken our forgotten worlds and make our minds travel.
Laura Bates, Everyday Sexism|How can I believe the people that say women have equal rights? When the worst insult a man can be called is a woman, girly, a twat, a cunt, that he needs to 'man up' and the list goes on. My gender is not an insult. I'm tired of all this shit.
Stephen R. Covey|Through real-life stories, Kristin Kaufman illustrates the core idea of being present in the moment and opening oneself up to new ideas in order to become an authentic leader in life.
Nathaniel Hawthorne, The House of the Seven Gables|Angels do not toil, but let their good works grow out of them.
Abhijit Naskar|The argument against faith is all based upon the rigorous analysis of the scriptures, and not upon the objective observation of the actual individual sensation of faith. Historical experiences of the Kingdom of God gave rise to all the scriptures in the world, but the scriptures themselves don’t account for the actual globally prevalent psychological element of faith or divinity in the human mind. Faith is a natural evolutionary trait of the human mind, selected by Mother Nature as an internal coping-mechanism.
Terry Pratchett, Lords and Ladies|She disappeared; her voice, her laughter, and the warmth of her breath never seen by no one again.
Jeanette LeBlanc|I put my fingers under Emily's chin, tilting her head up. "I love you."Emily's dark eyes widen and if this moment wasn't so dire, I'd laugh at her expression. swipe a finger across her smooth cheek. "I've never said that to anyone and I don't plan on it being the last time, either. I love you, Emily, and I'm telling you we'll work ths out.
Chris DeWolfe|My love for cooking began when I was young. Because my parents were in the army, they were both really busy. A lot of times I'd have to cook for the family; I'd rotate with my siblings. It started out as a chore, but as I got older, my mom started to see that I was really good at it. I became her sous chef.
Lindsey Leavitt, The Royal Treatment|We stood in the wings together, side by side. Reed's mouth was still agape."It makes sense when you think about it," I mused. "You get two people together who have you-know-what, and sparks are going to fly." Reed's cue was about to start. He pointed at me and said, "Tonight. There's a party. And we're going to talk." "Yes""Because this is crazy." "Totally." "Okay. Well." He tugged a strand of my hair. "Good luck out there.""You're not supposed to say that.""Fine. How about..." He squinted at me. "Here's looking at you kid." The smile melted off my face. "What did you say?" "It's a line. From a movie." He shrugged and burst onto the stage with a hee-haw. It was a line. From Casablanca. The same line KARL had said to me when I was Elsa. The same like Karl didn't recognize when I said it to him as Floressa. Which meant... nothing. Right? Lots of people know that line. Just because Reed said it, and Reed was a sub, it didn't mean he was... he was... "You're on," the stage manager whispered. I stumbled onto the stage. The lights were too bright. The theater was packed. Reed gave me a quick, crooked smile, and I knew. My crush on Karl was less complicated than I thought, because it wasn't Karl I'd been with that day in the garden. Now my crush on Reed... ?THAT was a scandal all on its own.
Friedrich Nietzsche, Thus Spoke Zarathustra|Sleep knocks on my eyes: they grow heavy. Sleep touches my mouth: it stays open.Truly, he comes to me on soft soles, the dearest of thieves, and steals my thoughts from me
Kristen Proby, Breathe with Me|We're not friends, Mark," I reply sadly. "We're strangers with memories.
Fyodor Dostoyevsky|We are therefore constantly on the road, straying from one mental image to the next, and identify with these images, and derive our identity from the images.
Steve Maraboli, Unapologetically You: Reflections on Life and the Human Experience|Get out of your own way… stop the paralysis by analysis… decide what you want, create a simple plan, and get moving!
Jonathan Malley|Greatness is in influence, and not necessarily in affluence. It is not achieved by being a 'paper millionaire', but by being a 'people millionaire'.
|Living a stress free life doesn't come from perfect experiences because there is no such thing as a perfect life; rather, it's a reward of frequent positive interpretations of one's ordeals.
"Beta" Metani' Marashi|Don't expect others to respect you, if you can't respect your self.
George Bancroft|It appears first, that liberty is a natural, and government an adventitious right, because all men were originally free.
Kurt Vonnegut Jr.|Laughter and tears are both responses to frustration and exhaustion. I myself prefer to laugh, since there is less cleaning do to do afterward.
Stephen Richards|How often do you find yourself saying, “In a minute”, “I’ll get to it” or “Tomorrow’s good enough” and every other possible excuse in the book? Compare it with how often you decide it’s got to be done, so let’s get on and do it! That should tell you just how serious your procrastinating problem really is.
Barbara Valentin, False Start|I remember watching him perform these endless, boring violin solos, with his long hair flowing behind him like an Afghan hound in a gale, and thinking, 'what a tosser.
Prashant Chopra, The Eyes that drowned Uyuni|Honesty is not a virtue, it is a luxury. Most, who struggle to put bread on the table, face this question every day. And hunger wins this game almost every time, beta (son).
Jon Ronson, The Psychopath Test: A Journey Through the Madness Industry|I was in the kitchen drinking coffee when I heard Coretta cry, "Martin, Martin, come quickly!" I put down my cup and ran toward the living room. As I approached the front window Coretta pointed joyfully to a slowly moving bus: "Darling, it's empty!
John Green, Will Grayson, Will Grayson|True love will triumph in the end—which may or may not be a lie, but if it is a lie, it's the most beautiful lie we have.
M. Kane, Queen of Thieves|There’s got to be some scientific study somewhere that proves your boyfriend’s sweater will keep you warmer and cure you of any illnesses a lot faster, than some Pottery Barn blanket.
Tracy Chapman|As the technology is developed, autonomous driving could provide driving opportunities for the physically challenged or enable the elderly to continue driving longer. This will be vital as many nations experience an aging population.
Jerry Scott|I remember thinking how easy it is to speak in clichés, to steal a line from pulp fiction and let it fall. We can only hover around the inexpressible with our words anyway, and there is comfort in saying what we have heard before.
