Abhijit Naskar, Wise Mating: A Treatise on Monogamy|Sex is only a tool in love, not love itself.
Graham Swift, Mothering Sunday|And books, she knew by then, were one of the necessities, the rocks of her life.
Kamand Kojouri|I was mistaken when I said you live in my heart. How absurd I was when you live in my fingertips so that everything I touch is you. How foolish I was when you live in my toes so that everywhere I go there's you. How senseless of me to say you live in my heart when you breathe in my lungs, walk on my mind, and drink in my mouth. I came to pen another poem for you, but even every unwritten poem is you.
William  Perry, The End of an Era: Life in Old Eaglehawk and Bendigo|Mr Arblaster first built his factory in 1884. It burnt down the following year. It was rebuilt in 1886 and was destroyed by an explosion during 1887 when eight lives were lost. The factory was once more rebuilt but blew up in 1888 when a lad was killed. It was built again, but on 11 December 1890 was once more wrecked by an explosion.
Frances Hodgson Burnett, The Secret Garden|One of the new things people began to find out in the last century was that thoughts--just mere thoughts--are as powerful as electric batteries--as good for one as sunlight is, or as bad for one as poison. To let a sad thought or a bad one get into your mind is as dangerous as letting a scarlet fever germ get into your body. If you let it stay there after it has got in you may never get over it as long as you live.
Arthur Symons, Spiritual Adventures|On the phone, it's about as intimate as it can get. The person's right in your ear. You got to be careful on the phone. You can leave yourself wide open
Shannon L. Alder|Often what people don't say or leave out, tells the real story.
Benny Bellamacina, Philosophical Uplifting Quotes and Poems|In the big scheme of things, it’s the little things that matter
Doris Lessing|Rigid, the skeleton of habit alone upholds the human frame.
J.M. Darhower, Sempre: Redemption|To succeed in your mission, you must have single-minded devotion to your goal
Mike  Norton|Mastering the art of seduction gives one a great power, and like any power, it's to be wielded with responsibility; a man who wields the art of seduction without a sense of responsibility and restraint is a walking proximity bomb of viral epidemics, needless procreation, heartbroken families, and shattered dreams.
C.E. Murphy, Hands of Flame|All thinking things fear. Sentience, perhaps, is facing that fear and conquering it rather than succumbing. A tiger will drown in a tar pit, but a man who can clear his thoughts may survive.
Monica Hesse, Girl in the Blue Coat|Tow best friends meeting on the street to say so many things at once: I betrayed you, I love you, I want to save you, I'm sorry. All around Europe, people are dying by the hundreds of thousands. And here, in my city, the Nazis slaughtered a family because of events that started with love and jealousy and a slip of the tongue.
Walt Whitman|O the joy of my spirit--it is uncaged--it darts like lightning!It is not enough to have this globe or a certain time,I will have thousands of globes and all time.
|The more I inspire others to search and discover their true positive purpose on earth, the more meaningful my state of existence becomes.
Katie Douglas|Each drop hits the pavement;A soft, incoherent shatter below.Here I stand in torturous observanceOf this strange disappearing act.
David Mitchell, Ghostwritten|Go on, my dear," urges the snake. "Take one. Hear it? 'Pluck me,' it's saying. That big, shiny red one. 'Pluck me, pluck me now and pluck me hard.' You know you wan
Meriwether Lewis|I am not a coward, but I am so strong. So hard to die.
Kenneth A. Bruffee, Collaborative Learning: Higher Education, Interdependence, and the Authority of Knowledge|Knowledge is a social construct, a consensus among the members of a community of knowledgeable peers.
Rein Scott, Reborn|Now give me some advice about how to take full advantage of this city. I’m always looking to improve my odds.”“Just what I’d expect from a horny actuary.”“I’m serious.”Carlos reflected for a moment on the problem at hand. He actually had never needed or tried to take full advantage of the city in order to meet women, but he thought about all of his friends who regularly did. His face lit up as he thought of some helpful advice: “Get into the arts.”“The arts?”“Yeah.”“But I’m not artistic.”“It doesn’t matter. Many women are into the arts. Theater. Painting. Dance. They love that stuff.”“You want me to get into dance? Earthquakes have better rhythm than me…And can you really picture me in those tights?”“Take an art history class. Learn photography. Get involved in a play or an independent film production. Get artsy, Sammy. I’m telling you, the senoritas dig that stuff.”“Really?”“Yeah. You need to sign up for a bunch of artistic activities. But you can’t let on that it’s all just a pretext to meet women. You have to take a real interest in the subject or they’ll quickly sniff out your game.”“I don’t know…It’s all so foreign to me…I don’t know the first thing about being artistic.”“Heeb, this is the time to expand your horizons. And you’re in the perfect city to do it. New York is all about reinventing yourself. Get out of your comfort zones. Become more of a Renaissance man. That’s much more interesting to women.
Sarah Palin|Common sense tells us that the government's attempts to solve large problems more often create new ones. Common sense also tells us that a top-down, one-size-fits-all plan will not improve the workings of a nationwide health-care system that accounts for one-sixth of our economy.
Nigel Hamilton|Just before my 16th birthday, Natalie Dormer said to me, 'As soon as you turn 16, you're going to work adult hours. People will try take advantage of you, so it's important not to be a pushover.'
Elle Lothlorien, Alice in Wonderland|Suddenly, the giant, three-headed dog that guards the entrance to the Underworld appears next to her—sans two of its heads—and sits down. As a child, we had a neighbor with a Great Dane, and I know they’re about three feet tall at the shoulder. Allow another twelve inches for their T-Rex-sized heads, and you’ve got a dog that this woman could throw a saddle on and ride like a pony.
