Akash B Chandran|Use time and space; grow slowly into your dreams, infinity will fill you with peace.
Tia Mowry|Eating well is really important to me. That means having balanced meals, never missing a meal, never skipping a meal, having a balanced diet, and never doing anything extreme.
William S. Burroughs, Naked Lunch|What's with the serum?"I don't know, but it sounds ominous. We better put a telepathic direction finder on Benway. The man's not to be trusted. Might do almost anything...Turn a massacre into a sex orgy..."Or a joke."Precisely. Arty type...No principles...
Manuel Toharia-Cortés, Galloping with Light - Einstein, Relativity, and Folklore|Comprehending and knowing better and deeper are the best guarantees we can have to attain ideas and criteria of our own; i.e. to stop depending on what other people say. In summary, to be freer to choose our own path in life.
Craig D. Lounsbrough|There are often two sets of goals in life: those that we establish, and those that really matter.
Michelle Hollis|Believe in yourself, you can do whatever you want.
Kliph Nesteroff, The Comedians: Drunks, Thieves, Scoundrels, and the History of American Comedy|I was walking home alone from school and I was wearing a dress. A dude drove by and yelled, "Nice tits." Embarrassed and enraged, I screamed after him, "Suck my dick.
Steven Redhead, Life Is Simply A Game|We are giving you a new service in Dubai, we call it Wonder Bus. In this bus, everyone can get preview of this nice sea & land adventure in Dubai.
Alex Berenson|Some officials overseeing local water systems have tried to go above and beyond what is legally required. But they have encountered resistance, sometimes from the very residents they are trying to protect, who say that if their water is legal, it must be safe.
Roy L. Pickering Jr., Matters of Convenience|Nothing felt better to him than the act of waiting for her. As long as he believed it wasn’t in vain, he was able to justify his presence.
Sirio Berati|The source of desire to be driven by power and spread of influence makes its owner dangerous to its privileges, as it not only transforms the people who are beholden to its master, but as well creates fearful dictators and oligarchs.
Marcel H. Van Herpen, Putin's Wars: The Rise of Russia's New Imperialism|On September 11, 2008, during a meeting of the Valdai Club with Vladimir Putin in Sochi, Carrère d’Encausse asked Putin if he would respond positively to Kokoity’s demand for integration of South Ossetia into the Russian Federation. She wrote: “Vladimir Putin answered with the greatest firmness that such a hypothesis was excluded. He explained that if Russia in this specific case was unable to ignore the will of the Ossetian people to be independent, it was firm regarding the principles of respecting the inviolability of existing frontiers. This principle, according to him, applied without exception to the Russian Federation which could not, therefore, welcome into its midst a nation or territory that so desired.”Putin’s double-talk (he is speaking about the “inviolability of existing frontiers” just after having changed the frontiers of Georgia by brutal force) brings her to the — naive — conclusion that “the blunt refusal that was opposed to the Ossetian demand for integration into Russia makes the Russian position clear: the August intervention in Georgia... could lead to a settlement of a conflict between Georgia and its separatist minorities, [but] in no case to a dossier that was of interest to Russia.” [237]
Thomas Steinbeck|I distinguish, between nationalism and patriotism.
Nenia Campbell, Tantalized|I am waltzing with death, flirting with him, but he stands there smiling and saying nothing because he does not need to woo or be wooed: he knows he gets us all in the end.
John Green|But alas, the world is not a wish-granting factory.
George Gissing|Money is time. With money I buy for cheerful use the hours which otherwise would not in any sense be mine; nay, which would make me their miserable bondsman.
Daniel Boulud|All those spices and herbs in your spice rack can do more than provide calorie-free, natural flavorings to enhance and make food delicious. They're also an incredible source of antioxidants and help rev up your metabolism and improve your health at the same time.
Debasish Mridha|Don’t assume your partner knows about everything you expect in a relationship. Let them know. A relationship should be based on communication, not on assumptions.
Julie James, Love Irresistibly|Shaking herself, Petunia looked around. Several of her sisters had been talking to her, but she hadn't heard them. "And that answers our questions about why he gave himself up," Poppy was saying, a smile turning up one corner of her mouth as she looked at Petunia. "Now if everyone could please avoid saying his name [Oliver], so that Petunia doesn't drift off again...?
Sue Fitzmaurice|The real you is not sad, angry, depressed, ashamed, hurt, bitter or lost. These things are not real. They feel real but they're not. As spiritual beings living a brief human existence, this is not who we are. We are beautiful, radiant, joyful and loving.
Kelly Barnhill, The Witch's Boy|I saw the truth, I saw and I know that people can be beautiful and happy without losing the ability to live on earth. I will not and cannot believe that evil is the normal condition of people.
Cressida Cowell, How to Break a Dragon's Heart|We think we owe everyone something. We think we need to explain ourselves and we think too much about thinking too much.And it is funny how we think we know it all, but the reality is this: everything we think that brings us together is everything that sets us further apart. And over thinking of how different we all are; is failing to recognize of how connected we all could really be.
Matthew J. Bellamy|You make me sick. Because I adore you so..."~Space Dementia
Allan Amanyire|oh, what a democracy MY PRIME MINISTER IS CORRUPT
Andrew Jackson|If we want to reduce poverty and misery, if we want to give to every deserving individual what is needed for a safe existence of an intelligent being, we want to provide more machinery, more power. Power is our mainstay, the primary source of our many-sided energies.
Donna Grant, The Hero|No panties for you. And no touching. I need to hear a yes, sir.
Joseph Campbell, The Hero With a Thousand Faces|Furthermore, we have not even to risk the adventure alone; for the heroes of all time have gone before us; the labyrinth is thoroughlyknown; we have only to follow the thread of the heropath. And where we had thought to find an abomination, we shall find a god; where we had thought to slay another, we shall slay ourselves; where we had thought to travel outward, weshall come to the center of our own existence; where we had thought to be alone, we shall be with all the world.
Daphne Kalotay, Russian Winter|When I asked if she read poetry anymore, she said no. she had lost her taste for it. That was how she said it, lost her taste. I asked how that could happen, and she said she agreed with Plato, or at least Plato as summarized for her: that there was something dishonest about it and that he was right to want to banish the poets. What she mean't, she told me, was that the only reality was life, real life, and that these beautiful versions were lies and she no longer had patience for it.
Thomas Sowell|When your world seems like falling apart, an inspiration is something you can always hold on to.
Diane Ackerman, One Hundred Names for Love: A Stroke, a Marriage, and the Language of Healing|I'd suffered many losses in recent years after my father mother uncle aunt and cousin had all passed away. In her final years my mother often lamented that there was no one alive who had known her as a girl and I was starting to understand how spooked she'd felt. I wasn't sure I could take any more abandonments. One succumbs so easily to mind spasms, worry spasms. [p. 95]
Nkem Paul|If leadership is the way forward, vision is its walking stick.
Whittaker Chambers|The difficulties we face originate from one of three sources. Some are sent to us by the Lord to test our faith, others are the result of Satan's attacks, and still others are due to our own sinful choices.
Oprah Winfrey, What I Know for Sure|Every action, thought and feeling is motivated by an intention, and that intention is a cause that exists as one with an effect. If we participate in the cause, it is not possible for us not to participate in the effect. In this most profound way, we are held responsible for our every action, thought, and feeling which is to say, for our every intention…it is therefore, wise for us to become aware of the many intentions that inform our experience, to sort out which intentions produce which effects, and to choose our intentions according to the effects that we desire to produce.
William Shakespeare, Shakespeare's Sonnets|Shall I compare thee to a summer's day? Thou art more lovely and more temperate: Rough winds do shake the darling buds of May, And summer's lease hath all too short a date: Sometimes too hot the eye of heaven shines, And too often is his gold complexion dimm'd: And every fair from fair sometimes declines, By chance or natures changing course untrimm'd; By thy eternal summer shall not fade, Nor lose possession of that fair thou owest; Nor shall Death brag thou wander'st in his shade, When in eternal lines to time thou growest: So long as men can breathe or eyes can see, So long lives this and this gives life to thee.
Kirstin Leigh|Not being "okay," is a gift. And inside that gift, is the strength to change and the courage to begin again.
Anna Godbersen, Bright Young Things|Losing someone is like when the sun comes through a window, moving across the room with each hour, until night falls and all you can do is try to remember the soothing shapes it made.
Eraldo Banovac|A farmer's work is more like that of a horse trainer than a mechanic, more like that of a healer than a computer repairperson. It is not really accurate to say that farmers grow food or raise animals. Farmers alter environmental conditions in such a way as to maximize a plant's or an animal's innate ability to do its own growing -- in the same way that the best horse trainers seek to draw out abilities already within their horses or in the way the best healers know when to stand back and let their patients' bodies do the work. There is mystery in farming.
Madeleine M. Kunin|Learning sleeps and snores in libraries, but wisdom is everywhere, wide awake, on tiptoe.
