Victoria Kahler, Luisa Across the Bay|Through the veil of Love, one finds the heaven on Earth
Chris Rock|I don't like being recognised, I have no interest in being famous at all, I just do what I do. If I could be like Captain Kirk and beam myself up and then beam myself down, I would!
Billy Graham, Billy Graham in Quotes|The mourning of inadequacy is a weeping that catches the attention of God . . .The happiest day of my life was when I realized that my own ability, my own goodness, my own morality was insufficient in the sight of God; and I publicly and openly acknowledged my need of Christ.
Jennifer E. Smith, You Are Here|Somehow he'd become the one constant in this whole uneven chapter in her life, & the idea that could change was unsettling.
"Therese of Lisieux|He does not call those who are worthy, but those whom He will.
Leopold "Leo" Bloom|To see the world, things dangerous to come to, to see behind walls, draw closer, to find each other, and to feel. That is the purpose of life.
Francis Spufford, Unapologetic: Why, despite everything, Christianity can still make surprising emotional sense|As an adult, getting paid thousands of dollars a week to say, “Aye, Sir. Course laid in” is a seriously sweet gig, but when I was a teenager, it sucked.
Timea Tokes|Right now, Youngster, you remind me of a mosquito buzzing over what she thinks is a nice, normal, juicy vein, angling to swoop down, stick in the old proboscis and suck up some blood to take back to the kids. Little does she know that she's hovering over an artery and when she sticks it in, she will be exploded by a back draft of arterial spray." - Chris Harvey
Norman Cousins|The way a book is read- which is to say,the qualities a reader brings to a book- can have as much to do with its worth as anything the author puts into it.
Drexel Deal, The Fight of My Life is Wrapped Up in My Father|You are still young enough to think that torment of the spirit is a splendid thing, a sign of a superior nature. But you are no longer a young man; you are a youngish middle aged man, and it is time you found out that these spiritual athletics do not lead to wisdom.
Richelle E. Goodrich|Life is a book that someone else is reading—and you, a key character—hence the need for continual conflict and resolution. We can't have any boring books.
Gautama Buddha, The Dhammapada: The Sayings of the Buddha|A man is not called wise because he talks and talks again; but if he is peaceful, loving and fearless then he is in truth called wise.
Shannan Jacoby|When we look from the bottom of a well, sky shines more beautifully than from the surface! Heaven is a Double-Heaven in the Hell!
E.E. Cummings, Complete Poems, 1913-1962|Awake,chaos:we have napped.
Jan Jansen|We are not always funny, but like a life with Fun
Fyodor Dostoyevsky, The Adolescent|Sometimes, the embers are better then the campfire. It's strange, but it's true.
Mary Webb|By reading the scriptures I am so renewed that all nature seems renewed around me and with me. The sky seems to be a pure, a cooler blue, the trees a deeper green. The whole world is charged with the glory of God and I feel fire and music under my feet.
Drake Bell|My brothers and sisters, may the spirit of love which comes at Christmastime fill our homes and our lives and linger there long after the tree is down and the lights are put away for another year.
Louisa May Alcott, Little Women|In her secret soul, however, she decided that politics were as bad as mathematics, and that the mission of politicians seemed to be calling each other names…
Barbara Ehrenreich, Living with a Wild God: A Nonbeliever's Search for the Truth about Everything|Why "revere" the unknowable? Why not find out what it is?
william gass|A faint tickling on the back of his right hand caused Eragon to look down. A huge, wingless cricket clung to his glove. The insect was hideous: black and bulbous, with barbed legs and a massive skull-like head. Its carapace gleamed like oil.
