Emily Roberson|Unfeeling thing that I was, the sensibilities of the maternal heart were Greek and Hebrew to me.
Prerna Kumar|Chasing your dreams is like running a race in the dark, you may quit disheartened, not knowing you were one step away from the finish line.
Susie Clevenger, Dirt Road Dreams|If there is no adventure in your life, it is as if you live no life! Adventure is the real soul of man; without it, He is a stub!
Richelle E. Goodrich, Smile Anyway|When I have a wrong attitude, I look at life humanly. When I have a right attitude, I look at life divinely.
Toni Morrison, Song of Solomon|We’re a different sort of thief here, Lamora. Deception and misdirection are our tools. We don’t believe in hard work when a false face and a good line of bullshit can do so much more.
T. Grassan, Ramblings of the Clinically Depressed: Images of Darkness Vol. II|What we have now, shall never be again. The poets of the past sit in amazement of the wanna-be's of an era long gone.
Pearl Zhu, Leadership Master: Five Digital Trends to Leap Leadership Maturity|Authenticity is the most fundamental, but challenging attribute for leadership.
Henry Moore|The creative habit is like a drug. The particular obsession changes, but the excitement, the thrill of your creation lasts.
Adele Kenny, A Lightness, a Thirst, or Nothing at All: Poems|Suddenly (like walking into a light you know) you discover this: the certainty that nothing is certain, the deep relief of your own incredible smallness." (From "Even If You Could Explain It Completely")
Coco J. Ginger|You break me the hardest, make me the strongest, and keep me the softest.
Santosh Kalwar|In relationships, there are no beginning and no end.
Rachel L. Demeter, The Frost of Springtime|Gideon could not imagine any other young unmarried woman of his acquaintance passing up the opportunity to snare, if not himself, then the Carradice fortune. In any case, the number of women who’d rejected him in any way was gratifyingly small. Yet Miss Prudence Merridew had most unmistakably rejected him. Several times. Wielding that damned lethal reticule like a little Amazon, to emphasize her point.
bell hooks, Communion: The Female Search for Love|Most feminist groups began with women talking about how we saw ourselves and other women, how we acted. We openly confessed our fears and hatred of other women. We talked about how to combat jealousy, the politics of envy, and so on.
Idries Shah, Sufi Thought and Action|Sufis (the name for the realised individual, not the learner or follower) are reunited with objective Reality and Unity.
John Sentamu|It's really interesting with art-movies too, but art especially - to see how your attitude toward artists and works and your level of appreciation of them is always shifting and changing over the years.
Tony Hawk|Art, in itself, is an attempt to bring order out of chaos.
Dada Bhagwan|Do business with honesty irrespective of what happens, whatever happens thereafter is correct. But do not start any accounts (karma).
