Joel Rosenberg|A man can be short and dumpy and getting bald but if he has fire, women will like him.
Gregory Maguire, A Lion Among Men|Thinking? You're not thinking. You're reasoning without reasons, and that's just another word for prejudice.
George Lynch|The actual truth has never written about any war, and this will be no exception.
Dita Von Teese|I find that a man is as old as his work. If his work keeps him from moving forward, he will look forward with the work.
Dannika Dark, Six Months|You started caring about somebody, you did stupid things.
Emily Giffin, Love the One You're With|Despite the fact that I have no regrets about how things turned out in my life, I still can't help wanting to understand my intense relationship with Leo, as well as that turbulent time between adolescence and adulthood when everything feels raw and invigorating and scary-and why those feelings are all coming back to me now.
Bruce Schneier|To build refuges of my own making is to construct fortresses of sand at ocean’s edge, where the relentless tides of time will leave my most magnificently constructed walls as perfectly flat sand. And now that I am subject to the very tides that destroyed these walls of mine, I am left with the reality that my single and sole refuge can only be the God who created both tides and sand.
J.C. Ryle|We live in a day of abounding vagueness and indistinctness on doctrinal subjects in religion. Now, if ever, it is the duty of all advocates of clear, well-defined, sharply-cut theology, to supply proof that their views are thoroughly borne out by Scripture.
Sri Chinmoy|If we can feel that it is not our voice, not our fingers, but some reality deep inside our heart which is expressing itself, then we will know that it is the soul’s music.
Richard Wright, Native Son|All it takes to be a voice against injustice, is to say something against it.
Doreen Cronin|It was a girl playing a harp, like in an orchestra. It was in this tree at our campsite. And since it was breezy weather that weekend, the girl's arms were almost always turning.
Thom Mayne|I read whenever possible, and I buy books all the time, sometimes online, but mostly from bookshops. I love literature. If you want to understand art, it's important to understand what is also happening in literature, in music, in science, in architecture.
Russell Beland|Her date was pleasant enough, but she knew that if her life was a movie this guy would be buried in the credits as something like "Second Tall Man".
Michele Bachmann|There has been a failure to grasp how competing narratives fight for the attention of angry young Muslims, and we have grossly underestimated the appeal of the jihadist brand.
Israelmore Ayivor, Daily Drive 365|You may lose paradise, but gain heaven when you rise up and repent. The success that comes after a temporal failure is an amazing spectacular!
Swami Dhyan Giten, Presence - Working from Within. The Psychology of Being|Silence is the source of healing. When we bring things from within ourselves out into the light of awareness, a healing process happens. In the silence, we can let go of all anger, sadness, fear, loneliness and frustration.
Difin Davis|It is good to think; but to think in a right way, that is great!
L. Neil Smith|The idea that a war can be won by standing on the defensive and waiting for the enemy to attack is a dangerous fallacy, which owes its inception to the desire to evade the price of victory.
Ellen Hopkins, Crank|Have you ever had so many thoughts churning inside that you didn't dare let them escape, in case they blew you wide open?
Ken Follett, The Pillars of the Earth|Jack was too absorbed in his work to hear the bell. He was mesmerized by the challenge of making soft, round shapes of hard rock. The stone had a will of its own, and if he tried to make it do something it did not want to do, it would fight him, and his chisel would slip, or dig in too deeply, spoiling the shapes. But once he had got to know the lump of rock in front of him he could transform it. The more difficult the task, the more fascinated he was. He was beginning to feel that the decorative carving demanded by Tom was too easy. Zigzags, lozenges, dogtooth, spirals and plain roll moldings bored him, and even these leaves were rather stiff and repetitive. He wanted to curve natural-looking foliage, pliable and irregular, and copy the different shapes of real leaves, oak and ash and birch.
Dada Bhagwan|Who is doing this? Who am I? What is all this? Who is the doer? Who is the nimit (instrumental doer) of this? If all these remain present ‘at a time’ exactly the way it is, then that is considered shuddha upayog (pure focused applied awareness of the Self, the Soul).
Teodor Flonta, A Luminous Future|I really love folklore. I had read a lot of faerie folklore that informed the books I wrote. I also really love vampire folklore; my eighth grade research paper was on [it]. [With this project,] it was really helpful to think about the way you can use language. When you're writing about faeries, you can't call anyone "fey"; there are certain words that become forbidden because they're actualized in what faeries do. When you write about vampires, you could think the same way about things like the word "red" or "hunger"--it's interesting to think of the ways that the words have double meanings, or different meanings that shifted.
Kimora Lee Simmons|Kathie Lee and I were working together on our 'Live' morning show when she started dating Frank. I always loved trying to get her to tell me about her new romance, and it wasn't long before we were watching them take their vows in front of close friends in Southhampton.
Haruki Murakami, Dance Dance Dance|The peloton was Facebook on wheels-and during this period, information was flying.
Paul Martin|It's not easy to walk out on a marriage and two young kids, and it's the most difficult thing I've ever had to do.
C.S. Lewis, A Grief Observed|No one ever told me that grief felt so like fear. I am not afraid, but the sensation is like being afraid. The same fluttering in the stomach, the same restlessness, the yawning. I keep on swallowing.At other times it feels like being mildly drunk, or concussed. There is a sort of invisible blanket between the world and me. I find it hard to take in what anyone says. Or perhaps, hard to want to take it in. It is so uninteresting. Yet I want the others to be about me. I dread the moments when the house is empty. If only they would talk to one another and not to me.
Wayne W. Dyer|Remember, purpose is about giving...All you can do with your life is to give it away in the service of others.
Elizabeth Cady Stanton|Because wherever I am today, I still owe it to God and I owe it to two men - the Honorable Elijah Muhammad and Malcolm X and of course, two very special women, my mother and my wife.
Roman Payne, The Basement Trains|Be there a picnic for the devil,an orgy for the satyr,and a wedding for the bride.
William Manchester|The hero acts alone, without encouragement, relying solely on conviction and his own inner resources. Shame does not discourage him; neither does obloquy. Indifferent to approval, reputation, wealth, or love, he cherishes only his personal sense of honor, which he permits no one else to judge.[…] Guided by an inner gyroscope, he pursues his vision single-mindedly, undiscouraged by rejections, defeat, or even the prospect of imminent death.
Andrea Hirata|I've realized through the years that I just find happiness in other things, whether it's my dogs or my friends or, like, looking at the sunset. So if I were to wish for something else, it would just to be happy all the time, to have a superpower of not letting things affect me, and to be true to who I am, always.
oladosu feyikogbon|Your destiny is in your mind, just faith it and have a brighter destination.
Tom Cotton|Under the cover of encryption, terror masterminds provide recruits with the tactics and tools necessary to carry out attacks using small arms and explosives. None of this requires any overseas travel.
J.P. Vaswani|Let us revolt against the nightmare, and work together for a kinder world.
John Green, The Fault in Our Stars|Unborn, never died, ever alive - thus is the Ultimate Reality. Of God. And of the Universal Self. As too, your own.
Voltairine de Cleyre, The Voltairine de Cleyre Reader|Question with boldness even the existence of aGod; because, if there be one, he must more approve ofthe homage of reason than that of blindfolded fear.
Curtis Tyrone Jones|The deeper magic always comes, in the intense sorcery of your inner silence.
Jean-Michel Jarre|I'm not very technically minded. I mean, I don't know how to do e-mail on computers.
Forrest Curran, Purple Buddha Project: Purple Book of Self-Love|There is a specific feeling that comes about during the dying embers of a relationship. Different from the Monday morning quarrels before work because you two are tired, different from the “I’m not going to talk to you for a while because I am mad at you” silences. Breaks ups happen instantly, yet the process occurs over a gradual period of time, with tear by tear until what was once whole, rips into two. Breakups are the disappointment we feel when we wanted our lover to finish the story with an exclamation mark, but instead are left with a question mark.
Caroline Leavitt, Pictures of You|In any honest analysis, change is the basis of fear, the idea of something new, of some paradigm that is unfamiliar, that is beyond our experiences so completely that we cannot even truly predict where is will lead us.
J.R.R. Tolkien|The deceitfulness of the heart of man appears in no one thing so much as this of spiritual pride and self-righteousness. The subtlety of Satan appears in its height, in his managing persons with respect to this sin. And perhaps one reason may be that here he has most experience; he knows the way of its coming in; he is acquainted with the secret springs of it: it was his own sin. Experience gives vast advantage in leading souls, either in good or evil.
Alexandre Dumas, The Count of Monte Cristo|He who has felt the deepest grief is best able to experience supreme happiness. We must have felt what it is to die, Morrel, that we may appreciate the enjoyments of life. Live, then, and be happy, beloved children of my heart, and never forget, that until the day when God will deign to reveal the future to man, all human wisdom is contained in these two words, - ‘Wait and hope.’ – Your friend, Edmond Dantes, Count of Monte Cristo. The eyes of both were fixed on the spot indicated by the sailor, and on the blue-line separating the sky from the Mediterranean Sea, they perceived a large white sail.
Stephen    Mitchell, Ray D. Shosay's Journal: Dispatches from a (Junior) Suite in Paris|In such societies it is common for ordinary people to seek out celibate spiritual leaders for marriage, love and sometimes sexual guidance. This strikes me as a particularly stupid kind of folly. Nobody ever asks a vegetarian for a recommendation for a steak house
Andrei Bely, The Silver Age of Russian Culture: An Anthology|They think thee mad? I'll show thou mad, my lord.
Elizabeth Noble, When You Were Mine|They were two burnt lovers, too similar and too different at the same time.
Erin Morgenstern, The Night Circus|Ignorance is king. Many would not profit by his abdication. Many enrich themselves by means of his dark monarchy. They are his Court, and in his name they defraud and govern, enrich themselves and perpetuate their power.
Pittacus Lore, Five's Betrayal|I watch Ethan try to connect the dots in his head, And suddenly his face falls into a sad smile."Oh," he says. And that's all.I walk over to him, my bare feet sinking into the sand as I trudge along. He's grinning at me now, but it's not the usual plastered-on smile he usually has. This one is somehow more authentic.When I'm within a few feet of him, he holds his arms out."You're going to be such a good leader," he says. "I'm so proud of you, Five."I embrace Ethan. His arms fold around me as he pats me on the back. He lets out a long, slow sigh and then starts to say something. I cut him off before he can get the words out. I can't stand to hear him say another thing."Ethan, I'm really sorry about this. But it's for the best."I can feel his body clench as the blade slips out of my forearm sheath and into his back. It slides between his ribs-a lucky shot- then retracts back into my hoodie sleeve. It's over in an instant. I step away from him. He stands frozen, probably in shock. There's a deep spot of read blooming across the right side of his chest where the blade must have broken the skin. Blood drops down from the hidden wrist sheath, running over my right hand before falling from my fingertips to the sand."It's over," I murmur, more to myself than to Ethan. He's probably not paying much attention to what I have to say. Tears are welling in his good eye, but I don't know if they're for me or for himself. He blinks once and then falls to the beach with a soft thud.
Colin Dickey, Ghostland: An American History in Haunted Places|These days, there are angry ghosts all around us, dead from wars, sickness, starvation--and nobody cares. So you say you're under a curse? Well, so what? So's the whole damned world.
