Timothy Egan|Like all great readers, he could create for himself a "wall of stillness".
Steve Maraboli, Unapologetically You: Reflections on Life and the Human Experience|My past has not defined me, destroyed me, deterred me, or defeated me; it has only strengthened me.
Noorilhuda, Catharsis|Even in death, her mother was winning.
Melina Marchetta, Saving Francesca|I fell, she laughed. I fell hard, she laughed harder. Seeing that I kept falling till I fell in love.
Hélène Cixous, The Book of Promethea|And I? I drink, I burn, I gather dreams.And sometimes I tell a story. Because Promethea asks me for a bowl of words before she goes to sleep.
Terence McKenna|Whether consciousness is implanted in us by something divine, or whether it is created by the efforts of our brains, the end result is the same. We are.
Patricia Duncker|They were from different generations, culture, nations. But even these things did not divide them so much as their separate conceptions of what it meant to be a woman.
Kevin Arnold|Memory is a way of holding on to the things you love, the things you are, the things you never want to lost
William Nicholls, Christian Antisemitism|Paranoia is transmissible from mind to mind, but it does not go by the route of reason. It can therefore change its rationalization while remaining essentially the same.
Lisa Genova, Still Alice|... just because [butterflies'] lives were short didn't mean they were tragic... See, they have a beautiful life.
Peter Matthiessen, The Snow Leopard|My foot slips on a narrow ledge; in that split second, as needles of fear pierce heart and temples, eternity intersects with present time. Thought and action are not different, and stone, air, ice, sun, fear, and self are one. What is exhilarating is to extend this acute awareness into ordinary moments, in the moment-by-moment experiencing of the lammergeier and the wolf, which, finding themselves at the center of things, have no need for any secret of true being. In this very breath that we take now lies the secret that all great teachers try to tell us…the present moment. The purpose of mediation practice is not enlightenment’ it is to pay attention even at unextraordinary times, to be of the present, nothing-but-the-present, to bear this mindfulness of now into each event of ordinary life.
Lailah Gifty Akita, Think Great: Be Great!|In my darkness, my pathway was marked by the brightness of light.
Billy Graham, Billy Graham in Quotes|In your own mind-darkened, will-paralyzed, conscience-dulled soul, God can make the light penetrate and turn the darkness of your own life into day, if you will let Him.
Stephen Fry|I have written it before and am not ashamed to write it again. Without Wodehouse I am not sure that I would be a tenth of what I am today -- whatever that may be. In my teenage years, his writings awoke me to the possibilities of language. His rhythms, tropes, tricks and mannerisms are deep within me.But more than that, he taught me something about good nature. It is enough to be benign, to be gentle, to be funny, to be kind.
Kaya McLaren, How I Came to Sparkle Again|I cheated on my fears,broke up with my doubts,got engaged to my faith,and now I'm marrying my Dreams.Soon I will be holding hands with Destiny!
