Anthony Burgess, Little Wilson and Big God: The First Part of the Confession|Nothing goes on forever. If it did, there wouldn't be anything else, would there?
Albert J. Bernstein, Emotional Vampires: Dealing with People Who Drain You Dry|The old men had a set rabbit-hunting strategy that they had always used. Usually when a dog jumps a rabbit, and the rabbit gets away, that rabbit will always somehow instinctively run in a circle and return sooner or later past the very spot where he originally was jumped. Well, the old men would just sit and wait in hiding somewhere for the rabbit to come back, then get their shots at him. I got to thinking about it, and finally I thought of a plan. I would separate from them and Big Boy and I would go to a point where I figured that the rabbit, returning, would have to pass me first.It worked like magic. I began to get three and four rabbits before they got one. The astonishing thing was that none of the old men ever figured out why. They outdid themselves exclaiming what a sure shot I was. I was about twelve, then. All I had done was to improve on their strategy, and it was the beginning of a very important lesson in life—that anytime you find someone more successful than you are, especially when you’re both engaged in the same business—you know they’re doing something that you aren’t.
David Louden, Lost Angeles|It hadn’t always been this way, that’s a cliché, but it is a cliché for a reason. It’s not like anyone starts a relationship with nothing to say to the other person. No-one wants to feel like a complete stranger and live together because it’s easier than trying to remember who owns the copy of Almost Famous – which was mine by the way.
Seth Grahame-Smith, How to Survive a Horror Movie|To conceive the horror of my sensations is, I presume, utterly impossible; yet a curiosity to penetrate the mysteries of these awful regions predominates even over my despair, and will reconcile me to the most hideous aspect of death.
Rachel Cohn, Dash & Lily's Book of Dares|I mean, like most guys, you carry around this girl in your head, who is exactly who you want her to be. The person you think you will love the most. And every girl you are with gets measured against this girl in your head.
Ally Carter, Cross My Heart and Hope to Spy|Because even though the truth can set you free, that doesn't mean it won't be painful.
Ray Bradbury, The Martian Chronicles|I have something to fight for and live for; that makes me a better killer. I've got what amounts to a religion now. It's learning how to breathe all over again. And how to lie in the sun getting a tan, letting the sun work into you. And how to hear music and how to read a book. What does your civilization offer?
Mark Leary, Understanding the Mysteries of Human Behavior|Too many words left unsaid, instead of everything could come at once and break you all for once.
Darryl Stewart|God, may you need to tell him off and say FU?This will allow to be empowered and take your life back. Many of us have been angry and rageful towards him. Maybe it time for a conversation?I started this and I found my purpose and path because I was no longer blocked by my overwhelming rages at GOD. Fancy that.
John Mark Green|Let's burn our masks at midnightand as flickering flames ascend,under the witness of star-clouds,let us vow to reclaim our true selves.Done with hiding and weary of lying,we'll reconcile without and within.Then, like naked squint-eyed newborns,we'll greet the glorious birth of dawn;blinking at the blazing, wondrous colorswe somehow failed to notice before.
Martin Luther|We design our world, while our world acts back on us and designs us.
J.K. Rowling, Harry Potter and the Chamber of Secrets|You fail to recognize that it matters not what someone is born, but what they grow to be!
Suzy Kassem, Rise Up and Salute the Sun: The Writings of Suzy Kassem|WILL YOU DANCE WITH MEAs we stand here,Hand in hand,Under the neon lightsOf Truth and Love.I'm asking you toDance with me.To twirl,Kick,Drop,Jump,And flyWith me.Skidding andSliding acrossThe dancefloor of life,I want you toGlide with me.Through theSaddest andHappiest songs,The fastest highsTo the longest andSlowest lows,I want you toFlow throughThem allWithMe.
Steve Maraboli|When you don't have a vision or a plan for the future, your mind has no choice but to dwell in the past.
Frances Beinecke|I've always been into guitars... we want to put keyboards on, but keyboard players don't look cool onstage, they just keep their heads down. There has never been a cool keyboard player, apart from Elton John.
Charli XCX|One of the reasons I'm excited by what visionary Elon Musk has done with the Tesla is to show that you can reduce global warming and drive a powerful, fun car. A cool car helps make a cooler planet.
Bohdi Sanders, Modern Bushido: Living a Life of Excellence|Joanna's quietly intent nature contrasted sharply with Holly's vibrancy. While Miss Brewster's flirtation stroked his ego, the spiritual maturity Miss Robbin's exhibited commanded his admiration and respect.
Nick Sagan, Idlewild|When I think of Simone now, I think of butterfly wings. Beautiful and excruciatingly delicate. Touch them once and they might disintegrate.
Meredith Schorr, A State of Jane|There was a part of me that was so horny, I wanted to climb on top of Randall on the first date. But there was also a part of me that was so terrified, I wanted to go home, put on my feety pajamas and hibernate for the winter.
Anthony Liccione|Set a clear focus in your life , and fear will be crowded out. The more you fix your eyes on God’s purpose for you, the more you will overcome your fear.
John Boyne, The Boy in the Striped Pajamas|...Despite the mayhem that followed, Bruno found that he was still holding Shmuel's hand in his own and nothing in the world would have persuaded him to let go.
Mao Zedong|I am a lover of truth; and if you think of truth as being multifaceted and so huge that we human beings can't fully comprehend it, then obviously it makes sense to put all the facts together - to compare disciplines and try to advance the sum of knowledge by exploration and examination.
Theodore Roosevelt|All good that you have done for the humanity, keep it like a secret; do your goodness in the shadow! Let one day others find this secret, preferably long after you have passed away!
Amaka Imani Nkosazana, Sweet Destiny|If you live your life to please others, sometimes you neglect yourself. You deserve happiness. You deserve peace. You deserve love and respect. Don't get caught up and deprive the very essence of you
Nikki Rowe|With you it's different, There isn't a catostrophic emotion of endorphines, but there is a silent feeling of contentment & peace. I won't deny I have my fears, but your worth the discovery.
Lauren Oliver, Delirium Stories: Hana, Annabel, and Raven|Is it possible to tell the truth in a society of lies? Or must you always, of necessity, become a liar?And if you lie to a liar, is the sun somehow negated or reversed?
