Deyth Banger|In life and love, there are no impossibilities.
Steve Knox|The greatest power we have in life is not external, but internal.
Roxane Gay, Bad Feminist|Feminism will better succeed with collective effort, but feminist success can also rise out of personal conduct. I hear many young women say they can’t find well-known feminists with whom they identify. That can be disheartening, but I say, let us (try to) become the feminists we would like to see moving through the world.
Bill Courtney, Against the Grain: A Coach's Wisdom on Character, Faith, Family, and Love|A true legacy is established over a lifetime and relates to what a human being does for others, not for himself.
Robert Motherwell|A good painting to me has always been like a friend. It keeps me company, comforts and inspires.
Criss Jami, Diotima, Battery, Electric Personality|If it's true what is said, that only the wise discover the wise, then it must also be true that the lone wolf symbolizes either the biggest fool on the planet or the biggest Einstein on the planet.
Lyman Bryson|The error of youth is to believe that intelligence is a substitute for experience, while the error of age is to believe experience is a substitute for intelligence.
Winifred Gallagher|Yet he argued that even a tedious topic can take on a certain fascination if you make an effort to look at it afresh: "The subject must be made to show new aspects of itself; to prompt new questions; in a word, to change. From an unchanging subject the attention inevitably wanders away.
S.L. Whyte, Stelladaur: Finding Tir Na Nog|Remember, Reilly, gossip is just people's insecurity and fear of what they don't really understand," Eilam said. "It is unconsciously propagated to feed their egos.""Doesn't it ever bother you?", Reilly asked as he pulled the top off his yogurt."I've lived too long to put any stock in the external judgements of others,or to take anything personally.
Taona Dumisani Chiveneko, The Hangman's Replacement: Sprout of Disruption|... eloquence is merely the product of intelligence. History is not shaped by men of genius. It is shaped by men of unwavering will. Men who focus whatever brains they have on the savvy application of power. In the end, brawn will always do the heavy lifting. Brawn will always win the war.
Charles Benoit, You|When did swearing become so easy? You still would never swear in front of your parents or most adults, but when you're with your friends it's like every fifth word. Why couldn't learning Spanish be that easy?
Jed Rubenfeld|There is no mystery to happiness.Unhappy men are all alike. Some wound they suffered long ago, some wish denied, some blow to pride, some kindling spark of love put out by scorn- or worse, indifference- cleaves to them, or they to it, and so they live each day within a shroud of yesterdays. The happy man does not look back. He doesn't look ahead. He lives in the present. But there's the rub. The present can never deliver one thing: meaning. The ways of happiness and meaning are not the same. To find happiness, a man need only live in the moment; he need only live for the moment. But if he wants meaning- the meaning of his dreams, his secrets, his life- a man must reinhabit his past, however dark, and live for the future, however uncertain. Thus nature dangles happiness and meaning before us all, insisting only that we choose between them. For myself, I have always chosen meaning.
Avra Amar Filion|When your out of space, your out of place at the same time.
Preeti Shenoy, It Happens for a Reason|Carrie, sitting there over your coffee cup in a wasteland of worn-out silver wedding rings, feeding yourself confections of motherhood like the display cakes in the bakery where you worked- all trimming over cardboard.
Panayiotis Zavos|I knew everything in the forest. I had a secret home tree, where I pretty much lived. I also liked rooftops and streetlamps. My parents would get calls saying 'He's out there again.'
Bryan Ferry|You can never get silence anywhere nowadays, have you noticed?
Alice Hoffman, Skylight Confessions|Though I would have died rather than told anyone, I was worried my exuberant drug use had damaged my brain and my nervous system and maybe even my soul in some irreparable and perhaps not readily apparent way.
Sayed Kashua|Man does not live by words alone, despite the fact that sometimes he has to eat them.
Clive Barker|I was a weird little kid. I was very irritable, bored, frustrated. I felt my imagination bubbling inside my head without having any way to express itself. Given a crayon and paper, I would not draw a train or a house. I would draw these monsters, beasts and demons.
Stephen Richards, Boost Your Self Esteem|Whatever you lay your hands on, self-esteem is visible.
Brendan Phibbs, The Other Side of Time: A Combat Surgeon in World War II|To take a specific example, a researcher in the Journal of Traumatic Stress interviewed 129 women with documented histories of child sexual abuse that occurred between the ages of 10 months and 12 years. Of those, 38 percent had forgotten the abuse. Of the remaining women who remembered, 16 percent reported that they had for a period of time forgotten but subsequently recovered their memories. [46] Thus, during that time a "false negative" recorded for those women. These are the sort of distinctions for which Elaine Showalter in Hystories: Hysterical Epidemics and Modern Media fails to account.
Julia Barkey|Having answered the call, the relief far outweighed the discomfort as the heat and the thin dry air of the new word enveloped her...The demon before her - and she hadn't been told for sure that's what they were, she was taking an educated guess- had a figure pressed against him, one scaly limb securing its prey.
Criss Jami, Killosophy|If ever it's necessary to ride the bandwagon, it's done with one leg swinging out and eyes scoping the fields.
Israelmore Ayivor, The Great Hand Book of Quotes|If you don't have any good idea, you are likely to waste money if it's given to you! If you don't have an idea, you can't even know how much money you need... This is because; it's your ideas that give you the cost to pay!
Louis MacNeice|Everyone is not able, or inclined, to write poetry in the narrower sense any more than everyone is qualified to take part in a walking race. But just as all of us can and do walk, so all of us can and do use language poetically.
Fidelis O. Mkparu|A true friend let’s you know that the door is always open, even when it’s closed.
