Victoria Schwab, Our Dark Duet|If you want to prosper, prosper God.
Elisabeth Kubler-Ross|Organ donation is very personal to me. My mother, before her death, was on kidney dialysis for several years.
Eva Ibbotson, A Countess Below Stairs|They [dogs] never talk about themselves but listen to you while you talk about yourself, and keep up an appearance of being interested in the conversation. 
Maya Angelou|There are constant cycles in history. There is loss, but it is always followed by regeneration. The tales of our elders who remember such cycles are very important to us now.
Ray Bradbury, The October Country|Her eyes reversed into herself, to watch the secret heart of herself pounding itself into pieces against the side of her chest.
Brennan Manning, The Ragamuffin Gospel: Good News for the Bedraggled, Beat-Up, and Burnt Out|The supernatural worldview is causing a great number of otherwise intelligent people to cling to a collection of atavistic concepts that have not, and never will serve humanity in any ultimately beneficial way. Any benefits that spirituality ostensibly provides to its adherents, can be found equally in the worldview of philosophy and ethics, communities of other kinds, and so on. It's a myth that the only morality, hope, purpose and comfort to be found, resides only in the supernatural.
Lindsay McKenna, Wind River Wrangler|She felt his fingers caress her scalp, the sensations swift, heated shocks rocking through her body. His breath was punctuated against her cheek and nose. The tension mounted in him until Shiloh felt as if he would snap and break, unleashing that throbbing sexual power she sensed so intensely around him.
Jay Woodman|Preach the Gospel, die, and be forgotten.
Tiffany Domena|Just as electricity is unseen, but by the flip of the switch, lights turn on, so also by the words spoken in prayer, miracles manifest.
Sam Yagan|When people talk about the impact of mobile dating, everyone focuses on real-time meeting - this idea that my pocket will vibrate every time a hot girl walks by. That's important. But it's not transformative.
Melika Dannese Lux, Corcitura|Daniel came to sit beside me, ignoring my wariness and settling into the thin, worn cushion. “Who’d you think I was that first night we met?” “The night you attacked me, you mean? I thought you were a vampire.” “A vampire?” His look was one of genuine confusion. “Vampires aren’t real.
Ruth Klüger, Still Alive: A Holocaust Girlhood Remembered|In class I was out of place because I could so easily be distracted from concepts by metaphors and facts. Clearly, I was less intelligent than I had hoped, and I felt frustrated by an inarticulate notion that something was wrong if old material was processed as if the immediate past and the uncertain future had no bearing on it.
Steven Moffat|The universe is big, its vast and complicated, and ridiculous. And sometimes, very rarely, impossible things just happen and we call them miracles. And that's the theory. Nine hundred years, never seen one yet, but this would do me.
George R.R. Martin, A Storm of Swords|You must never believe everything they say about a person. Generally speaking, most of it will be lies, half-truths at best.
Jesmyn Ward, Salvage the Bones|My reading and studying and retellings of old stories didn't do anything except help me think better. I was at least thoughtful. Too thoughtful, my friends said. And all I thought about was myths and old paintings that made me feel drunk on wine or struck my lightning but didn't matter to most people.
Anthony T. Hincks|We gave the woman for her trouble a generous fee, with which she was highly pleased, and proceeded to put it in the bed under her sleeping husband's head. We laughingly told her not to put it there as he might get it, and it was money she had earned herself. She appreciated the joke, though it was told mostly by gestures, but seemed to have true ideas of the matrimonial relation, and was nothing loath to trust her all with him. page. 116
Stephen King, 11/22/63|DO you think it hurts to die?" Not as much as it hurts to live, Trixie thought.
Kevin Smith, Tough Shit: Life Advice from a Fat, Lazy Slob Who Did Good|Remember: It costs nothing to encourage an artist, and the potential benefits are staggering. A pat on the back to an artist now could one day result in your favorite film, or the cartoon you love to get stoned watching, or the song that saves your life. Discourage an artist, you get absolutely nothing in return, ever.
Sami Abouzid|You can kill our love, but you can't delete our memories together
Louise Suzanne Boyd, Journey to the Rainbow|Many people think that crying is a sign of weakness, they're wrong - it is a sign of healing.
Paul Auster, The Brooklyn Follies|Reading was my escape and my comfort, my consolation, my stimulant of choice: reading for the pure pleasure of it, for the beautiful stillness that surrounds you when you hear an author's words reverberating in your head.
David Halberstam, The Powers That Be|Develop a vision, not a goal. Visions are much more powerful. 98% of what’s going on in your brain is subconscious. Developing a vision requires the use of more of your brain than just developing a thought, which suggests we are tapping into subconscious brain power.
Roger Williams|Fix reason firmly in her seat, and call to her tribunal every fact, every opinion. Question with boldness even the existence of a God; because, if there be one, he must more approve of the homage of reason, than that of blindfolded fear.
Thomas Hardy, The Mayor of Casterbridge|If you make a person believe that his misfortune in this birth is due to his sins in his previous birth, he will resign himself to his fate and not vent his fury on society at large.
Mehmet Murat ildan|If you follow your heart, you will find your own sacred path.
Caela Carter, My Best Friend, Maybe|I though I screwed everything up," I say.He smiles. "You're only one person. In the whole universe. You can't screw everything up.
Stephen Richards, Cosmic Ordering Guide|In Cosmic Ordering, we put our trust
