Faisal Nawaz Maitlo|Those people make us strong and then valuable, whom we do not like initially.
Lisa Desrochers|If you want to hit me, scratch me, punch me, I'll take it. If you want to yank my hair, spit on me, kick me, I'll endure it. I deserve to be punished. Leave your mark on my body. Show me how much I hurt you, then show me again. Because I'm prepared to withstand anything in order to keep you by my side.
Thomas Merton, No Man Is an Island|It is by desiring to grow in love that we receive the Holy Spirit, and the thirst for more charity is the effect of this more abundant reception.
He Zhen|Generations of parents have upheld this line if thinking. When a daughter showed a promise of talent, they saw it as a curse and worried that she would die young. Eventually, the very lack of talent became a sure sign of virtue for women.
Lailah Gifty Akita, Pearls of  Wisdom: Great  mind|In the light, our hearts only knows love.
Stewart O'Nan|I felt so free in space, flying around and unrestrained by any social relationships, but my life since has changed a lot. Now I am extra-careful about what I say and do because everyone recognises me.
Carl-John X. Veraja|The next day we were all shooting up.	"Jeez. Look at the size of the cotton he just threw in the spoon."	"Yea. What are you trying to prove?"	They had a good laugh at my expense.
Robert  Black|What if, you know—what if hanging out with Griffo Gerritszoon wasn’t always that great? What if he was weird and dreamy? What if the best part of him was the shapes he could make with metal? That part of him really is immortal. It’s as immortal as anything’s going to get.
Zac Efron|My chief gifts are - naturally good at all sports with a raw talent for pretty much everything, which if nurtured could develop into improper talent.
Joseph Campbell, Thou Art That: Transforming Religious Metaphor|With the moon walk, the religious myth that sustained these notions could no longer be held. With our view of earthrise, we could see that the earth and the heavens were no longer divided but that the earth is in the heavens. (105)
Sabaa Tahir, An Ember in the Ashes|Faeries began calling foul play, demanding Tamlin be released from the curse, calling her a liar. Through the haze, I saw Rhysand crouching by Tamlin. Not to help him, but to grab the-"You are all pigs - all scheming, filthy pigs."Then Rhysand was on his feet, my bloody knife in his hands. He launched himself at Amarantha, swift as a shadow, the ash dagger aimed at her throat.She lifted a hand - not even bothering to look - and he was blasted back by a wall of white light.But the pain paused for a second, long enough for me to see him hit the ground and rise again and lunge for her - with hands that now ended in talons. He slammed into the invisible wall Amarantha had raised around herself, and my pain flickered as she turned to him."You traitorous piece of filth," she seethed at Rhysand. "You're just as bad as the human beasts." One by one, as if a hand were shoving them in, his talons pushed back into his skin, leaving blood in their wake. He swore, low and vicious. "You were planning this all along.
