Paresh Shah|People don't have ideas, ideas have people.
Emily Thorne|Just as there are two sides to every story, there are two sides to every person. One that we reveal to the world and another we keep hidden inside. A duality governed by the balance of light and darkness. Within each of us is the capacity for both good and evil. But those of us who are able to blur the moral dividing line hold the true power.
Dan Pearce, Single Dad Laughing|But if modesty is interpreted not as diffidence or self-effacingness, but as non-overweening, a realistic assessment of the job to be done and one's ability to do it, then you might say the chief virtue of excellent artists is their modesty...But knowing your limits and going to them isn't arrogance. It's greatness of spirit.
jagvir ji|You are remaking the world, Noah. Drawing by drawing
Charlotte Eriksson, Empty Roads & Broken Bottles; in search for The Great Perhaps|I know there are days when even one single positive thought feels like too much effort, but you must develop an unconditional love for life. You must never lose your childish curiosity for the possibilities in every single day. Who you can be, what you can see, what you can feel and where it can lead you. Be in love with your life, everything about it. The sadness and the joys, the struggles and the lessons, your flaws and strengths, what you lose and what you gain.
Kari L. Greenaway, There is a God|It was no time for mercy, it was time to terminate with extreme prejudice.
Moywaywa|I read somewhere that every life is the story of a single mistake, and then what happens after.
Dan Brown, Angels & Demons|God answers all prayers, but sometimes his answer is 'no'.
Margret Sanger|Woman must not accept; she must challenge. She must not be awed by that which hasbeen built up around her; she must reverence that within her which struggles for expression. Hereyes must be less upon what is and more clearly upon what should be. She must listen only witha frankly questioning attitude to the dogmatized opinions of man-made society. When shechooses her new, free course of action, it must be in the light of her own opinion—of her ownintuition. Only so can she give play to the feminine spirit. Only thus can she free her mate fromthe bondage which he wrought for himself when he wrought hers. Only thus can she restore tohim that of which he robbed himself in restricting her. Only thus can she remake the world.The world is, indeed, hers to remake, it is hers to build and to recreate. Even as she haspermitted the suppression of her own feminine element and the consequent impoverishment ofindustry, art, letters, science, morals, religions and social intercourse, so it is hers to enrich allthese
Rick Lambert, Polycarp, a destroyer of our gods|One should every day think over and make an effort to implant in his mind the saying, "At that time is right now." It is said that it is strange indeed that anyone is able to pass through life by one means or another in negligence.
Abigail  Baker, The Reaper's Sacrifice|He plays with his lip rings, using his tongue to slide them in and out of the holes. Aaaaand that was imagery I so did not need.
E. O. Wilson|The further a mathematical theory is developed, the more harmoniously and uniformly does its construction proceed, and unsuspected relations are disclosed between hitherto separated branches of the science.
- Morris R. Gates|And when you die only your thoughts that have reached paper remain. Finally when someone stumbles upon those words, reads about your loves and your losses, you touch them emotionally and for a time they finally feel understood. For that time they realise, they too shared the same thoughts and ideas,And then they realise just as I have realised, You are not truly as alone in this universe as you think are.
Robert Lanza|Every day, I read books on philosophy and science fiction and human consciousness.
Benjamin Rush, A Memorial Containing Travels Through Life or Sundry Incidents in the Life of Dr Benjamin Rush|It would seem from this fact, that man is naturally a wild animal, and that when taken from the woods, he is never happy in his natural state, 'till he returns to them again.
Poppet, Ryan|she shakes her head, fisting hands into my t-shirt and sobbing into my neck. And all I can think about is how good this feels
Luke Rhinehart, The Dice Man|Like the turtle's shell, the sense of self serves as a shield against stimulation and as a burden which limits mobility into possibly dangerous areas. The turtle rarely has to think about what's on the other side of his shell; whatever it is, it can't hurt him, can't even touch him. So, too, adults insist on the shell of a consistent self for themselves and their children and appreciate turtles for friends; they wish to be protected from being hurt or touched or confused or having to think. If a man can rely on consistency, he can afford not to notice people after the first few times. But I imagined a world in which each individual might be about to play the lover, the benefactor, the sponger, the attacker, the friend: and once known as one of the next day he might yet be anything. Would we pay attention to this person? Would life be boring? Would life be livable? I saw then clearly for the first time that the fear of failure keeps us huddled in the cave of self - a group of behavior patterns we have mastered and have no intention of risking failure by abandoning.
Brené Brown|Courage has a ripple effect. Every time we choose courage, we make everyone around us a little better and the world a little braver. And our world could stand to be a little kinder and braver.
Alan Moore|Look at him now, poor fellow. That's what a dose of reality does for you...Never touch the stuff myself, you understand. Find it gets in the way of the hallucinations.
Toni Mariani|Every bar in the scores of ourselves is already into memory into imagination, even as we play it out. We might as well listen.
John le Carré, The Constant Gardener|He sees passion in her gray eyes, and it scares him as all passion scares him, his own included.
Lailah Gifty Akita|My passionate leisure pursuit are reading, wondering and writing.
Clarissa Wild, Father|Your….your bat cave?” Emily responded.“Yes, I’m quite proud of it. I put those visiting Boy Scouts to good use building bat houses, and now I’ve got dozens of them lining the walls of my tool shed.” She ran a hand down her long, witchy hair. “Bat houses, I mean. Not Boy Scouts. I don’t have any Boy Scouts in my shed.” She looked around, and Ryan couldn’t help but wonder if anyone might indeed be missing a Boy Scout.
Betty White|In the household in which I was raised, the themes were pretty simple. 'Work hard. Don't quit. Be appreciative, be thankful, be grateful, be respectful. Also, never whine, never complain. And always, for crying out loud, keep a sense of humor.'
Lisa Kleypas, It Happened One Autumn|Annabelle, what happened to you?” Lillian asked the next morning. “You look dreadful. Why aren’t you wearing your riding habit? I thought you were going to try out the jumping course this morning. And why did you disappearso suddenly last night? It’s not like you to simply vanish without saying—”“I didn’t have a choice in the matter,” Annabelle said testily, folding her fingers around the delicate bowl of a porcelain teacup. Looking pale and exhausted, her blue eyes ringed with dark shadows, she swallowed a mouthful of heavily sweetened tea before continuing. “It was that blasted perfume of yours—as soon as he caught one whiff of it, he went berserk.”Shocked, Lillian tried to take in the information, her stomach plummeting. “It… it had an effect on Westcliff, then?” she managed to ask.“Good Lord, not Lord Westcliff.” Annabelle rubbed her weary eyes. “He couldn’t have cared less what I smelled like. It was my husband who went completely mad. After he caught the scent of that stuff, he dragged me up to our room and…well, suffice it to say, Mr. Hunt kept me awake all night. All night ,” she repeated in sullen emphasis, and drank deeply of the tea.“Doing what?” Daisy asked blankly.Lillian, who was feeling a rush of relief that Lord Westcliff had not been attracted to Annabelle while shewas wearing the perfume, gave her younger sister a derisive glance. “What do you think they were doing? Playing a few hands of Find-the-Lady?
Sondra Perl, On Austrian Soil: Teaching Those I Was Taught to Hate|The kind of teacher who never learned anything herself. Or taught anything, except sarcasm or fear.
Ralph Waldo Emerson, Nature|The health of the eye seems to demand a horizon. We are never tired, so long as we can see far enough
Mary J. McCoy-Dressel, Howdy, Ma'am|It's Ms. Armano.”“Oh, Ms, huh. One of those women's libbers?” He chuckled, glancing up at her. “I prefer independent woman who can make it on her own. Lucky for you I'd say if I decide to accept your offer.
Judith Lewis Herman, Father-Daughter Incest: With a New Afterword|Dissociative Identity Disorder...is initially a useful coping response to an environment which is very difficult to endure. The problem is that dissociative responses-such as switching, blanking out, or going into a trance-become automatic, and, once the original abusive environment has been left behind, are of little use in life and may be detrimental.
Harper Lee, To Kill a Mockingbird|She looked at me for a second and said, "Oh, never mind. I guess it's true what Mom said? That you've led a sheltered life?"I said I thought the description fairly apt.
Matshona Dhliwayo|It is lightning that strikes, not thunder.
Sharon Salzberg, Lovingkindness: The Revolutionary Art of Happiness|Sometimes it feels like you and I are at the movie theater, sitting next to each other and watching the same movie. People say something, argue incessantly, even fight, but this is all somewhere far away, on the other side of the screen, and we are just passive onlookers unable to affect the course of events.
Toni Sorenson|Life is made up of chances to make choices, decisions of what you wish to do; the accumulated result of those choices is what you call your life.
Kilroy J. Oldster, Dead Toad Scrolls|When you love yourself too much, sometimes it becomes a problem, because it gets out of control. if you don't control yourself, you become yourself closest enemy !
Amy Grant|Faith is salted and peppered through everything at Christmas. And I love at least one night by the Christmas tree to sing and feel the quiet holiness of that time that's set apart to celebrate love, friendship, and God's gift of the Christ child.
R.A. Salvatore, Road of the Patriarch|Ultimately, the claim goes to the strongest, does it not? In the final sort of things, I mean. He who remains alive, remains alive to write the histories in a light favorable to him and his cause. Surely as worldly as you are, you know well the histories of the world, Master Wingham. Surely you recognize that armies carrying banners are almost always thieves - until they win.
George Orwell, Decline of the English Murder|Where there is murder, anything can happen.
Sharon Maria Bidwell, Seduced by a Legend|She could sense the desire pouring off the man in front of her, and to be wanted so obviously, so fiercely, went to her head like moonshine. He made her feel like a goddess.Provided goddesses got this horny.
Anne Frank, The Diary of a Young Girl|Knowing that this is what it means to live. That this love, this need is what drives us to push and fight and build and grow. That as long as there's hope and love in this world, there will always be the living.
