Nelson Rodrigues|The Human Being, as we imagine it, does not exist.
Anais Nin|It is important to our friends to believe that we are unreservedly frank with them, and important to friendship that we are not.
Aman Jassal, Rainbow - the shades of love|That’s what life holds for you. You make plans, carefully plots whole road-map; but you never know when a vehicle comes at you full throttle from the next bend and knocks you down.
David Halberstam, Firehouse|He saw the pleasure you took from your job every day of his life, and THAT was what he wanted.
Donna Lynn Hope|People change us. It is a rare, if not an impossible occurrence, that we come out of relationships unscathed. In our dealings with people we take something with us and we leave something behind. Some people are haunted more than others, either by the sweet perfume of another or the stink of regret.
Kemi Sogunle|If your relationship is draining your energy, making you lose yourself and taking your attention away from God, then you are not in a relationship but a cult. You are busy creating an idol (mini-God) for yourself.
Randy Moss|I'm proud of my invention, but I'm sad that it is used by terrorists.
Daniel Willey|I unconsciously decided that, even if it wasn't an ideal world, it should be so and painted only the ideal aspects of it - pictures in which there are no drunken slatterns or self-centered mothers . . . only foxy grandpas who played baseball with kids and boys who fished from logs and got up circuses in the back yard.
Drea Damara, The Weeping Books Of Blinney Lane|If the British had fought half as well as this one kissed, she thought, the Americas would still be a colony.
Diana Wynne Jones, House of Many Ways|On the other hand, when you grow up you will discover that some of the people in this world never passed beyond the stage of the cave-man.
Daniel Bell, The Winding Passage: Essays and Sociological Journeys, 1960-1980|Culture and collars had gone together, to him, and he had been deceived into believing that college educations and mastery were the same things.
Luke Blaise Pereira|That day we held our hands and each other was indeed a beautiful dream. But, we all wake up in the end.
Henry James|The biggest opportunity in 2013 is in Africa. It has seven out of the ten fastest-growing economies in the world. In Nigeria alone there are 100 million people with mobile phones. In total, 300 million Africans - five times the population of Britain - are in the middle class.
Margaret Drabble|I need words and print... I need print like an addict. I could live without it, perhaps. But I hope I never have to try.
David Icke|It is like the seed put in the soil - the more one sows, the greater the harvest.
Susan Cain, Quiet: The Power of Introverts in a World That Can't Stop Talking|He sent the trained dog that is his talent off in search of a fat glorious pheasant, and it brought back the lower half of a Barbie doll.
Jojo Moyes, One Plus One|The only thing Jess really cared about were those two children and letting them know they were okay. Because even if the whole world was throwing rocks at you, if you had your mother at your back, you'd be okay. Some deep-rooted part of you would know you were loved. That you deserved to be loved.
