Darnell Dockett|My fans are definitely my shareholders, and I'm extremely thankful for them.
Shunryu Suzuki|Truth is always served by great minds, even if they fight it.
Deborah Bedford, A Morning Like This|In a shelter meant for battered women, there were only two reasons a person would decide to leave. One, she had decided to launch out on her own and begin a new life. Or two, she had decided to go back to someone who had hurt her.
Gustavo Gutiérrez, A Theology of Liberation|The village is coming back, like it or not.
Glenda Helms, Letters Home: The Story of an Air Force Wife|Happy Mother's day .... Its mothering Sunday in England and I just wanted to take a min to honor all the mothers out there, Well done. It doesn't matter if you doing it alone, or you have some one the fact is you still there still trying so hats off to you .. Happy mothers day also to the dads who play both the role of mom and dad to their children. You too are just as amazing.
C. JoyBell C.|It's not very easy to grow up into a woman. We are always taught, almost bombarded, with ideals of what we should be at every age in our lives: "This is what you should wear at age twenty", "That is what you must act like at age twenty-five", "This is what you should be doing when you are seventeen." But amidst all the many voices that bark all these orders and set all of these ideals for girls today, there lacks the voice of assurance. There is no comfort and assurance. I want to be able to say, that there are four things admirable for a woman to be, at any age! Whether you are four or forty-four or nineteen! It's always wonderful to be elegant, it's always fashionable to have grace, it's always glamorous to be brave, and it's always important to own a delectable perfume! Yes, wearing a beautiful fragrance is in style at any age!
Greg Anderson|We have the greatest hospitals, doctors, and medical technology in the world - we need to make them accessible to every American.
Radhe Maa|Never be proud but show humility towards others, true wisdom lies in being humble.
Rachel Hartman, Shadow Scale|Don't hold on too long;to which does not belong, Don't shed a tear; for all the pain that's gone,Create a new;from the wisdom of the past, Open your heart wider, as storms do not last.
Nico Tortorella|For many years, I have lived uncomfortably with the belief that most planning and architectural design suffers for lack of real and basic purpose. The ultimate purpose, it seems to me, must be the improvement of mankind.
Linda Winfree|I was brought up to think that women were inhibited, but they sure are not with me. I guess I am lucky or there is something about me that makes them feel totally comfortable, open, and expressive. I don’t mind; it feels good and the rest unfolds naturally.
itsnaini|10Sometimes life is getting so complicated; yet you have to STAND UP gallantly and SURVIVE your life. Allah has written your ENDING GOAL, and he wants you to do your BEST for getting His blessing.
Marianne Williamson, A Return to Love: Reflections on the Principles of "A Course in Miracles"|Perfectionism, of course, was something which even as a young man he had come to see as the innermost essence of talent.
Samuel Richardson, Pamela; or, Virtue Rewarded|I will be a Friend to you, and you shall take care of my Linen
Linda Gaine|A brain the size of a pea, cannot achieve what a brain the size of a melon can!!
Jennifer Brown, Thousand Words|And how many hours a day did you do lessons?' said Alice, in a hurry to change the subject.Ten hours the first day,' said the Mock Turtle: 'nine the next, and so on.'What a curious plan!' exclaimed Alice.That's the reason they're called lessons,' the Gryphon remarked: 'because they lessen from day to day.
Alec Baldwin|Our deeds still travel with us from afar, and what we have been makes us what we are.
Paul Ryan|When people talked about protecting their privacy when I was growing up, they were talking about protecting it from the government. They talked about unreasonable searches and seizures, about keeping the government out of their bedrooms.
Phil Collins|In learning you will teach, and in teaching you will learn.
Banana Yoshimoto, Asleep|I never tell my boyfriend that I'm busy when I'm not. No matter how effective they are, cheap techniques like that just don't agree with me. So it's always okay, it's always all right. In my opinion the surest way to hook a man is to be as open with him as possible.
Pamela Ribon, You Take It From Here|I should have learned my lesson from Greek myths, really. It so doesn't pay to fall in love with a god. It’s either you get transformed – flower, bull, you name it, the gods can be that petty – or you just get…crushed.
Saul Bellow|I've always believed that the only defeats and victories that matter in life are those you lose or win alone, against yourself.
Kanye West|Unbreakable, would you thought they called me Mr. GlassLook back on my life like the ghost of Christmas pastToys R Us where I used to spend that Christmas cashAnd I still won't grow up, I'm a grown ass kidSwear I should be locked up for stupid shit that I didBut I'm a champion, so I turned tragedy to triumphMake music that's fire, spit my soul through the wire
Pope Francis|I hate the unfairness of injustice. Anybody who thinks they are better than others or 'chosen' or feel they have an entitlement... be it through monarchy, government or money. I think we are all born the same. We are entitled to an equal shot at life.
Maggie Stiefvater, The Raven Boys|We were a bit like bacon and eggs, where y'know, the chicken is involved, but the pig is really committed? I totally gave myself to it just as we promised, "for better or worse", and you didn't see it like that.
Jason Langella|If you don't appreciate your customers, someone else will.
Charles M. Blow, Fire Shut Up in My Bones|When a falsehood is coveted long enough, it becomes the truth that sustains its own existence.
John Piper, Don't Waste Your Life Study Guide|If you live gladly to make others glad in God, your life will be hard, your risks will be high, and your joy will be full.
Carlton D. Pearson, God Is Not a Christian, Nor a Jew, Muslim, Hindu...: God Dwells with Us, in Us, Around Us, as Us|When I deeply look at a pious, I see no affection but fear; and when I look at an atheist, I see no fear but conceit!
Christopher Moore, Lamb: The Gospel According to Biff, Christ's Childhood Pal|If you are going to do that, would you mind not jostling the bed so much?' came a sarcastic voice near the head board. 'Perhaps you could roll around on the floor.
Annie Besant|One of the big questions in the climate change debate: Are humans any smarter than frogs in a pot? If you put a frog in a pot and slowly turn up the heat, it won't jump out. Instead, it will enjoy the nice warm bath until it is cooked to death. We humans seem to be doing pretty much the same thing.
Brandon Sanderson, Firefight|Darker the hell, darker the life...darker the death, darker the fear..." the painter's left-hand fingers where drenched in black color, which he kept on scrolling on white paper until he made a... "Raven...darkest like hell and life...raven darkest like fear and death...raven...nevermore
Cassandra Clare, City of Glass|Some people seem to fade away but then when they are truly gone, it's like they didn't fade away at all.
Peggy Noonan|Ay,sir;to be honest,as this world goes,is to be one man picked out of ten thousand.
Khaled Hosseini|Birds are sensitive to mispronunciation, even more sensitive than the French.
Anthony Hopkins|There isn't, even now, a great tradition of novel-writing in Afghanistan. Most of the literature is in the form of poetry.
Revaz Eristavi|It is incumbent upon us to do what we can, even if we cannot do much.
Kurt Vonnegut Jr., Mother Night|Our doubts are traitors, and make us lose the good we oft might win, by fearing to attempt.
Guy Laliberte|There is nothing like a live performance. You can look at things on television, and you can look at things on YouTube, but when you get in a room full of people and you say one joke, and everyone's laughing at the same thing, it's a really great experience.
Scott Stossel, My Age of Anxiety: Fear, Hope, Dread, and the Search for Peace of Mind|Individuals who rate high on the so-called Anxiety Sensitivity Index, or ASI, have a high degree of what's known as interoceptive awareness, meaning they are highly attuned to the inner workings on their bodies, to the beepings and bleatings, the blips and burps, of their physiologies; they are more conscious of their heart rate, blood pressure, digestive burblings, and so forth than other people are.
Bhanu Kapil|It is psychotic to draw a line between two places.It is psychotic to go.It is psychotic to look.Psychotic to live in a different country forever.Psychotic to lose something forever.The compelling conviction that something has been lost is psychotic.Even the aeroplane's dotted line on the monitor as it descends to Heathrow is purely weird ambient energy.It is psychotic to submit to violence in a time of great violence and yet it is psychotic to leave that home or country, the place where you submitted again and again, forever. Indeed, it makes the subsequent involuntary arrival a stressor for psychosis.
Kat Lahr, Parallelism Of Cyclicality|When it comes to society and human consciousness, Darwinism still exists in its primal message.
M.F. Moonzajer|Here's lumbos. Where misties swaddlum, where misches lodge none, where mystries pour kind on, O sleepy! So be yet!
Akshay Vasu|They burnt down the whole palace and they laughed menacingly. The shadows of the dreams and memories they burnt alive walked all over the ruins, trying to hold on to the charred pieces of their body.
Coco J. Ginger|A WISHSometimes I wish that he will liveand I will see him.But mostly I wish that he will die, and take my memories with him.
F. Scott Fitzgerald, The Beautiful and Damned|Imagine the universe is like this cloth.” Philippos said, lifting up an old rag off the ground. “There are thousands of tiny threads woven in tiny, little patterns. If you follow one thread it will lead you to the end, but also you’ll see that more threads are connected to it. What if you decide to follow another? Where would that lead you? And if you cut one thread, what would happen to the cloth then? Would it fray until it fell apart? Or would it just change pattern?” he paused thoughtfully. “Wielders like you can see those possibilities. You can follow the threads and see where they begin and end, where and how they connect with everything else and what might happen if something changes along the way.
Shannon L. Alder|Sometimes, the people that love you the most turn out to be the people you will trust the least.
Felix Frankfurter|Brilliant people never think of the lives they smash, being brilliant.
Amir Sheykhi|to always staying on top of the tables, you have to act like a champion.
Daron Acemoglu, James Robinson|...poor countries are poor because those who have power make choices that create poverty. They get it wrong not by mistake or ignorance but on purpose. To understand this, you have to go beyond economics and expert advice on the best thing to do and, instead, study how decisions actually get made, who gets to make them, and why those people decide to do what they do.
Virginia Vayna|Some people say it's easy to lie. This may be true for them, but the hard part is remembering the lie because a lie has no memory.
Haruki Murakami, 1Q84|It's not so easy for people to end their own lives. It's not like in the movies. There, they do it like nothing, no pain, and it's all over, they're dead. The reality is not like that. You lie in bed for ten years with the piss oozing out of you.
Matshona Dhliwayo|Wolves travel in packs, but the fiercest travel alone.
Confucius|Wherever you go, go with all your heart.
Warren Ellis|Writing comics? Still the best job in the world. I sit around all day making shit up and see it illustrated, in 99% of cases, exactly as I imagined it -- if not better. I've been doing this a long time now, and I'm going to do it until I die. Which probably won't be long, given the constant insane deadline pressure.
Bangambiki Habyarimana, Pearls Of Eternity|Life has no map; it's made of random events, always caused by something beyond your control.
Mara Dabrishus, Stay the Distance|When the striped pole slips by I slide low in the saddle and give Kali room to go. One moment she's bottled up, and the next she's a stream of copper, her chestnut mane smacking me hard in the face while her strides lengthen and everything becomes a droning rumble of hooves and wind.
Stieg Larsson, The Girl Who Kicked the Hornet's Nest|History is reticent about women who were common soldiers, who bore arms, belonged to regiments, and took part in battles on the same terms as men, though hardly a war has been waged without women soldiers in the ranks.
A.H. Septimius, Crowns Of Amara: The Return Of The Oracle|If their social institutions were abhorrent, their unwritten constitution bordered upon the absurd. The absolutist monarchs of the ancient kingdoms of Amara looked with detestation at the Shazarian constitutional monarchy. Yet this was no time to demonstrate loathing of the upstart nation; condescension could wait until after Sixto had been defeated.
Anouska Hempel|I spent many a summer early morning with the radio very low, half sleeping and half listening.
Pema Chödrön, When Things Fall Apart: Heart Advice for Difficult Times|The first noble truth of the Buddha is that when we feel suffering, it doesn’t mean that something is wrong. What a relief. Finally somebody told the truth. Suffering is part of life, and we don’t have to feel it’s happening because we personally made the wrong move. In reality, however, when we feel suffering, we think that something is wrong. As long as we’re addicted to hope, we feel that we can tone our experience down or liven it up or change it somehow, and we continue to suffer a lot.
Dada Bhagwan|When a person’s debt increases a lot, at first he will feel he wants to pay it all back, later he will think, ‘Why give back?’ That spoils from within. We should not sign from within.
