Kemi Sogunle|You cannot be a light to others or yourself, if you have dark intentions in your heart.
Sunday Adelaja|Whatever God blesses you, enjoy with all gladness.
Johanna Harris, Use Protection: An Employee's Guide to Advancement in the Workplace|Just as a CEO could care less about pay equity, the university administrator is unconcerned with how many of her program graduates secure employment of any particular quality.
Billy Graham, Billy Graham in Quotes|The deepest problems of the human race are spiritual in nature. They are rooted in man’s refusal to seek God’s way for his life. The problem is the human heart, which God alone can change.
Christina Rossetti, Poems of Christina Rossetti|Ah me, but where are now the songs I sangWhen life was sweet because you call’d them sweet?
Jim Butcher, Ghost Story|If one chooses sides on emotion then the rebel is the guy to go with. He is fighting for everything men claim to honour, freedom, independance, truth, the right.......all the subjective illusions. All the eternal trigger words. We are minions of the villan of the piece. We confess the illusion and deny the substance.
Sue Fitzmaurice|If we really are spiritual beings living a physical existence, then we have incredible power.
Michael Chabon, The Yiddish Policemen's Union|It never takes longer than a few minutes, when they get together, for everyone to revert to the state of nature, like a party marooned by a shipwreck. That's what a family is. Also the storm at sea, the ship, and the unknown shore. And the hats and the whiskey stills that you make out of bamboo and coconuts. And the fire that you light to keep away the beasts.
Steve Maraboli, Unapologetically You: Reflections on Life and the Human Experience|There is nothing better for your family than for you to be at your best, for you to be at your own peace, for you to be showing them in every way who you are, and what you stand for.
John Barth, Lost in the Funhouse|Overeating is the addiction of choice of carers, and that's why it's come to be regarded as the lowest-ranking of all the addictions. It's a way of fucking yourself up while still remaining fully functional, because you have to. Fat people aren't indulging in the "luxury" of their addiction making them useless, chaotic, or a burden. Instead, they are slowly self-destructing in a way that doesn't inconvenience anyone. And that's why it's so often a woman's addiction of choice. All the quietly eating mums. All the KitKats in office drawers. All the unhappy moments, late at night, caught only in the fridge light.
Efrat Cybulkiewicz|The thing Lady didn't get, or the thing she'd forgotten, was that being a child was painful too. She was so wrapped up in losing Seth, the treacheries of him growing up, that she couldn't remember what it felt like to be on the other side. The burden of that. Sure, Seth had left her womb and never returned, but he was the one who had to do the leaving.
Mary Doria Russell, Children of God|...trust in God could impose an additional burden on good people slammed to their knees by some senseless tragedy. An atheist might be no less staggered by such an event, but nonbelievers often experienced a kind of calm acceptance: shit happens, and this particular shit happened to them. It could be more difficult for a person of faith to get to his feet precisely because he had to reconcile God's love and care with the stupid, brutal fact that something irreversibly terrible had happened.
Leslie Kelly, SEAL of My Dreams|Everything that she valued had come to her through change, and through change she would one day lose everything. All except honor.
Robert Lynd|The universe is a trillion, trillion threads moving in seemingly unrelated directions. Yet when you look at them together, they create a remarkable tapestry.
