P.C. Cast|Damien has died and gone straight to gay boy heaven,' Shaunee said...
Debasish Mridha|The more you get lost in love, the more love you will find to enjoy and appreciate.
Walter Mosley, When the Thrill Is Gone|Blood may be thicker than water, but family has them both beat.
Phil Robertson|Although oyster mushrooms have been studied extensively and support health in a number of ways, it is also extremely important to always cook oyster mushrooms!
Mark Haddon, The Curious Incident of the Dog in the Night-Time|Then he asked if I didn’t like things changing. And I said I wouldn’t mind things changing if I became an astronaut, for example, which is one of the biggest changes you can imagine, apart from becoming a girl or dying.
Jane Austen, Emma|but a sanguine temper, though for ever expecting more good than occurs, does not always pay for its hopes by any proportionate depression. it soon flies over the present failure, and begins to hope again.
Fakeer Ishavardas|I had an enemy - myself. Getting rid of the ego-self, in came the Self. Now, here, there, everywhere is nothing else. Just One Self.
Jacqueline Francis - The Journal|It took me a long time and a lot of heartache to realize that just because you love someone, doesn’t mean they deserve it.
Anonymous|He has one in a million chance of being with her, yet he dreams about that single chance every night.
Keith A. Mathison, Postmillennialism|Finally, it is wrong to say that "nothing" is more basic to the identity of the church than suffering. Nothing is more basic to the identity of the institutional church than the preaching of the gospel, the correct administration of the sacraments, and the worship of God in Spirit and in truth (Westminster Confession of Faith, 25.4). Nothing is more basic to the identity of the individual Christian than faith, hope, obedience, and love, the fruit of the Spirit (cf. 1 Cor. 13:4-13; Gal. 5:22-24; 1 John 2:3; 3:10, 24; 4:7-21; 5:1-3).
Dennis Prager, Think a Second Time|If [a man] spent his money, say, in giving parties for his friends, they (we may hope) would get pleasure, and so would all those upon whom he spent money, such as the butcher, the baker, and the bootlegger. But if he spends it (let us say) upon laying down rails for surface cars in some place where surface cars turn out not to be wanted, he has diverted a mass of labor into channels where it gives pleasure to no one. Nevertheless, when he becomes poor through failure of his investment he will be regarded as a victim of undeserved misfortune, whereas the gay spendthrift, who has spent his money philanthropically, will be despised as a fool and a frivolous person.
Elora Bishop, Braided: A Lesbian Rapunzel|It's in my blood, as magic is in yours." His mouth is still smiling, but his tone is somber. "I couldn't stop writing even if I wanted to.
Kathryn Minshew|Perfect heroes are cool, but no one can really empathize or identify with them.
Kele Moon, Finding Eden|S and M is only the expression in the bedroom of an oppressive-submissive relation which can happen also in the kitchen or at the factory, can happen between people of any gender. There is obviously something titillating about these relationships, but it isn't the sexual components that makes them ugly, they're uglier elsewhere. Nothing sexual is depraved. Only cruelty is depraved, and that's another matter.
Kōji Suzuki, Spiral|There was no more meaningless phrase in all of language than "Cheer up!" The only way to get someone to cheer up was to help them forget, and saying "cheer up" had quite the opposite effect, only reminding the person why he or she was depressed in the first place.
