Ivan Goncharov, Oblomov|In the bitter waves of woe, Beaten and tossed about By the sullen winds that blow From the desolate shores of doubt,­­ When the anchors that faith had cast Are dragging in the gale, I am quietly holding fast To the things that cannot fail: In the darkest night of the year,  When the stars have all gone out,  That courage is better than fear,  That faith is truer than doubt; And fierce though the fiends may fight,  And long though the angels hide, I know that Truth and Right Have the universe on their side; And somewhere, beyond the stars, Is a Love that is better than fate; When the night unlocks her bars I shall see Him, and I will wait
Ali ibn Abi Talib|The moment you start arguing with an ignorant fool, you have already lost.
Virginia Alison|Souls do not break neither do hearts. Ravaged by time, they continue living within us and it is our choice whether to remove the walls of self preservation that we build as protection or to hide behind them and remain hardened within our comfort zone.Life is precious, giving it your all is preferable to withering and dying even before you fall off this mortal coil.
Gwen Stefani|That's what we were exploring on 'Larry Sanders' - the human qualities that have brought us to where we are now in the world: the addiction to needing more and wanting more and talking more. We were examining the labels put on success - is it successful to be on TV every day, to be famous, to have a paycheck?
Veronica Roth, Summer Days and Summer Nights: Twelve Love Stories|Each day is new, but our lives shall be old in each new day if we fail to understand why each day is new.
Patrick Rothfuss, The Name of the Wind|I felt no shame in these activities, because I understood what almost no one else seemed to grasp: that there was only an infinitesimal difference, a difference so small that it barely existed except as a figment of the human imagination, between working in a tall green glass building on Park Avenue and collecting litter in a park. In fact, there may have been no difference at all.
Francesca Lia Block, Weetzie Bat|Weetzie could see him--it was a man, a little man in a turban, with a jewel in his nose, harem pants, and curly-toed slippers. "Lanky Lizards!" Weetzie exclaimed."Greetings," said the man in an odd voice, a rich, dark purr."Oh, shit!" Weetzie said."I beg your pardon? Is that your wish?
C. JoyBell C.|The most fundamental, basic need in magick, is the development of the will. The magus says, “I will, and not heaven nor hell can stop me.” It is in this forming and growing, creating, of the will, where heaven and hell learns to follow the will of the magus. A person who wants to develop the soul must never say, “Maybe” or “If I see a sign” because the master creates his own signs. If you need a star to align in front of a tree because that to you would be a sign, then you make the star align with the tree, if not in this world, in the other worlds and in the other dimensions. There are no “ifs” and there are no “maybes” there are only “I wills.” This is the basic platform of magick, and most people never get past it, because not all can.
Lance Conrad, The Price of Nobility|My character is beyond your every thought, and I'm different from your every character.
Jody Cantrell Dyer, The Eye of Adoption: The True Story of My Turbulent Wait for a Baby|But I don't think any parent can expect to escape this life without disappointing his child at some point. And the same could be said the other way around. We all of us fall short now and again, and disappoint someone dear to us, or ourselves. Thankfully, my parents have always been the forgiving sort.
Mary Doria Russell, The Sparrow|She was alone and destitute in a world of pointless carnage. By an eight-hundred-year-old Sepahrdic tradition she ad been since the age of twelve and a half "bogeret l'reshut nafsha"--an adult wit authority over her own soul. The Torah taught, Choose life. And so, rather than die of pride, Sofia Mendes sold what she had to sell, and she survived.
kerry H Robinson|When men start affording more rights to women, maybe we'll be nicer to the ones we don't like. But for now, I know that I myself am too busy trying to preserve my rights and faculties to take care of a man's fragile ego.
Bob Kerrey|Unexpected kindness is the most powerful, least costly, and most underrated agent of human change.
Carter G. Woodson|I don't have any blindness when it comes to my money. As an actor, you can get distracted by your work. I do keep an eye on my nest egg, if you will.
Joseph Campbell, Thou Art That: Transforming Religious Metaphor|Is the god the source, or is the god a human manner of conceiving of the force and energy that supports the world? In our tradition God is a male. This male and female differentiation is made, however, within the field of time and space, the field of duality. If God is beyond duality, you cannot say that God is a "He." You cannot say God is a "She." You cannot say God is an "It." (18)
Elizabeth Bard, Lunch in Paris: A Love Story, with Recipes|There was something horribly depressing, she felt, about watching the weather report. That life could be planned like the perfect summer picnic drained it of spontaneity.
Lawren Leo, Spell to Attract Excitement|The secret to excitement is discovering new paths, and having the courage to take them.
Orson Scott Card, Xenocide|When you have wisdom that another person knows that he needs, you give it freely. But when the other person doesn't yet know that he needs your wisdom you keep it to yourself. Food only looks good to a hungry man.
Smiley Blanton|Every time you empty your vessel of that energy, fresh new energy comes flooding in.
Jason Myers, Dead End|Blame the economy, blame bad luck, blame my parents, blame your parents, blame the Internet, blame people who use the Internet.
Thom Mayne|If you get asteroids about a kilometer in size, those are large enough and carry enough energy into our system to disrupt transportation, communication, the food chains, and that can be a really bad day on Earth.
Carrie Ryan, The Dark and Hollow Places|The strong survive, but the courageous triumph.
Sue Fitzmaurice|The longer you blame the mirror, the longer you throw away the power to change what it is reflecting.
Simone Weil|There is something else which has the power to awaken us to the truth. It is the works of writers of genius. They give us, in the guise of fiction, something equivalent to the actual density of the real, that density which life offers us every day but which we are unable to grasp because we are amusing ourselves with lies.
Alfred Nobel|The capital ... shall form a fund, the interest of which shall be distributed annually as prizes to those persons who shall have rendered humanity the best services during the past year. ... One-fifth to the person having made the most important discovery or invention in the science of physics, one-fifth to the person who has made the most eminent discovery or improvement in chemistry, one-fifth to the one having made the most important discovery with regard to physiology or medicine, one-fifth to the person who has produced the most distinguished idealistic work of literature, and one-fifth to the person who has worked the most or best for advancing the fraternization of all nations and for abolishing or diminishing the standing armies as well as for the forming or propagation of committees of peace.
John White|I caught one last glimpse of her face, howling something at me.There were too many vowels in what she said, and they were in an unkind order. ("Substitutions")
Sue Monk Kidd, The Dance of the Dissident Daughter|The symbol of Goddess gives us permission. She teaches us to embrace the holiness of every natural, ordinary, sensual dying moment. Patriarchy may try to negate body and flee earth with its constant heartbeat of death, but Goddess forces us back to embrace them, to take our human life in our arms and clasp it for the divine life it is - the nice, sanitary, harmonious moment as well as the painful, dark, splintered ones.If such a consciousness truly is set loose in the world, nothing will be the same. It will free us to be in a sacred body, on a sacred planet, in sacred communion with all of it. It will infect the universe with holiness. We will discover the Divine deep within the earth and the cells of our bodies, and we will lover her there with all our hearts and all our souls and all our minds.
Fulton J. Sheen|The financial markets are not to be trusted. They expect to be given free reign to make huge profits while the sun is shining, but hasten to the shelter of the state when the skies darken.
Brian K. Vaughan, Y: The Last Man - The Deluxe Edition Book Four|I return one last time to the places of death all around us, the places of slaughter to which, in a huge communal effort, we close our hearts. Each day a fresh holocaust, yet, as far as I can see, our moral being is untouched. We do not feel tainted. We can do anything, it seems, and come away clean.We point to the Germans and Poles and Ukrainians who did and did not know of the atrocities around them. We like to think they were inwardly marked by the after-effects of that special form of ignorance. We like to think that in their nightmares the ones whose suffering they had refused to enter came back to haunt them. We like to think they woke up haggard in the mornings and died of gnawing cancers. But probably it was not so. The evidence points in the opposite direction: that we can do anything and get away with it; that there is no punishment.
Madeleine L'Engle|The room rang with her voice, then with silence. In the shaded darkness, silence had the quality of a looming dragon. It seemed to roar and the roar to reverberate, to dominate. To escape from it would require a burst of recklessness, even cruelty.
Nina Boddin|She is beautiful like an angel, charming like a fairy and sweet like honey.
Abbe Pierre|Women of the working class, especially wage workers, should not have more than two children at most. The average working man can support no more and and the average working woman can take care of no more in decent fashion.
Tadao Ando|When you take away the phone and e-mail and you don't have a million things to run around to, it allows your mind the space to think more expansively about the things that matter.
John Hench|Communication is paramount, and what medium or what format you utilize should be a non-issue. In some respects, that has created a barrier for new media, especially web new media, because often times maybe the media itself comes before the concept, before the ideas, and ends up navigating or dictating the outcome.
David Cronenberg, Consumed|We can’t worry about meaning. Ari proposed to us that meaning is a consumer item. Some people manufacture it through religion, philosophy, nationhood, politics, and some people buy it. But an artist is not a manufacturer.
John Green, The Fault in Our Stars|For one who reads, there is no limit to the number of lives that may be lived, for fiction, biography, and history offer an inexhaustible number of lives in many parts of the world, in all periods of time.
Stacy Buck, Squanto Undead: Wake the Undead Part 2|I think you’re the only person I know who gets excited over these dead things.”Freya returned his smile with her own grin and let the crossbow in her hands rest against her hip. “If you don’t think they’re even the teensiest bit fascinating, then you best just stay home and let me and Darius do the fun stuff for once.
