S.A. Tawks, Misadventurous|Now comes the hard part. Peyton, Peyton, Peyton. Just say Peyton.
Tony DiTerlizzi|If you don't have any fight in you, you might as well be dead.
Abhijit Naskar, The Bengal Tigress: A Treatise on Gender Equality|Beauty is an illusion, created by Mother Nature to drive the human species in the path of reproduction. In reality, beauty is irrelevant to human life, especially in a relationship. What you today perceive as beautiful and special, over time, becomes not so special. That’s how the human brain works. It is not beauty that keeps a relationship alive, it is attachment. Without attachment, a naked body is merely a lifeless sex toy.
Christina Perri|Society's dark hull drifts further and further away. It is this place - the place of our separation, our distinction - that much of his poetry occupies.
Sunday Adelaja, The Mountain of Ignorance|A person who falsely believes he or she is knowledgeable will not seek out clarification of his or her beliefs, but rather rely on his or her ignorant position.
Debasish Mridha|To change the world, change yourself first.
Judith Butler, Undoing Gender|Democracy does not speak in unison; its tunes are dissonant, and necessarily so. It is not a predictable process; it must be undergone, as a passion must be undergone. It may also be that life itself becomes foreclosed when the right way is decided in advance, or when we impose what is right for everyone, without finding a way to enter into community and discover the "right" in the midst of cultural translation. It may be that what is "right" and what is "good" consist in staying open to the tensions that beset the most fundamental categories we require, to know unknowingness at the core of what we know.
Nathaniel Hawthorne|It is not good for man to cherish a solitary ambition. Unless there be those around him, by whose example he may regulate himself, his thoughts, desires, and hopes will become extravagant, and he the semblance, perhaps the reality, of a madman
Anita Roddick|Prosperous farmers mean more employment, more prosperity for the workers and the business men of every industrial area in the whole country.
Virginia Postrel|I've had years of psychiatry, and I ask about every six months - it's sort of like getting your oil checked - I ask, 'I'm not an actual narcissist, am I?' The learned men of psychiatry assure me that I meet none of the medical criteria.
Kevin Rollins|I attribute my success to my mental approach to the game. I have always been a serious student of umpiring. I enjoy studying rules, situations, and positioning.
Katherine McIntyre, Poisoned Apple|As the sky faded to night, her anger dissipated—but not in a healing way, just dulled, like forged iron sizzling in a cold pail of water.
James Turner|Of course, of course. Drugs, music, a new age dawning … and you came for an old book.
D.J. MacHale, The Light|At that moment, Oliver realized that home is not a place, but rather, the people who love you.
Arthur Schopenhauer|Qualsiasi uomo notevole, chiunque cioè non appartenga a quei 5/6 dell'umanità dotati tanto miseramente dalla natura, rimarrà dopo i quarant'anni difficilmente esente da una certa traccia di misantropia.
Kate McGahan, JACK McAFGHAN: Reflections on Life with my Master|Birds are the eyes of heaven, and flies are the spies of hell.
Michael Bassey Johnson|I may be deprived of eloquence, but my mind can never be a dumb.
Arthur Conan Doyle, A Study in Scarlet|It is a mistake to confound strangeness with mystery. The most commonplace crime is often the most mysterious because it presents no new or special features from which deductions may be drawn. This murder would have been infinitely more difficult to unravel had the body of the victim been simply found lying in the roadway without any of those outré and sensational accompaniments which have rendered it remarkable. These strange details, far from making the case more difficult, have really had the effect of making it less so.
Wayne Cordeiro|So long as breath remains in our lungs, untapped potential lies inside us, waiting to be released. The reason we are still alive is that we are carrying something inside us that this generation needs. That’s why we’re not yet in heaven.
Robert J. Allison, Before 1776: Life in the American Colonies|He glanced at her, musing on the wonder of a beautiful woman with a disagreeable personality.
Steve Albini|At first Christ was a man – nothing more. Mary was his mother, Joseph his father. The genealogy of his father, Joseph, was given to show that he was of the blood of David.Then the claim was made that he was the son of God, and that his mother was a virgin, and that she remained a virgin until her death.The claim was made that Christ rose from the dead and ascended bodily to heaven.It required many years for these absurdities to take possession of the minds of men.If he really ascended, why did he not do so in public, in the presence of his persecutors? Why should this, the greatest of miracles, be done in secret, in a corner?Is Christ our example? He never said a word in favor of education. He never even hinted at the existence of any science. He never uttered a word in favor of industry, economy or of any effort to better our condition in this world. He was the enemy of the successful, of the wealthy. Dives was sent to hell, not because he was bad, but because he was rich.Lazarus went to heaven, not because he was good, but because he was poor.Christ cared nothing for painting, for sculpture, for music – nothing for any art. He said nothing about the duties of nation to nation, of king to subject; nothing about the rights of man; nothing about intellectual liberty or the freedom of speech. He said nothing about the sacredness of home; not one word for the fireside; not a word in favor of marriage, in honor of maternity.He never married. He wandered homeless from place to place with a few disciples. None of them seem to have been engaged in any useful business, and they seem to have lived on alms.All human ties were held in contempt; this world was sacrificed for the next; all human effort was discouraged. God would support and protect. At last, in the dusk of death, Christ, finding that he was mistaken, cried out: “My God! My God! Why hast thou forsaken me?We have found that man must depend on himself. He must clear the land; he must build the home; he must plow and plant; he must invent; he must work with hand and brain; he must overcome the difficulties and obstructions; he must conquer and enslave the forces of nature to the end that they may do the work of the world.
Sergio Figueira Correia|Eternal Love,Distance is the salvation of my life, it is the magic of our love, thanks to that magic, I have finally learned to love you, from a distance. Go, but go far from me, I have a fear of losing you. Don't come close, please, do not destroy our love. I don't want to lose you. Distance has returned the love that was no longer there. Please don't ever return, because we've both discovered the essence of what we have. Distance will carry our love through eternity! Eternal love that only distance can keep alive.
Robyn Carr|How do you know?”“Well, I don’t, I’m making this up, but I bet I’m right.
Bruce Weigl|Power operates only destructively, bent always on forcing every manifestation of life into the straitjacket of its laws. Its intellectual form of expression is dead dogma, its physical form brute force.
Michael Bassey Johnson|Life is like a story, when all the resolution is resolved, you heave a sigh of relief.
Michael Chabon, Wonder Boys|The problem, if anything, was precisely the opposite. I had too much to write: too many fine and miserable buildings to construct and streets to name and clock towers to set chiming, too many characters to raise up from the dirt like flowers whose petals I peeled down to the intricate frail organs within, too many terrible genetic and fiduciary secrets to dig up and bury and dig up again, too many divorces to grant, heirs to disinherit, trysts to arrange, letters to misdirect into evil hands,innocent children to slay with rheumatic fever, women to leave unfulfilled and hopeless, men to drive to adultery and theft, fires to ignite at the hearts of ancient houses. 
Pope Francis|Truth is a relationship. As such, each one of us receives the truth and expresses it from within, that is to say, according to one's own circumstances, culture, and situation in life.
Teresa R. Funke, Bursts of Brilliance for a Creative Life blog|Our art is never really ours. Each person who experiences it brings to it a piece of themselves and reacts to it in ways that stem from their personal struggles, beliefs, morals, and even hang-ups.
Xavier Becerra|I have been chastised by a president, I have antagonized and angered presidents, and I have taken on my own leadership.
