Ruth Rendell|I think to be driven to want to kill must be such a terrible burden".
Erik Estrada|I went to Catholic school throughout my whole academic life. In fact, my children - my husband and I and our children in my own family now have over 100 years of Catholic education among us.
David Levithan, How They Met, and Other Stories|Mythology is a set of primitive lies that people rarely believe. This is rather different from history, which is a set of lies that people believe.
Michael Erard, Babel No More: The Search for the World's Most Extraordinary Language Learners|Why are there more male hyperpolyglots? One answer is that speaking a lot of languages is a geek macho thing (...) It seemed that a woman is less likely to say she "speaks" or "knows" a language if she studied it at some point in the past, while a man, wanting to display his giant repertoire, would include it.
Michael  Phelps|So many people along the way,whatever it is you aspire to do, will tell you it can't be done. But it all it takes is imagination. You dream. You plan. You reach. There will be obstacles. There will doubters. There will be mistakes. But with hard work, with belief, with confidence and trust in yourself and those around you, there no limits,
Sunday Adelaja|A person who knows spiritual principles will walk confidently in God’s path, to fulfil what God has already planned to do
Friedrich Nietzsche|The thing itself, the first thing, will never do us alone, we must be elaborating, improving, poeticising.
Dan Thompson, Following Whispers: Walking on the Rooftop of the World in Nepal's Himalayas|Travel is the discovery of truth; an affirmation of the promise that human kind is far more beautiful than it is flawed. With each trip comes a new optimism that where there is despair and hardship, there are ideas and people just waiting to be energized, to be empowered, to make a difference for good.
Lisa Kleypas, Mine Till Midnight|Rohan, one of us is an unmarried man with superior mathematical abilities and no prospects for the evening. The other is a confirmed lecher in an amorous mood, with a willing and nubile young wife waiting at home. Who do you think should do the damned account books?" And, with a nonchalant wave, St. Vincent had left the office.
Jaye Frances, The Kure|All cats are gray in the dark. And besides, her actions have less to do with her, and everything to do with you.
James Pritchert|It's not what you do, but what you appear to do.
Knute Rockne|Men are not punished for their sins, but by them.
Maya Angelou|I liked to write from the time I was about 12 or 13. I loved to read. And since I only spoke to my brother, I would write down my thoughts. And I think I wrote some of the worst poetry west of the Rockies. But by the time I was in my 20s, I found myself writing little essays and more poetry - writing at writing.
Nataša Nuit Pantović, Conscious Parenting: Mindful Living Course for Parents|If we wish to have a beautiful, peaceful and safe home, we need healthy expanding roots that go deep into the ground. These roots are our Routine, our Stability, our Structure.
Jill Shalvis|Pru had gotten under his skin, and like her, he wanted more. So much more. He wanted to know her secrets, the ones that sometimes put those shadows in her eyes. He wanted to know what made her tick. And more than anything, he wanted to taste her again.Every inch of her.
Siouxsie Sioux|For me, it was never a question of whether or not I was transgender. It was a question of what I'd be able to handle transitioning and having to do it in the public eye. One of the issues that was hard for me to overcome was the fear of that.
Emma Raveling, Breaking Measures|Death peeked around corners; it winked at her in the mirror then vanished; it hummed along with the radio and then faded away. It wheedled into her mind and her words, leaving a humid vapor around her heart and a thick fuzzy taste on her tongue.
J.J. Snow, Gunship|A beautiful woman belongs to everyone but an ugly one is yours alone” -Gunny Chang, Gunship
E.E. Cummings, Complete Poems, 1904-1962|love being such, or such,the normal corners of your heartwill never guess how muchmy wonderful jealousy is dark
Simon R. Green, Nightingale's Lament|There are any number of magical creatures, mostly female, whose singing can bring about horror and death. Sirens, undines, banshees, Bananarama tribute bands...
C.S. Lewis, Of Other Worlds: Essays and Stories|It dawned on her as she grew older, that fairy tales instilled false hopes in people, and that no white knights existed in this world. The mothers should be well aware of that aspect of reality, so why they fed their daughters with the same crap for centuries baffled her.
George A. Smith|As a civil rights leader, Mrs. King's vision of racial peace and nonviolent social change was a fortifying staple in advancing the civil rights movement.
William Glasser|To be depressed or neurotic is passive. It has happened to all of us; we are its victims, are we have no control over it.
Beem Weeks|The sky, with a single star, would be dark and boring. A million stars in the firmament makes for something wondrous and bright.
Adam Snowflake|So always avoid banality. That is, avoid illustrating the author's words and remarks. If you want to create a true masterpiece you must always avoid beautiful lies: the truths on the calender under each date you find a proverb or saying such as: "He who is good to others will be happy." But this is not true. It is a lie. The spectator, perhaps, is content. The spectator likes easy truths. But we are not there to please or pander to the spectator. We are here to tell the truth.
Will Rogers|The instant formal government is abolished, society begins to act. A general association takes place, and common interest produces common security.
Clare London, True Colors|Sam studied his brother. At one time he thought Frankie had a good head on his shoulders. Sure, he had a temper. And he was conceited. But he always used common sense. But now he wasn’t so sure if that were true. He had brought him his lifeless fiancé. Like a dog dragging in a dead rabbit looking for praise.
Milan Kundera, Ignorance|The Greek word for "return" is nostos. Algos means "suffering." So nostalgia is the suffering caused by an unappeased yearning to return.
Meredith Schorr, Just Friends With Benefits|Tess realized one of the great modern dating sadnesses: everyone is so used to the comforting glow of the computer screen that no one can go so far as to say "good morning" in public without being liquored up.
Kay Redfield Jamison, An Unquiet Mind: A Memoir of Moods and Madness|During Basic, sometimes you're so tired you can't even get up to piss. You're pushed beyond whatever limits you had set for yourself. You realize that your body can do things that you never imagined. But there are times when you don't think you can go on, and that's when your brother is there to lift you up and push you forward. He yells encouragement when the drill sergeant's yelling obscenities. You know that if you're ever caught by the enemy, your brothers will never stop looking for you. If you're hurt they'll help heal you. The Corps is a unit of many, not one, but dozens, thousands even, who have your back. You can smite one Marine, but a thousand will rose up to avenge him.
Alex Morgan|I've thought it would be cool to have a baby young. You know, be my road dog - like my dogs, they travel the world - but there's always something you have to give up for success. Everything comes at a cost. Just what are you willing to pay for it?
Sami Abouzid|I Cried in the Night For Love , my Heart was aching ,she was always on my mind ,day and night I couldn’t stop thinking of her , she was simply my eternal love ,my heart , my soul .
Toni  Jenkins|Wherever you walk, stand or sit, do it with self-confidence and be firmly convinced: I am a singer! Being tentative is one of the deadly theatre sins.
Sheeja Jose, Goodbye Girl|Well, let me try again,' he said. 'If it be true, and no doubt it is, that the proper study of mankind is man, it is also true that man is best studied in the books that he has written about himself; and all books, whatever their subject matter, are in essence autobiographical... Wherefore, it is clear - or is it? - that writers of books are what I have called them, the most fascinating people in the world.
Israelmore Ayivor, Leaders' Frontpage: Leadership Insights from 21 Martin Luther King Jr. Thoughts|The more you concentrate on what you discover that you will be good for you to pursue, the more experienced you will be while doing it.
Amit Ray|It's bad enough in life to do without something YOU want; but confound it, what gets my goat is not being able to give somebody something you want THEM to have.
Ovid|Although the gods were in the distant skies,Pythagoras drew near them with his mind;what nature had denied to human sight,he saw with his intellect, his mental eye.When he, with reason and tenacious care,had probed all things, he taught-- to those who gatheredin silence and amazement-- what he'd learnedof the beginnings of the universe,of what caused things to happen, and what istheir nature: what god is, whence come the snows,what is the origin of lightning bolts--whether it is the thundering winds or Jovethat cleave the cloudbanks-- and what is the cause of earthquakes, and what laws control the courseof stars: in sum, whatever had been hid,Pythagoras revealed.
Donna K. Childree|I will look after you and I will look after anybody you say needs to be looked after, any way you say. I am here. I brought my whole self to you. I am your mother.
Aprilynne Pike, Illusions|No - the light in Tamani's eyes was much more than a reflection. It was the fire that melted her anger and devestated her resolve, every single time she saw it.
Edgar Rice Burroughs, A Princess of Mars|And so, in silence, we walked the surface of a dying world, but in the breast of one of us at least had been born that which is ever oldest, yet ever new.I loved Dejah Thoris. The touch of my arm upon her naked shoulder had spoken to me in words I would not mistake, and I knew that I had loved her since the first moment my eyes had met hers that first time in the plaza of the dead city of Korad.
Ray Bradbury, Zen in the Art of Writing|There's no rule for better writing. It's best to make your own rules, and see what works best for you.
Patrick Weekes, The Prophecy Con|The good die when they should live, the evil live when they should die; heroes perish and cowards escape; noble efforts do not succeed because they are noble, and wickedness is consumed in its own nature. Looking at truth is not at first a heartening experience--it becomes so, if at all, only with time, with infinite patience, and with the luck of a little personal happiness.
John McPhee, Encounters with the Archdruid|I'm addicted to the entire planet. I don't want to leave it. I want to get down into it. I want to say hello. On the beach, I could have stopped all day long and looked at those damned shells, looked for all the messages that come not in bottles but in shells...
Noam Chomsky|Will we ever see his like again? It is doubtful. But at least for a brief moment in time we were lucky to have him as one of our own: an English lionheart who was the terror of the continent, who earned the love and respect of everyone who had the privilege to see him in action and above all was a thoroughly decent hero of whom we can be proud. Rest in peace 'Big Dunc'. Your feats will echo in eternity.
