Paolo Bacigalupi, The Water Knife|Jesus walked on water, so maybe he makes aquifers, too.
Lindsey Stirling|While my body might say, "I'm small and vulnerable," my hair warns, "DON'T MESS WITH ME.
Marshall Nicholas Rosenbluth|As for karma itself, it is apparently only that which binds "jiva" (sentience, life, spirit, etc.) with "ajiva" (the lifeless, material aspect of this world) - perhaps not unlike that which science seeks to bind energy with mass (if I understand either concept correctly). But it is only through asceticism that one might shed his predestined karmic allotment.I suppose this is what I still don't quite understand in any of these shramanic philosophies, though - their end-game. Their "moksha", or "mukti", or "samsara". This oneness/emptiness, liberation/ transcendence of karma/ajiva, of rebirth and ego - of "the self", of life, of everything. How exactly would this state differ from any standard, scientific definition of death? Plain old death. Or, at most, if any experience remains, from what might be more commonly imagined/feared to be death - some dark perpetual existence of paralyzed, semi-conscious nothingness. An incessant dreamless sleep from which one never wakes? They all assure you, of course, that this will be no condition of endless torment, but rather one of "eternal bliss". Inexplicable, incommunicable "bliss", mind you, but "bliss" nonetheless. So many in the realm of science, too, seem to propagate a notion of "bliss" - only here, in this world, with the universe being some great amusement park of non-stop "wonder" and "discovery". Any truly scientific, unbiased examination of their "discoveries", though, only ever seems to reveal a world that simply just "is" - where "wonder" is merely a euphemism for ignorance, and learning is its own reward because, frankly, nothing else ever could be. Still, the scientist seeks to conquer this ignorance, even though his very happiness depends on it - offering only some pale vision of eternal dumbfoundedness, and endless hollow surprises. The shramana, on the other hand, offers total knowledge of this hollowness, all at once - renouncing any form of happiness or pleasure, here, to seek some other ultimate, unknowable "bliss", off in the beyond...
Lailah Gifty Akita, Pearls of  Wisdom: Great  mind|Never waste your energy to dwell on the past failures and mistakes.May you find renewed energy, courage and hope to pursue new adventures.
Robin McKinley, Spindle's End|(There was an idea much beloved and written about by this country’s philosophers that magic had to do with negotiating the balance between earth and air and water; which is to say that things with legs or wings were out of balance with their earth element by walking around on feet or, worse, flying above the earth in the thin substance of air, obviously entirely unsuitable for the support of solid flesh. The momentum all this inappropriate motion set up in their liquid element unbalanced them further. Spirit, in this system, was equated with the fourth element, fire. All this was generally felt to be a load of rubbish among the people who had to work in the ordinary world for a living, unlike philosophers living in academies. But it was true that a favourite magical trick at fetes was for theatrically-minded fairies to throw bits of chaff or seed-pods or conkers in the air and turn them into things before they struck the ground, and that the trick worked better if the bits of chaff or seed-pods or conkers were wet.)Slower creatures were less susceptible to the whims of wild magic than faster creatures, and creatures that flew were the most susceptible of all. Every sparrow had a delicious memory of having once been a hawk, and while magic didn’t take much interest in caterpillars, butterflies spent so much time being magicked that it was a rare event to see ordinary butterflies without at least an extra set of wings or a few extra frills and iridescences, or bodies like tiny human beings dressed in flower petals. (Fish, which flew through that most dangerous element, water, were believed not to exist. Fishy-looking beings in pools and streams were either hallucinations or other things under some kind of spell, and interfering with, catching, or—most especially—eating fish was strictly forbidden. All swimming was considered magical. Animals seen doing it were assumed to be favourites of a local water-sprite or dangerously insane; humans never tried.)
James Patterson, School's Out—Forever|It's funny how different people are. If I'd been this kid and someone was snarling "Ordering a pizza?" at me, without even thinking, I would have snarled back "Yeah. You want pepperoni?"-Maximum Ride
Henri Nouwen|True friendship is a plant of slow growth, and must undergo and withstand the shocks of adversity, before it is entitled to the appellation.
Archibald Marwizi, Making Success Deliberate|If you want to know the real reasons behind that attitude, think of the thought behind that attitude
Robert M. Gates|Whether it was his ability to turn around the Massachusetts economy or turn around businesses in the private sector, Mitt Romney has demonstrated the leadership that we need in the White House to get the country on the right track.
Barry Lyga, I Hunt Killers|Blood is thicker than water,"The young man saidAs he knifed his friendFor a drooling old bitchAnd a house full of lies.
Alin Sav|Leaders walk by faith, managers walk alone.
