Matthew Syed|If you list down whatever you didn’t get to do, then whatever you did won’t feel like it mattered.
Debbie Reynolds|Growing up, when I was younger, I didn't feel all that tough or smart or strong. As I got older, I was able to discover my own strength.
Arika Stone, The Sanctuary|Have you ever heard about string theory? Everything is tied together, works together, shrinks, expands, and breathes together. Maybe we're on the same string, baby. We're right beside each other. We're the same thing." His mouth takes mine. He pulls away. "My blood, your blood..." Another kiss...his voice hot on my cheek. "One day I tried to calculate the odds of how we met. The odds of February 14. There are no odds. For us, there are no odds because it isn't chance." - Kellan
Jennifer Elisabeth, Born Ready: Unleash Your Inner Dream Girl|Please… Whoever you are, whatever you are… I believe in you even though I don’t completely understand you. I feel you around me even though I can’t exactly describe what I’m feeling. Sometimes things happen to me and I know that you’re there and I’m humbled by the lack of coincidence that exists in the world. Whatever you want from me, it’s yours — just please help me. You know how I get when I lose control, and I find myself constantly being pulled back there these days.
Leo Tolstoy, War and Peace|But all these hints at foreseeing what actually did happen on the French as well as on the Russian side are only conspicuous now because the event has justified them. If the event had not come to pass, these hints would have been forgotten, as thousands and millions of suggestions and supposition are now forgotten that were current at the period, but have been shown by time to be unfounded and so have been consigned to oblivion.
Dana Arcuri, Harvest of Hope: Living Victoriously Through Adversity|Since defeat in the Struggle must always be envisaged, the preparation of one's own successors is as important as what one does for victory.
Ikechukwu Joseph, Discovering Yourself|You have only 3 days-yesterday is won or lost-today is just with you.Tomorrow you have not.Act now, unlock your potentials
Susan C. Young, The Art of Action: 8 Ways to Initiate & Activate Forward Momentum for Positive Impact|To cultivate bravery and courage, interview brave people and learn their secrets.Whom do you know that displays courage and confidence? Ask them for their best practices, mimic their actions, follow their steps, utilize their methods. Ask if they will mentor you.
J.K. Rowling, The Casual Vacancy|She had a way of moving that moved him as much as music, which was what moved him most of all. Surely the spirit animating that pearless body must be unusual too? Why would nature make a vessel like that, if not to contain something still more valuable?
Aaron Lauritsen, 100 Days Drive: The Great North American Road Trip|Without struggle, success has no value.
Cindy Gerard, Into the Dark|Amy, listen to me. What I do. The choices I make. They're mine. Only mine. The consequences of those decisions—mine."Mine," he repeated when she sighed heavily. "No one else's."Silence. Only the warm wetness of her tears dampening his shirt.It broke his heart.
Jodi Picoult, Nineteen Minutes|If we don't change the direction we are headed, we will end up where we are going.
Anna C. Salter, Predators: Pedophiles, Rapists, And Other Sex Offenders|Dear bullies, see that young boy you made fun of for crying? Last night his best friend committed suicide. See the girl you called fat? She's starving herself. See the old man you just made fun of cause of the ugly scars? He fought for our country. Post this if you're against bullying. I bet 95% of you won't.
Dada Bhagwan|How much is your sincerity, that much will be ‘Our’ divine grace (krupa). This is the measure of grace.
Stephen R. Lawhead|Who upholds the gorsedd if not You? Who counts the ages of the world if not You? Who commands the Wheel of Heaven if not You? Who quickens life in the womb if not You? Therefore, God of All Virtue and Power, sain us and shield us with Your Swift Sure Hand.
J.A. Perez|you could wait to do something for God, but if He waited to do something for you, you couldn't finish reading this sentence...
Abhijit Naskar|The important thing is not to survive, but to live.
