Thomas Mann|Walk tall, or baby don't walk at all.
Stephen King, It|If the universe is movement, it will not be in one direction only. We think of our lives as linear but it is the spin of the earth that allows us to observe time. Walk with me.
L.B. Gregg, Catch Me If You Can|He tugged my zipper down like he was unveiling a gift, spreading my pants open. “Yeah. There it is. You have a nice fat dick. I would have never guessed it."“I’m Italian,” I said inanely.
Lailah Gifty Akita, Think Great: Be Great!|Whatever your situation, may you find hope.
Thomas Hobbes|It is easy to go down into Hell; night and day, the gates of dark Death stand wide; but to climb back again, to retrace one's steps to the upper air - there's the rub, the task.
Ursula K. Le Guin|For people who make up stories for a living, that is the ultimate success: knowing that, when the book closes, when the series ends, the adventure is not over. It goes on without the creator, in the minds of the people who love it. You can’t stop the signal. Once it’s broadcast, it continues on forever, pulsing past star clusters, lighting up new worlds, collecting new fans, till the end of time itself.
Patience Johnson, Why Does an Orderly God Allow Disorder|There is no gift of principles, you must apply them if you want to move forward.
Eleanor Roosevelt|We've had characters like Trump in American politics forever, characters who trade on xenophobia.
Megan Hill, Praying Together: The Priority and Privilege of Prayer: In Our Homes, Communities, and Churches|We are a band of brothers. United in love for our common Savior, joined in his common cause of prayer for both friends and enemies, we find our affections kindled and our hearts warmed toward one another.
Widad Akreyi|In other words, they appeal to the state for protection, but the state is precisely that from which they require protection. To be protected from violence by the nation-state is to be exposed to the violence wielded by the nation-state, so to rely on the nation-state for protection from violence is precisely to exchange one potential violence for another. There may, indeed, be few other choices.
Anne Graham Lotz|If we find it hard to believe that winning millions might not be so lucky after all, we just don't have a good enough imagination. If I fantasise about winning the lottery, it doesn't take long before all sorts of worrisome potential consequences occur to me.
Steven Wright|If a man says something in the woods and there are no women there, is he still wrong?
Prince William|It's really important to share the idea that being different might feel like a problem at the time, but ultimately diversity is a strength.
Jeremy Gilbert-Rolfe, Beauty and the Contemporary Sublime|Full of beautiful grace so we steal their space, and death comes quickly.
Rachel Bertsche|Sometimes when I see people from high school I feel trapped in a persona I maintained then,' she says. 'Ten years have gone by, a dive changed a tremendous amount - both emotionally and in circumstance. So while my oldest relationships are incredibly dear, and it's true that they know me intimately, it can be freeing to have relationships built on exactly who you are at this moment.
V.T. Davy, Black Art|You don’t rewrite it, censor it, or edit it, to suit some warped view you have of the past and your own present.
Agnes Macphail|All men are created equal, it is only men themselves who place themselves above equality.
Terry Pratchett, Reaper Man|Wizards don't believe in gods in the same way that most people don't find it necessary to believe in, say, tables. They know they're there, they know they're there for a purpose, they'd probably agree that they have a place in a well-organised universe, but they wouldn't see the point of believing, of going around saying "O great table, without whom we are as naught." Anyway, either the gods are there whether you believe in them or not, or exist only as a function of the belief, so either way you might as well ignore the whole business and, as it were, eat off your knees.
Jeannette Walls, The Glass Castle|The shadows of the room pool in the lines of our faces, draining our eyes of hue. "There's nothing left worth saying.
Geoffrey Wood|Just as thoughts, send out vibrations to which there is a creative and attractive power, gratitude stimulates the field of etheric energy that surrounds you on a subtle level to bring into your life more of what brings you joy.
Oliver Gaspirtz|Although I'm an atheist, I try not to crap all over people's belief in God. It may be nothing more than a placebo, a fairy tale that gives the hopeless hope, but sometimes a little hope is all people need to get through the day. Imagine a unit of soldiers under heavy enemy fire. They are told by their superiors to hold their position, even in the face of overwhelming fire power. The soldiers are being told that reinforcements are on the way, and that thought alone gives them the hope and courage to continue fighting, even if ultimately the reinforcements never arrive. I think some people simply need to believe that God is sending them reinforcements, to get through another day.
Antoine Lavoisier|Tis distance lends enchantment to the view, and robes the mountain in its azure hue.
Robin Alexander, Patty's Potent Potion|How was practice?" Shawna asked when Jet walked into the kitchen. "You must've worked hard again, you smell like a wet puppy." "We did." Jet grabbed a bottle of water from the refrigerator. " Your buddy said she was proud of us today." "That's good." Shawna smiled as checked on their dinner. " Are you starting to like her now?" I don't want to beat her with my flagpole anymore, but I wouldn't say I like her. Now your other friend is all up in the punch. Mrs. Scofield was at practice today passing out chocolate milk and telling us what to do with our glitter," Jet said and took a drink of her water. Shawna glanced at Jet. "What're you going to do with the glitter?" "Put it on my eyelids. Personally, I think we're gonna look like sparkly hookers, but makeup isn't my call...
Socrates|Long after you have reached the end of your natural span, part of you will dwell within me . . . as I shall be in you to the last of your days and even after.
Frederick Buechner, The Magnificent Defeat|The whole struggle was over, and yet there seemed to have been no moment of victory. You might say, if you liked, that the power of choice had been simply set aside and an inflexible destiny substituted for it. On the other hand, you might say he had delivered from the rhetoric of his passions and had emerged in unassailable freedom. Ransom could not for the life of him, see any difference between these two statements. Predestination and freedom were apparently identical. He could no longer see any meaning in the many arguments he had heart on the subject.
Cassandra Clare, City of Fallen Angels|Simon to die. Jace to live. Jonathon to retune. And you Valentine's daughter, to be the catalist of it all.
Ann M. Martin, Here Today|The singular reason for calamities, destructions, failures and devastations is seen in ignorance of Gods people.
Beryl Markham, West with the Night|Actually it was the mark of the stupid, which is what you get for sitting under a tree during a thunderstorm.
Myles Munroe, understanding your potential discovering the hidden you|If You Do Not Know, it is Useless to Explain, Because You Would Not Understand"__nickc
Lana Del Rey|Loving you forever can't be wrong. Even though you're not here, can't move on
Saul Bellow, Novels, 1984-2000|I discovered, however, in the early days of our marriage that, in having her way, she put my interests ahead of her own.
Mitch Albom, The Five People You Meet in Heaven|Lost love is still love, Eddie. It just takes a different form, that's all. You can't hold their hand... You can't tousle their hair... But when those senses weaken another one comes to life... Memory... Memory becomes your partner. You hold it... you dance with it... Life has to end, Eddie... Love doesn't.
Paula Heller Garland|Innocence is a bleeding wound without a bandage, a wound that opens with every casual knock from casual passers-by. Experience is an armour.
Innocent Mwatsikesimbe, The Vision|Nothing wrong with a little optimism, long as it doesn’t set policy....
Marquis de Lafayette|I think friendship is more important than love, but that love that grows out of friendship is the very best of all.
Mark Batterson, In a Pit with a Lion on a Snowy Day: How to Survive and Thrive When Opportunity Roars|To the infinite, all finites are equal.
Steve Earle|The language 'It's too late' is very unsuitable for most environmental issues. It's too late for the dodo and for people who've starved to death already, but it's not too late to prevent an even bigger crisis. The sooner we act on the environment, the better.
Almney King, All Light Will Fall|Before I knew it, I was once again being whisked down the hallways at the new hospital into an even bigger room, one that, unbeknownst to me, would be my home for what would feel like a long, long time.
