Sunday Adelaja, The Mountain of Ignorance|When we begin to shine, the darkness of ignorance will disappear from our society.
Garth Risk Hallberg, City on Fire|And as he reached for William's leg, the way a small child will reach for its mother's, there welled up through a small hole in the bottom of Mercer's soul a relief surpassing any he'd ever known in waking life.
Ingrid Betancourt, Even Silence Has an End: My Six Years of Captivity in the Colombian Jungle|The Reverend William Trent, whose mind was of a serious order, had several times warned his elder sister that too lively a sense of humour frequently led to laxity of principle. She now perceived how right he was; and wondered, in dismay, whether it was because he invariably made her laugh that instead of regarding the Nonesuch with revulsion she was obliged to struggle against the impulse to cast every scruple to the winds, and to give her life into his keeping.
George Eliot, Middlemarch|I cannot imagine myself without some opinion, but I wish to have good reasons for them.
Douglas Adams, The Restaurant at the End of the Universe|Trouble with a long journey like this,' continued the Captain, 'is that you end up just talking to yourself a lot, which gets terribly boring because half the time you know what you’re going to say next.
Debasish Mridha|If you don’t want to waste your time on thinking, start reading.
Bryant McGill, Simple Reminders: Inspiration for Living Your Best Life|The more one has engaged in a particular pattern of thought, the more difficult it becomes to override these habitual patterns.
Lia Davis, Death's Storm|Are you always so mistrusting?” he said, lifting a brow.“When my escort is a demon, yes.
Kamila Shamsie, Home Fire|Grief was the deal God struck with the angel of death, who wanted an unpassable river to separate the living from the dead; grief the bridge that would allow the dead to flit among the living, their footsteps overheard, their laughter around the corner, their posture recognizable in the bodies of strangers you would follow down the street, willing them to never turn around.
W.H. Auden, Collected Poems|The ones whose light will remain with me long after they have burnt out are the ones that had grace. Because it's rare that the gift comes with grace. Some of the biggest arseholes I've ever met are the most gifted. Because it's "pretty girl" syndrome. Being gifted is like being born beautiful. You don't have to work a day in a year in your life for it. You were born with it. In one sense, it's like blue blood, money, gift, or beauty. They are the things that should make you the most humble, because they are not the things you have earned. They are the things you were given. Yet, it is my experience that they male people the most spoiled. And the people who work the hardest, and who have overcome the most obstacles on their life, who have reason to beat their breasts are the most humble, sometimes. I can't get over that. it's bewildering to me. To make it through success and still have manners, to still have curiosity, intellectual curiosity, to still have some grace, to keep your dignity, that is really... rare.
Susan X. Meagher, The Reunion|When I have someone to express my sexuality with, I express it with gusto. I think new levels of gusto are in the offing, because I’m finally lying with the woman I was meant to be with.” She kissed her tenderly. “The one who holds my heart.” Shelby threw her arms around Jemma’s shoulders and held on tightly. “I loved you long before I knew what love meant. Now I’m sure. Of our love. Of you. Of us.” Jemma kissed her, tears showing once more. “Now I know heaven exists.” Another sweet kiss followed quickly. “I see it in your eyes.
Criss Jami|The sacrifices we make to stay healthy, to look good, the tasty foods we skip, the guilt trips, the exercising - all these things require great discipline, care, and even a paradoxical, self-denying self-love of sorts in order to be properly executed. However it is regretful that so many of us today are not as passionate about our spiritual holiness as we are about our physical health. They are indeed both important - we should worship in every aspect of our lives - and one even, in a sense, entails the other. Although, this disproportion in said priorities is still very much expected: we humans have always taken a liking to trendiness and the temporal side of things, doing what is judged vainly in the eyes of man before that which is judged vitally and eternally in the eyes of God (i.e. "cleaning the outside of one's cup while leaving a filthy inside"). But in a way, it all goes to show that the man who fully hates discipline hates himself fully; for within the spirit is where The Holy One judges true wellness or malady.
Elizabeth Barrett Browning, Sonnets from the Portuguese|Then he lets go and walks down the path, without another word. He doesn't look back. But I watch him go. I watch him all the way home.
Hayley Williams|What is the purpose? Do no ask. No one knows, not even God, as He advances along with us, He too, searching and being exposed to danger; He too is given a struggle. Hunger and injustice exist in the heart, as does abundance of darkness. The things you see are not specters; no matter how much blow, they will not be dispelled. They are flesh and bone. Touch them; they exist. Don't you hear a cry in the air? They are crying. What are they crying? Help! To whom they are crying? You! You: every man. Rise up. Our duty is not to ask questions, but to clasp hands one and all and mount the ascent. (Report to Greco)
Gemma Malley, The Resistance|Fame, infamy, they're of the same family.
Walker Percy|I,' she began in her thoughts, as we all do when thinking of ourselves. But this I was her, something, someone whose life she really lived. She was this I, in body and soul, one with its very flesh, its memories, its past, present and future, all of which we seal into a single destiny each time we face ourselves and utter that tiny, unalterable word: 'I.
Alisa Steinberg, Notes from Ellen Wasserfeldman (Preview Plus Bonus Material)|Henry James said there isn't any difference between "the English novel" and "the American novel" since there are only two kinds of novels at all, the good and the bad.
Frederick Banting|There's a feeling sometimes in motherhood that you're alone in what you're going through, and none of us are alone. We're all going through the same thing.
Myles Munroe, understanding your potential discovering the hidden you|You must decide if you are going to rob the world or bless it with the rich, valuable, potent, untapped resources locked away within you.
Jasleen Kaur Gumber|To anyone with a drop of Irish blood in them the land they live on is like their mother. It's the only thing that lasts, that's worth working for, for fighting for...
Tawni O'Dell|Community service has taught me all kinds of skills and increased my confidence. You go out there and think on your feet, work with others and create something from nothing. That's what life's all about.
Andrea Cremer, Invisibility|What we want to do in this moment is rarely what's best for us. We need to take a longer view of life and to realize that to become someone worth becoming, I probably need to be doing things I don't want to be doing.
Sally Brampton, Shoot the Damn Dog: A Memoir of Depression|Bad enough to be ill, but to feel compelled to deny the very thing that, in its worst and most active state, defines you is agony indeed.
Ernest Agyemang Yeboah|As he prepared to ride on, he chuckled at the thought of the wolf entering the sheepfold. He would not ride with fire and destruction. The shepherd did not frighten his own pretty lambs.
Justin K. McFarlane Beau|Many people die long before their departure date, Through ignorance of living a life they never wanted to be apart of but are to scared to change.
Stephen Chbosky|I grew up in the southern United States in a city which at that time during the late '40's and early '50's was the most segregated city in the country, and in a sense learning how to oppose the status quo was a question of survival.
Charles L. Whitfield, Healing the Child Within: Discovery and Recovery for Adult Children of Dysfunctional Families|The observer self, a part of who we really are, is that part of us that is watching both our false self and our True Self. We might say that it even watches us when we watch. It is our Consciousness, it is the core experience of our Child Within. It thus cannot be watched—at least by anything or any being that we know of on this earth. It transcends our five senses, our co-dependent self and all other lower, though necessary parts, of us.	Adult children may confuse their observer self with a kind of defense they may have used to avoid their Real Self and all of its feelings. One might call this defense “false observer self” since its awareness is clouded. It is unfocused as it “spaces” or “numbs out.” It denies and distorts our Child Within, and is often judgmental.
Richard Russo|Celebrity is a word that I find offensive. That's the c-word. I hate it. It means no discernible talent. It means all you want is to be famous. It doesn't mean you're a writer, an actor, a mime. I think I wanna not be a celebrity.
Magda Alexander, Storm Ravaged|THREE MONTHS HAVE GONE BY without the taste of Gabriel Storm in my mouth, the scent of his skin in my nostrils, the rush of his powerful body pounding into mine.
Maria Tallchief|I bet you have girls hanging all over you. Dozens would probably kill to be in my spot and here I am, allergic to your bread.” I looked up. “Why? Because of my near godlike perfection?
Sundar Pichai|As I approach my 88th birthday, it's become apparent to me that my eyes and ears, among other appurtenances, aren't quite what they used to be. The prospect of long flights to wherever in search of whatever are not quite as appealing.
Leon Trotsky, History of the Russian Revolution|I think the notion of dreaming in a time where we are told that it is foolish, futile or not useful is one of the most revolutionary things we can do. To have our lives determined by our dreams of a free world--instead of reactions to a state-imposed reality--is one of the most powerful tools of decolonization.
Don A. Martinez, The Advance Guard|Ariel sighed. “How are you not self-conscious about that?”Kitty chuckled. “Hey, I got used to it in a hurry, and I kind of like the side perks. I always wanted to … y’know, be superhuman, do some of the things I’ve been able to do with this setup.” She curled her tail up to take it in her hands. “Now I know how the guys feel, having something extra in your pants tends to be awkward after a while.
Nikki Giovanni|If you're a writer, the answer to everything is yes.
Siri Hustvedt, The Shaking Woman, or A History of My Nerves|Dreaming is another form of thinking, more concrete, more economical, more visual, and often more emotional than the thoughts of the day, but a thinking through of the day, nevertheless.
