Sam Gayton|Every time you say it is impossible, you shoot yourself in the foot
Susan C. Young, The Art of Body Language: 8 Ways to Optimize Non-Verbal Communication for Positive Impact|We live in a universe made up of energy. The energy that binds, as it whirls and swirls physical atoms, exists at varying levels of vibration and frequency.
Francis Crick, What Mad Pursuit|An enlightened man had but one duty - to seek the way to himself, to reach inner certainty, to grope his way forward, no matter where it led.
Eoin Colfer, The Last Guardian|Even after making up one's mind to the sacrifices Ihad decided upon, there is always left a trace of envyfor those who have triumphed in the melancholystruggle for literary supremacy
Anthony Liccione|Love, is sometimes a simpler form of slowly dying, it's like a bullet that ricochets off time's walls of desire, waiting to hit that picture perfect heart of regrets.
Jane Green, Mr. Maybe|Paparazzi arrived for Hugh [Grant]. We had to stand under a tree and smile for them.Photographer: 'Hugh, could you look less -- um --'Hugh: 'Pained?
Martin R. Lemieux|Accept your dark side, understanding it will help you to move with the light. Knowing both sides of our souls, helps us all to move forward in life and to understand that, perfection doesn't exist.
Loretta Chase, Lord of Scoundrels|He pulled away the glove, and at the first glimpse of her fragile, white hand, all thoughts of negotiation fled. "I don't see how matters could become worse," he muttered. "I am already besotted with a needle-tongued, conceited, provoking ape leader of a lady."Her head jerked up. "Besotted? You're nothing like it. Vengeful is more like it. Spiteful.
Lisa Kleypas, Again the Magic|...I feel like a traitor, a phony, a fake. But I am a hypocrite with the best intentions, and I need kissing desperately.
Shūsaku Endō, Silence|The reason why darkness terrifying for us, he reflected, is that there remains in us the instinctive fear the primitive man had when there was as yet no light.
David Levithan, Boy Meets Boy|Then they began saying, "Get hold of him. Put him in Mercury." Now as you know I have two sculptures by Brancusi and several pretty things and I did not want them to start getting rough, so I said, pacifically, "Dear sweet clodhoppers, if you knew anything of sexual psychology you would know that nothing could give me keener pleasure than to be manhandled by you meaty boys. It would be an ecstasy of the very naughtiest kind. So if any of you wishes to be my partner in joy come and seize me. If, on the other hand, you simply wish to satisfy some obscure and less easily classified libido and see me bathe, come with me quietly, dear louts, to the fountain.
Klaus Schwab|I think for leadership positions, emotional intelligence is more important than cognitive intelligence. People with emotional intelligence usually have a lot of cognitive intelligence, but that's not always true the other way around.
Eloisa James, Kiss Me, Annabel|Your dress is thin, you have been dancing, you are heated." "Always preaching," retorted she; "always coddling and admonishing." The answer Dr. John would have given did not come; that his heart was hurt became evident in his eye; darkened, and saddened, and pained, he turned a little aside, but was patient.
S.J. Parris, Heresy|No," I said simply. "I hate no one. I want only to be left in peace to understand the mysteries of the universe in my own way.
Yann Martel, The High Mountains of Portugal|Ageing is not easy, Sennhora Castro. It's a terrible, incurable pathology. And great love is another pathology. It starts well. It's a most desirable disease. One wouldn't want to do without it. It's like yeast that corrupts the juice of grapes. One loves, one loves, one persists in loving-the incubation period can be very long- and then, with death, comes the heart break. Love must always meet its unwanted end.
Justin K. McFarlane Beau|The fact that you don't hate him for this breaks my heart. And if we weren't leaving because of what they'd done to you, we'd be leaving because the pack has twisted you enough to make you think that it's okay for someone to treat you that way.
Donna Lynn Hope|You all right?" he said again.I didn't love him, I was far away from him, it was as though I was seeing him through a smeared window or glossy paper; he didn't belong here. But he existed, he deserved to be alive. I was wishing I could tell him how to change so he could get there, the place where I was."Yes," I said. I touched him on the arm with my hand. My hand touched his arm. Hand touched arm. Language divides us into fragments, I wanted to be whole.
Ellen Raskin|...modern Western culture has placed what it calls sexuality in a more and more distinctively privileged relation to our most prized constructs of individual identity, truth, and knowledge, it becomes truer and truer that the language of sexuality not only intersects with but transforms the other languages and relations by which we know.
Michael Leunig|A higher rate of urgency does not imply ever-present panic, anxiety, or fear. It means a state in which complacency is virtually absent.
Ben Rice, Pobby and Dingan|I still say Kellyanne could do with some real-live mates," went on my dad, as if he was talking to someone inside his beer.Mum had stomped off into the kitchen. "Maybe they are real!" she shouted back at him after rattling a few plates together. "Ever thought about that, ye of little bloody imagination?
Christopher Dines, Mindfulness Burnout Prevention: An 8-Week Course for Professionals|Through practising body scan awareness meditation, we can greatly reduce the detrimental effects of stress and make our working lives pleasant and enjoyable.
Robin Brande, Evolution, Me & Other Freaks of Nature|Human beings consider themselves satisfied only compared to some other condition. A man who has owned nothing but a bicycle all of his life feels suddenly wealthy the moment he buys an automobile...But this happy sensation wears off. After a while the car becomes just another thing that he owns. Moreover, when his neighbor next door buys two cars, in an instant our man feels wretchedly poor and deprived.
Manoj Arora, From the Rat Race to Financial Freedom|They don't try to trade 'reality', they try to tradeother people's perceptions of reality. If a market is dominated by enough technical traders, it could lapse into a 'postmodern' state, with traders trading perceptions of perceptions of reality.
Abhijit Naskar, Biopsy of Religions: Neuroanalysis Towards Universal Tolerance|There can never be a conflict between science and religion, once you understand the spiritual knack of the human brain circuits.
Charlaine Harris|Why do yo keep doing this?""Because I've wanted to be with you for three years, okay? That's why.
Leo Tolstoy, Anna Karenina|The path of destiny pulls you forward. It exhumes you from a state of being and propels you towards the juncture you were created for. A new frontier that you are forced to tread with a cross on your back, heavy as a boulder. When you fall to your knees at the hands of your betrayer, you can only hope to find the one sent to carry your burden -- shoulder the journey towards your final punishment.Sometimes duplicity and treason are markers of the enemy, and sometimes the failed intention of a masterful ally.
Edward Hirsch, Wild Gratitude|The one who rises from the bottom is not frightened of lessening existence, and getting back up again.
Anne Lamott, Grace (Eventually): Thoughts on Faith|Another page turns on the calendar, April now, not March..........I am spinning the silk threads of my story, weaving the fabric of my world...I spun out of control. Eating was hard. Breathing was hard. Living was hardest.I wanted to swallow the bitter seeds of forgetfulness...Somehow, I dragged myself out of the dark and asked for help.I spin and weave and knit my words and visions until a life starts to take shape.There is no magic cure, no making it all go away forever. There are only small steps upward; an easier day, an unexpected laugh, a mirror that doesn't matter anymore.I am thawing.
Jamie Varon|Just do your best," Mom said. "You can't do any better than your best.
Eugene K. Balon|So, if someone like Richard Dawkins indignantly protests that his passion about these sorts of things -- the passion that drives the "God Delusion" -- should not be taken as a religious passion, I am happy to accept that. I do nevertheless think that often Dawkins and company show the sociological characteristics of the religious. This comes across particularly in what Freud calls the narcissism of small differences, the hatred of those who are close to them but not quite close enough. Just as evangelicals can differ bitterly over the true meaning of the host, so the New Atheists loathe people like me who (like them) have no religious belief but who think that science as such does not refute religion.[Is Darwinism a Religion? - Michael Ruse]
Michael Pollan, The Omnivore's Dilemma: A Natural History of Four Meals|Though they won't say, it has been estimated that Cargill and ADM together probably buy somewhere near a third of all the corn grown in America.
James C. Dobson, Life on the Edge: A Young Adult's Guide to a Meaningful Future|Well, that brings us to the point: There is only one way to protect ourselves from the deadly diseases that stalk the human family. It is abstinence before marriage, then marriage and mutual fidelity for life to an uninfected partner.
Anne Rice, Interview with the Vampire|A week ago, he would’ve sank his fangs into her flesh without a second thought. But now? Muriah had lured him into her world, into her reality, not as a god, but as a partner, a man.
Nancy Navene|Matter,” Vittoria repeated. “Blossoming out of nothing. An incredible display of subatomic fireworks. A miniature universe springing to life. He proved not only that matter can be created from nothing, but that the Big Bang and Genesis can be explained simply by accepting the presence of an enormous source of energy.”“You mean God?” Kohler demanded.“God, Buddha, The Force, Yahweh, the singularity, the unicity point—call it whatever you like—the result is the same. Science and religion support the same truth—pure energy is the father of creation.
Angela Richardson, All the Pieces|Secrets, once spoken, have a way of running away from you. They cannot be gathered in again.
Dylan McDermott|You go from nobody looking at you to people taking second looks. I remember really loving it - and then feeling so guilty for loving it. Like, 'That's gross, Kristen.' Also, telling myself it could go away at any moment, and I'd be so sad.
Roy T. Bennett, The Light in the Heart|Never stop dreaming, never stop believing, never give up, never stop trying, and never stop learning.
Lizzie Armitstead|Marx and Engels are arguably history's most famous couple. Such was the closeness of their collaboration that it is not always easy to recall which works bore both names, which just that of Marx, and which just Engels.
Héloïse d'Argenteuil, The Letters of Abélard and Héloïse|Would that thy love, beloved, had less trust in me, that it might be more anxious!
Luc Ferry, A Brief History of Thought: A Philosophical Guide to Living|If you wait until the next upgrade, you will never upgrade.
Matthew Vines, God and the Gay Christian: The Biblical Case in Support of Same-Sex Relationships|The law was good, Paul wrote, and its purpose vital. But its purpose was also temporary. Once Christ fulfilled the law, his followers would have trivialized his sacrifice by living as though they were still subject to the law's constraints.
Idries Shah, Sufi Thought and Action|But one may say something and yet not be able to do it. Try, for instance, lifting yourself up by the bootstraps.
Priscilla Warner, The Faith Club: A Muslim, A Christian, A Jew--Three Women Search for Understanding|I thank you, God, who lives always, and Who, as i awaken, has in mercy returned my soul to me; we can ever trust in you.
John McCain|In 1987, I had my first opportunity to provide 'advice and consent' on a Supreme Court nominee. At that time, I stated that the qualifications essential for evaluating a nominee for the bench included 'integrity, character, legal competence and ability, experience, and philosophy and judicial temperament.' On that test, Elena Kagan fails.
Robert M. Drake|The funny thingaboutadvice is,we always tellothersthe thingswecannotreally doourselves.
Meghan March|As long as you have at least one thing anchoring you, you can't get too lost.
Rick Riordan|Correct." Kekrops sounded bitter, like he regretted his decision. "My people were the original Athenians--the gemini.""Like your zodiac sign?" Percy asked. "I'm a Leo.""No, stupid. "I'm a Leo. You're a Percy.
Nick Hornby, Songbook|We have all lived through that shriveling moment when a parent walks into a room and repeats, with sardonic disbelief, a couplet picked up from the stereo or the TV. 'What does that mean, then?' my mother asked me during Top of the Pops. "Get it on / Bang a gong"? How long did it take him to think of that, do you reckon?' And the correct answer - 'Two seconds, and it doesn't matter' - is always beyond you, so you just tell her to shut up, while inside you're hating Marc Bolan for making you like him even though he sings about getting it on and banging gongs.
Munia Khan|The Sun is never alone as the light remains with him always. Even when he goes down sinking...sinking, the light drowns with him
George R.R. Martin, A Clash of Kings|…When you’ve know me longer, you’ll learn that I mean everything I say.”“Even the lies?”“Especially the lies. Lord Petyr…
Sophocles|Without the quest, there can be no epiphany.
Craig D. Lounsbrough, An Intimate Collision: Encounters with Life and Jesus|It is not within my power to refuse the journey of life regardless of the nature of my fears or the depth of my selfishness, for the definitions of ‘journey’ and ‘life’ are indistinguishably synonymous. I can however sufficiently inhibit them and amply fight them to the point that I have accepted the journey, but the journey is now solely defined as my effort to forsake the journey.
Henry David Thoreau, Walden|Advertising has us chasing cars and clothes, working jobs we hate so we can buy shit we don't need.
G.K. Chesterton|I call this a Divine Humility because it is a poor thing to strike our colors to God when the ship is going down under us; a poor thing to come to him as a last resort, to offer up 'our own' when it is no longer worth keeping. If God were proud He would hardly have us on such terms: but He is not proud, He stoops to conquer, He will have us even though we have shown that we prefer everything else to him, and come to him because there is 'nothing better' now to be had. The same humility is shown by all those Divine appeals to our fears which trouble high-minded readers of Scripture. It is hardly complimentary to God that we should choose Him as an alternative to Hell: yet even this He accepts. The creatures illusion to self-sufficiency must, for the creature's sake, be shattered; and by trouble or fear of trouble on earth, by crude fear of eternal flames, God shatters it 'unmindful of his glory's diminution'. Those who would like the God of Scripture to be more purely ethical, do not know what they ask.
Tabitha Suzuma, Hurt|My father had a lifelong terror, phobia whatever, about hospitals. Makes a lot of sense in hindsight. He was so scared of doctors, he passed that on to me. That's what parents exist for: to pass their phobias on generation to generation.
François Lelord, Hector and the Search for Happiness|I had too many things to say, and too small a brain to sort them out with.
William Shakespeare, The Tempest|Thou, my slave,As thou report'st thyself, was then her servant,And for thou wast a spirit too delicateTo act her earthy and abhorred commands,Refusing her grand hests, she did confine thee,By help of her more potent ministersAnd in her most unmitigable rage,Into a cloven pine, within which riftImprisoned thou didst painfully remainA dozen years; within which space she diedAnd left thee there, where thou didst vent thy groansAs fast as mill wheels strike.
Federico Chini, The Sea Of Forgotten Memories|Grey morning dulled the bay. Banks of clouds, Howth just one more bank, rolled to sea, where other Howths grumbled to greet them. Swollen spumeless tide. Heads that bobbed like floating gulls and gulls that floating bobbed like heads. Two heads. At swim, two boys.
Arthur Golden, Memoirs of a Geisha|He was still too young to know that the heart's memory eliminates the bad and magnifies the good, and that thanks to this artifice we manage to endure the burden of the past.
Dannielle Wicks, Fading Away|Please don’t forget me, don’t let me fade away… I was here, I lived, and I loved…
Umberto Eco, The Island of the Day Before|I’ll try to be around and about. But if I’m not, then you know that I’m behind your eyelids, and I’ll meet you there
Kim Fielding, Buried Bones|That red spot!” she says with alarm.“That’s a freckle!”“It wasn’t there before...” she says as she inspects her entire arm.“It’s cute.”“It’s not cute.”“Then it’s mine,” I say. “If you don’t like it, it’s mine. I’ll call it Brady.”“My freckle?”“Yes.”“You’re naming my freckle after yourself?” she says. “And you think I have issues?”“It’s like a star. People buy stars in the constellation and name them after people al the time. As gifts.”“So then are you buying my freckle? Because I don’t know if you can afford my freckle. My freckles don’t come cheap, you know.”“I’ve already claimed it,” I declare. “It’s not up for discussion anymore. Just eat your ice cream. And don’t spill any on Brady.
Sue Woolfe, The Secret Cure|It seemed like an original act, the very kindest act of being human, that he listened.
Bernard Cornwell, The Winter King|The bards sing of love, they celebrate slaughter, they extol kings and flatter queens, but were I a poet I would write in praise of friendship.
Stefanie Powers|Assuredly, Loving Souls, you should go to God with all humility and respect, humbling yourselves in His presence, especially when you remember your past ingratitude and sins.
Mohith Agadi|In this beautiful world anything is Possible, but only when we Believe wholeheartedly and try!
Sana  Krasikov, The Patriots|Who is she, after all? Not a member of the Party. Not even a Russian...What can she do, really, but watch the ginger-haired sacrificial lamb get slaughtered? One wrong move and Florence herself might be on the chopping block herself
Caroline Green, Dark Ride|Went to get coffee today-opened my change purse. Sea shells fell out. Barista goes "Sorry, we only take cash or credit." So there's that.
